"year","ssp126","ssp245","ssp370","ssp585"
1850,2.3437,2.3437,2.3437,2.3437
1851,2.3728,2.3728,2.3728,2.3728
1852,2.4692,2.4692,2.4692,2.4692
1853,2.3727,2.3727,2.3727,2.3727
1854,2.2957,2.2957,2.2957,2.2957
1855,2.3443,2.3443,2.3443,2.3443
1856,2.3655,2.3655,2.3655,2.3655
1857,2.3729,2.3729,2.3729,2.3729
1858,2.4108,2.4108,2.4108,2.4108
1859,2.3692,2.3692,2.3692,2.3692
1860,2.4412,2.4412,2.4412,2.4412
1861,2.4084,2.4084,2.4084,2.4084
1862,2.3992,2.3992,2.3992,2.3992
1863,2.5212,2.5212,2.5212,2.5212
1864,2.4262,2.4262,2.4262,2.4262
1865,2.3939,2.3939,2.3939,2.3939
1866,2.3256,2.3256,2.3256,2.3256
1867,2.3179,2.3179,2.3179,2.3179
1868,2.3259,2.3259,2.3259,2.3259
1869,2.3068,2.3068,2.3068,2.3068
1870,2.3547,2.3547,2.3547,2.3547
1871,2.3583,2.3583,2.3583,2.3583
1872,2.4281,2.4281,2.4281,2.4281
1873,2.3925,2.3925,2.3925,2.3925
1874,2.4531,2.4531,2.4531,2.4531
1875,2.422,2.422,2.422,2.422
1876,2.4637,2.4637,2.4637,2.4637
1877,2.464,2.464,2.464,2.464
1878,2.4269,2.4269,2.4269,2.4269
1879,2.4079,2.4079,2.4079,2.4079
1880,2.4601,2.4601,2.4601,2.4601
1881,2.3651,2.3651,2.3651,2.3651
1882,2.404,2.404,2.404,2.404
1883,2.4529,2.4529,2.4529,2.4529
1884,2.5389,2.5389,2.5389,2.5389
1885,2.6127,2.6127,2.6127,2.6127
1886,2.5545,2.5545,2.5545,2.5545
1887,2.5153,2.5153,2.5153,2.5153
1888,2.5234,2.5234,2.5234,2.5234
1889,2.4903,2.4903,2.4903,2.4903
1890,2.4977,2.4977,2.4977,2.4977
1891,2.4643,2.4643,2.4643,2.4643
1892,2.4223,2.4223,2.4223,2.4223
1893,2.4467,2.4467,2.4467,2.4467
1894,2.3737,2.3737,2.3737,2.3737
1895,2.3628,2.3628,2.3628,2.3628
1896,2.4427,2.4427,2.4427,2.4427
1897,2.363,2.363,2.363,2.363
1898,2.3346,2.3346,2.3346,2.3346
1899,2.3959,2.3959,2.3959,2.3959
1900,2.3584,2.3584,2.3584,2.3584
1901,2.3138,2.3138,2.3138,2.3138
1902,2.3481,2.3481,2.3481,2.3481
1903,2.5164,2.5164,2.5164,2.5164
1904,2.4822,2.4822,2.4822,2.4822
1905,2.487,2.487,2.487,2.487
1906,2.4832,2.4832,2.4832,2.4832
1907,2.4929,2.4929,2.4929,2.4929
1908,2.463,2.463,2.463,2.463
1909,2.4983,2.4983,2.4983,2.4983
1910,2.4232,2.4232,2.4232,2.4232
1911,2.4962,2.4962,2.4962,2.4962
1912,2.5909,2.5909,2.5909,2.5909
1913,2.5221,2.5221,2.5221,2.5221
1914,2.5306,2.5306,2.5306,2.5306
1915,2.422,2.422,2.422,2.422
1916,2.4538,2.4538,2.4538,2.4538
1917,2.5037,2.5037,2.5037,2.5037
1918,2.427,2.427,2.427,2.427
1919,2.4694,2.4694,2.4694,2.4694
1920,2.4504,2.4504,2.4504,2.4504
1921,2.4462,2.4462,2.4462,2.4462
1922,2.3826,2.3826,2.3826,2.3826
1923,2.3845,2.3845,2.3845,2.3845
1924,2.4031,2.4031,2.4031,2.4031
1925,2.4333,2.4333,2.4333,2.4333
1926,2.4756,2.4756,2.4756,2.4756
1927,2.4039,2.4039,2.4039,2.4039
1928,2.3344,2.3344,2.3344,2.3344
1929,2.339,2.339,2.339,2.339
1930,2.351,2.351,2.351,2.351
1931,2.3575,2.3575,2.3575,2.3575
1932,2.3164,2.3164,2.3164,2.3164
1933,2.3436,2.3436,2.3436,2.3436
1934,2.3042,2.3042,2.3042,2.3042
1935,2.3499,2.3499,2.3499,2.3499
1936,2.3642,2.3642,2.3642,2.3642
1937,2.3016,2.3016,2.3016,2.3016
1938,2.3942,2.3942,2.3942,2.3942
1939,2.3707,2.3707,2.3707,2.3707
1940,2.3524,2.3524,2.3524,2.3524
1941,2.3491,2.3491,2.3491,2.3491
1942,2.3408,2.3408,2.3408,2.3408
1943,2.3218,2.3218,2.3218,2.3218
1944,2.3106,2.3106,2.3106,2.3106
1945,2.3968,2.3968,2.3968,2.3968
1946,2.3603,2.3603,2.3603,2.3603
1947,2.3108,2.3108,2.3108,2.3108
1948,2.3116,2.3116,2.3116,2.3116
1949,2.3165,2.3165,2.3165,2.3165
1950,2.2658,2.2658,2.2658,2.2658
1951,2.2765,2.2765,2.2765,2.2765
1952,2.265,2.265,2.265,2.265
1953,2.3234,2.3234,2.3234,2.3234
1954,2.281,2.281,2.281,2.281
1955,2.2596,2.2596,2.2596,2.2596
1956,2.2741,2.2741,2.2741,2.2741
1957,2.3058,2.3058,2.3058,2.3058
1958,2.3811,2.3811,2.3811,2.3811
