"year","ACCESS-CM2","ACCESS-ESM1-5","BCC-CSM2-MR","CanESM5","EC-Earth3","FGOALS-g3","GFDL-ESM4","INM-CM4-8","INM-CM5-0","IPSL-CM6A-LR","MIROC6","MPI-ESM1-2-HR","MPI-ESM1-2-LR","MRI-ESM2-0","NorESM2-LM","NorESM2-MM"
1850,2.1256,2.0473,1.7236,2.2332,3.0775,3.4557,1.898,2.5654,2.4203,2.5694,2.4432,1.9141,2.0834,1.8732,2.5189,2.6195
1851,2.0887,1.9895,2.0649,2.4366,2.8322,3.4615,1.9851,2.8619,2.432,2.1815,2.5425,1.9365,2.3345,1.8632,2.3366,2.5292
1852,2.3192,2.2155,2.2828,2.3121,2.6403,3.9358,2.2229,2.9847,2.5528,2.5858,2.5428,1.9096,2.3977,1.6737,2.3177,2.5531
1853,2.0719,2.0847,2.1522,2.5031,2.7835,3.5073,2.3291,2.9738,2.5662,2.2396,2.4605,1.7595,2.2516,1.7942,2.0527,2.5103
1854,1.921,2.0518,2.1382,2.4191,2.863,3.5402,1.8618,2.9975,2.6018,2.1244,2.2708,1.4771,2.1367,1.9569,2.1484,2.263
1855,2.0868,1.9907,1.9481,2.7201,2.6551,3.9024,1.7197,2.9556,2.7256,2.4513,2.1785,1.9388,2.0498,1.8526,2.0839,2.4755
1856,2.0823,2.1026,1.8526,2.3522,2.6231,3.5615,1.6757,2.9239,2.7402,2.48,2.2491,1.9715,2.1178,2.0848,2.1245,2.8601
1857,2.2938,2.0407,2.1328,2.3933,2.8767,3.8931,1.7659,3.0296,2.6244,2.3875,2.1818,1.7369,1.9828,1.9386,1.8815,2.9293
1858,2.4154,1.9404,1.8363,2.3493,2.9702,3.5565,2.0909,2.9288,2.7648,2.4146,2.2158,1.9897,2.1035,2.1244,2.1941,2.8079
1859,2.2111,1.9954,1.9272,2.4362,3.099,3.2467,2.1058,2.8809,2.63,2.1347,2.3091,2.0961,1.9524,1.9144,2.3903,2.6867
1860,2.1836,2.2197,2.1589,2.6193,3.3967,3.5963,1.7134,2.8323,2.308,2.4348,2.2652,2.1653,1.833,2.1395,2.6265,2.7603
1861,2.1993,2.1494,2.1536,2.4161,2.972,3.5001,1.9746,2.9943,2.6298,2.0894,2.2897,2.064,1.8996,1.94,2.4752,2.7587
1862,2.3274,2.1839,2.1017,2.4673,2.9048,3.3541,1.7421,2.8857,2.5292,2.3795,2.4101,2.0186,1.7823,1.9229,2.6684,2.8105
1863,2.5284,2.1919,2.4232,2.3424,2.9789,3.763,1.9429,3.0742,2.9031,2.5324,2.4359,1.9721,1.9111,2.2369,2.3692,2.7608
1864,2.4047,2.1875,2.2039,2.2832,2.7412,3.5038,1.823,3.0241,2.6615,2.4537,2.2739,2.1195,1.9445,2.2113,2.3998,2.5751
1865,2.6422,2.1997,1.869,2.4955,2.7643,3.4869,1.7349,2.9811,2.5467,2.126,2.4136,2.2859,2.0632,2.173,2.2619,2.3905
1866,2.4242,2.2941,1.8883,2.3147,2.7583,3.5121,1.8911,2.9013,2.6448,2.1767,2.229,2.0453,1.9542,1.7943,2.3036,2.2456
1867,2.0201,2.1092,1.5776,2.4668,2.6834,3.3567,1.6941,2.8115,2.5159,2.6309,2.1699,2.0623,1.9893,2.3908,2.2668,2.4903
1868,1.9751,2.2206,1.5231,2.2501,2.8322,3.2047,1.9575,3.0286,2.5575,2.6421,2.1617,2.0013,1.9189,2.2638,2.2257,2.5861
1869,2.2004,1.9622,1.476,2.3713,2.6131,3.5921,1.8019,3.0009,2.5505,2.3006,2.0045,1.9202,1.9736,2.2214,2.3687,2.6263
1870,2.055,1.9697,2.0962,2.0471,2.6879,3.6132,1.8394,2.8738,2.6902,2.4207,2.0059,1.8806,1.8641,2.3685,2.3495,2.7089
1871,1.8792,1.8369,1.9729,2.5031,2.9105,3.3765,2.1345,2.6518,2.5767,2.4542,2.0914,1.9121,2.0589,2.2809,2.2746,2.8645
1872,2.2915,1.8386,1.9338,2.6286,3.1927,3.9439,1.7422,2.7267,2.5649,2.3598,2.1394,2.1682,2.2141,2.3154,2.3517,2.5638
1873,2.3359,2.0261,2.0198,2.5876,2.801,3.6633,1.7381,2.7325,2.4969,2.2072,2.294,2.1871,2.047,2.2234,2.3085,2.6549
1874,1.8865,2.0641,1.976,2.5423,2.9508,4.0031,1.7882,2.9641,2.6597,2.5148,2.0394,2.053,2.0834,2.5525,2.4359,2.6629
1875,2.1332,1.777,1.9351,2.5038,3.0479,3.4574,1.6533,3.0503,2.8809,2.6144,2.3238,2.2332,2.1835,2.0562,2.476,2.4974
1876,2.3528,2.1551,2.0032,2.3606,3.1052,3.6868,1.99,2.8963,2.6061,2.3292,2.3133,2.37,2.1238,2.2873,2.3226,2.5128
1877,2.3576,2.0448,2.2637,2.3676,2.9606,3.6,2.0486,2.9152,2.2673,2.412,2.4121,2.4374,2.1984,2.3264,1.9542,2.796
1878,2.2295,2.1204,1.8017,2.3642,2.96,4.0257,2.2157,2.9544,2.4306,2.3795,2.1972,2.3671,2.2994,1.9284,2.0323,2.5569
1879,2.1731,2.0651,1.8555,2.1909,2.8716,3.8752,2.0289,2.7786,2.7823,2.0081,2.1235,2.296,2.0642,2.0688,2.3337,2.7672
1880,2.4119,2.237,1.9619,2.2663,3.0645,3.5854,1.8252,3.0047,2.7069,2.3475,2.4211,2.3184,2.1445,1.9666,2.121,2.9496
1881,2.2692,2.0697,1.9192,2.4208,2.4196,3.5076,1.9971,2.722,2.3929,2.1287,2.3496,2.2451,2.2543,1.9844,2.4256,2.5931
1882,2.5043,2.287,1.9637,2.1856,2.2318,3.8854,1.9176,2.8279,2.449,2.4995,2.3618,1.9534,2.306,1.8445,2.3734,2.7385
1883,2.4581,2.1338,1.9383,2.3422,2.6668,3.9514,1.6518,2.7898,2.7214,2.9897,2.336,1.9339,2.5145,1.6725,2.3722,2.8673
1884,2.4984,2.118,2.2903,2.5331,2.8775,3.6237,2.0065,2.9434,2.6681,2.9582,2.3593,2.3088,2.3848,2.0093,2.3038,2.8986
1885,2.652,2.1004,2.3231,2.5724,3.1647,3.4085,2.3857,3.0958,3.0632,2.6642,2.4912,2.211,2.4061,2.306,2.1878,2.9507
1886,2.6053,2.321,2.2042,2.6201,2.8309,3.6207,2.343,2.9181,2.7834,2.8469,2.5817,2.2193,2.272,2.1845,2.2012,2.5929
1887,2.7241,2.228,2.1244,2.8441,2.7071,3.5857,2.2208,2.7025,2.8856,2.8857,2.3008,2.0938,2.5214,1.6771,2.3491,2.8685
1888,2.5959,2.2693,2.0225,2.5408,3.3035,3.265,2.1898,3.0059,2.7362,2.4821,2.4685,2.1204,2.2223,2.2492,2.3483,2.8211
1889,2.4927,2.3384,2.0146,2.59,2.8815,3.6491,2.2073,3.0743,2.7465,3.0286,2.5317,1.9874,2.0245,1.9585,2.0061,2.7575
1890,2.7053,2.1314,1.7556,2.7585,2.9929,3.4217,2.0619,3.1926,2.7521,2.73,2.529,1.8719,2.1857,2.2771,2.1661,2.904
1891,2.3467,2.1975,1.9085,2.6027,3.0185,3.5685,1.9017,3.3736,2.5543,2.7618,2.3987,2.1312,2.2822,1.8397,1.8295,3.0245
1892,2.3896,2.0432,1.9205,2.6797,3.1393,3.7568,1.9228,3.3122,2.6609,2.7216,2.3616,1.7832,2.4381,1.2045,1.936,2.96
1893,2.4981,1.9245,2.1278,2.7631,3.2712,3.5359,1.976,3.3054,2.5072,2.4107,2.3145,1.9702,2.244,1.8195,1.8782,3.0128
1894,2.2543,1.9995,1.8411,2.7079,3.124,3.7625,1.8056,3.2258,2.5091,2.3879,2.2806,1.9879,2.0867,1.6605,1.895,2.8171
1895,2.4103,1.862,2.1426,2.5278,2.9655,3.4639,1.7053,3.0221,2.8491,2.2334,2.4041,1.8502,2.2017,1.4538,1.9756,2.9314
1896,2.1441,2.1871,1.8588,2.2081,2.9713,3.9004,2.0996,2.9797,2.6542,2.3309,2.458,2.1236,2.2627,1.9394,1.8583,2.9657
1897,2.4267,2.2381,1.5476,2.3694,2.9362,3.4065,1.8935,2.7881,2.6447,2.3399,2.308,2.0022,2.1014,2.0784,1.9455,2.9847
1898,2.082,2.206,1.6267,2.411,3.0708,3.6862,1.7463,2.8613,2.7364,2.2833,2.1822,2.0231,2.0096,1.8716,1.8989,2.8206
1899,2.1588,2.3684,1.8385,2.3164,3.0995,3.5969,1.8685,2.8214,2.7518,2.4665,2.3974,1.9734,2.0149,1.6802,2.1915,2.9086
1900,2.2137,2.1255,1.7902,2.3789,2.824,3.9965,2.0235,2.8075,2.7294,2.3555,2.1797,1.7831,2.0126,1.79,1.9338,2.9244
1901,1.8749,2.1399,1.5158,2.7135,3.1239,3.6868,1.5617,2.7532,2.7004,2.556,2.2638,2.0751,2.0781,1.731,1.8101,2.7883
1902,2.1128,2.1278,1.8065,2.693,3.4005,3.5361,1.9524,2.7813,2.4648,2.4151,2.0342,1.8529,2.107,2.0143,2.0637,2.6636
1903,2.1057,2.1585,2.0625,2.725,3.4611,3.918,1.9286,3.0625,2.8983,2.5963,2.2209,2.1415,2.2058,1.9503,2.2089,2.8705
1904,2.4571,2.2344,1.9277,2.5626,3.5418,3.666,1.9028,2.9636,2.7995,2.4122,2.3963,2.0556,2.0563,2.0527,2.1551,2.8515
1905,2.5986,2.1999,1.4749,2.7659,3.44,3.9667,1.9983,2.8956,2.7586,2.7535,2.4948,1.9239,2.1455,1.9547,2.1661,2.8402
1906,2.3977,2.2918,1.8217,2.6049,3.3193,3.6637,2.23,2.8485,2.6399,2.7126,2.447,1.9984,2.3144,1.9395,2.1112,2.7848
