,year,avg_ann_temp_f,scenario,model
0,1950,50.99809461424785,ssp585,mri-esm2-0
1,1951,51.71343936870082,ssp585,mri-esm2-0
2,1952,51.14464756913986,ssp585,mri-esm2-0
3,1953,52.94453754619876,ssp585,mri-esm2-0
4,1954,51.33621513040667,ssp585,mri-esm2-0
5,1955,50.254198868943156,ssp585,mri-esm2-0
6,1956,51.427886039758285,ssp585,mri-esm2-0
7,1957,53.24905244791474,ssp585,mri-esm2-0
8,1958,51.92243908265433,ssp585,mri-esm2-0
9,1959,49.90189739463853,ssp585,mri-esm2-0
10,1960,51.456634637891824,ssp585,mri-esm2-0
11,1961,51.284028732274436,ssp585,mri-esm2-0
12,1962,49.54887378436184,ssp585,mri-esm2-0
13,1963,49.796563368620184,ssp585,mri-esm2-0
14,1964,50.989737757444466,ssp585,mri-esm2-0
15,1965,49.78571352224862,ssp585,mri-esm2-0
16,1966,51.17375138397375,ssp585,mri-esm2-0
17,1967,51.64426631428444,ssp585,mri-esm2-0
18,1968,50.71326247249019,ssp585,mri-esm2-0
19,1969,50.78216748779568,ssp585,mri-esm2-0
20,1970,51.01666709619452,ssp585,mri-esm2-0
21,1971,51.34390390758753,ssp585,mri-esm2-0
22,1972,50.82039028587036,ssp585,mri-esm2-0
23,1973,51.529479721296056,ssp585,mri-esm2-0
24,1974,51.23308121504717,ssp585,mri-esm2-0
25,1975,50.45764071860228,ssp585,mri-esm2-0
26,1976,49.44224173231426,ssp585,mri-esm2-0
27,1977,52.321677115245635,ssp585,mri-esm2-0
28,1978,50.233561454920995,ssp585,mri-esm2-0
29,1979,51.00211452971313,ssp585,mri-esm2-0
30,1980,50.24553825864226,ssp585,mri-esm2-0
31,1981,51.119135350050115,ssp585,mri-esm2-0
32,1982,50.70331601938027,ssp585,mri-esm2-0
33,1983,51.615645830502196,ssp585,mri-esm2-0
34,1984,51.25872696684313,ssp585,mri-esm2-0
35,1985,51.266097469694785,ssp585,mri-esm2-0
36,1986,50.363438667110785,ssp585,mri-esm2-0
37,1987,49.779790526067565,ssp585,mri-esm2-0
38,1988,51.12973241735635,ssp585,mri-esm2-0
39,1989,50.35835771821937,ssp585,mri-esm2-0
40,1990,51.22593049887835,ssp585,mri-esm2-0
41,1991,50.31778420563218,ssp585,mri-esm2-0
42,1992,50.70438040064933,ssp585,mri-esm2-0
43,1993,51.1819054605569,ssp585,mri-esm2-0
44,1994,50.728205187700006,ssp585,mri-esm2-0
45,1995,51.18812018136343,ssp585,mri-esm2-0
46,1996,51.98960838239748,ssp585,mri-esm2-0
47,1997,50.68478885659058,ssp585,mri-esm2-0
48,1998,52.38850350340298,ssp585,mri-esm2-0
49,1999,52.285616114511384,ssp585,mri-esm2-0
50,2000,52.794477671204824,ssp585,mri-esm2-0
51,2001,51.03012473482213,ssp585,mri-esm2-0
52,2002,53.73168998343141,ssp585,mri-esm2-0
53,2003,51.58639681386899,ssp585,mri-esm2-0
54,2004,52.772909294634616,ssp585,mri-esm2-0
55,2005,53.308466944356674,ssp585,mri-esm2-0
56,2006,53.31539813949113,ssp585,mri-esm2-0
57,2007,52.00501533403641,ssp585,mri-esm2-0
58,2008,51.49201140308535,ssp585,mri-esm2-0
59,2009,52.041902789950626,ssp585,mri-esm2-0
60,2010,52.23261695067436,ssp585,mri-esm2-0
61,2011,53.53445094608224,ssp585,mri-esm2-0
62,2012,52.61505196911781,ssp585,mri-esm2-0
63,2013,52.18369819266142,ssp585,mri-esm2-0
64,2014,54.557217781689275,ssp585,mri-esm2-0
65,2015,52.94694124784794,ssp585,mri-esm2-0
66,2016,54.075960789346524,ssp585,mri-esm2-0
67,2017,54.16377119320479,ssp585,mri-esm2-0
68,2018,53.48978936357179,ssp585,mri-esm2-0
69,2019,55.42939170476566,ssp585,mri-esm2-0
70,2020,54.17414602149162,ssp585,mri-esm2-0
71,2021,53.246917858861124,ssp585,mri-esm2-0
72,2022,53.15638580717033,ssp585,mri-esm2-0
73,2023,53.13462853881241,ssp585,mri-esm2-0
74,2024,55.170972144240025,ssp585,mri-esm2-0
75,2025,56.40529523275383,ssp585,mri-esm2-0
76,2026,54.92276161719495,ssp585,mri-esm2-0
77,2027,54.63187207344819,ssp585,mri-esm2-0
78,2028,54.59419922340888,ssp585,mri-esm2-0
79,2029,54.89699821756151,ssp585,mri-esm2-0
80,2030,54.20561857613317,ssp585,mri-esm2-0
81,2031,56.04281798572117,ssp585,mri-esm2-0
82,2032,53.871387389118134,ssp585,mri-esm2-0
83,2033,56.007302444401965,ssp585,mri-esm2-0
84,2034,57.7875966642642,ssp585,mri-esm2-0
85,2035,55.604785644949494,ssp585,mri-esm2-0
86,2036,55.314169638420054,ssp585,mri-esm2-0
87,2037,54.80616339946436,ssp585,mri-esm2-0
88,2038,57.396887030481075,ssp585,mri-esm2-0
89,2039,56.180326614902,ssp585,mri-esm2-0
90,2040,55.84396396245506,ssp585,mri-esm2-0
91,2041,55.339161707667145,ssp585,mri-esm2-0
92,2042,57.03209759062271,ssp585,mri-esm2-0
93,2043,55.41292239840624,ssp585,mri-esm2-0
94,2044,57.34227856039913,ssp585,mri-esm2-0
95,2045,56.34071215768168,ssp585,mri-esm2-0
96,2046,55.88750538054602,ssp585,mri-esm2-0
97,2047,54.98610595942045,ssp585,mri-esm2-0
98,2048,57.001004015912,ssp585,mri-esm2-0
99,2049,57.35207905494375,ssp585,mri-esm2-0
100,2050,55.815665834409096,ssp585,mri-esm2-0
101,2051,58.89251424607315,ssp585,mri-esm2-0
102,2052,55.78225146558097,ssp585,mri-esm2-0
103,2053,55.57583152564149,ssp585,mri-esm2-0
104,2054,56.337018814683944,ssp585,mri-esm2-0
105,2055,57.71675687843592,ssp585,mri-esm2-0
106,2056,57.31255149790669,ssp585,mri-esm2-0
107,2057,57.12896588335215,ssp585,mri-esm2-0
108,2058,57.94678935509898,ssp585,mri-esm2-0
109,2059,57.48520499746154,ssp585,mri-esm2-0
110,2060,56.365239556649115,ssp585,mri-esm2-0
111,2061,57.669975269797234,ssp585,mri-esm2-0
112,2062,56.907745337399255,ssp585,mri-esm2-0
113,2063,57.46380856040205,ssp585,mri-esm2-0
114,2064,58.04096080314783,ssp585,mri-esm2-0
115,2065,58.04822458702187,ssp585,mri-esm2-0
116,2066,58.418687083425986,ssp585,mri-esm2-0
117,2067,58.13207085029429,ssp585,mri-esm2-0
118,2068,57.65452893710129,ssp585,mri-esm2-0
119,2069,59.25852466492781,ssp585,mri-esm2-0
120,2070,57.56595100277234,ssp585,mri-esm2-0
121,2071,57.2879462254924,ssp585,mri-esm2-0
122,2072,59.45710183206895,ssp585,mri-esm2-0
123,2073,59.14643073002352,ssp585,mri-esm2-0
124,2074,58.06889910528174,ssp585,mri-esm2-0
125,2075,58.66212253097278,ssp585,mri-esm2-0
126,2076,58.11622327725996,ssp585,mri-esm2-0
127,2077,60.499532954114976,ssp585,mri-esm2-0
128,2078,59.60766027071556,ssp585,mri-esm2-0
129,2079,57.395562187914834,ssp585,mri-esm2-0
130,2080,59.25768917097451,ssp585,mri-esm2-0
131,2081,59.93002501899195,ssp585,mri-esm2-0
132,2082,60.5025303207878,ssp585,mri-esm2-0
133,2083,60.5559849829122,ssp585,mri-esm2-0
134,2084,60.14634703355451,ssp585,mri-esm2-0
135,2085,61.088802651168386,ssp585,mri-esm2-0
136,2086,59.9562932802009,ssp585,mri-esm2-0
137,2087,60.67733359608024,ssp585,mri-esm2-0
138,2088,60.46780001155515,ssp585,mri-esm2-0
139,2089,60.877228725216696,ssp585,mri-esm2-0
140,2090,61.154456946233445,ssp585,mri-esm2-0
141,2091,61.54301504660202,ssp585,mri-esm2-0
142,2092,61.32685885533827,ssp585,mri-esm2-0
143,2093,60.47575497864204,ssp585,mri-esm2-0
144,2094,60.66562610393973,ssp585,mri-esm2-0
