,year,av_temp,scenario
0,1950,,nclimgrid
1,1951,51.2,nclimgrid
2,1952,52.34,nclimgrid
3,1953,53.45,nclimgrid
4,1954,53.35,nclimgrid
5,1955,51.8,nclimgrid
6,1956,52.44,nclimgrid
7,1957,52.1,nclimgrid
8,1958,52.03,nclimgrid
9,1959,52.21,nclimgrid
10,1960,51.55,nclimgrid
11,1961,51.93,nclimgrid
12,1962,51.97,nclimgrid
13,1963,52.33,nclimgrid
14,1964,51.76,nclimgrid
15,1965,51.78,nclimgrid
16,1966,51.59,nclimgrid
17,1967,51.85,nclimgrid
18,1968,51.4,nclimgrid
19,1969,51.58,nclimgrid
20,1970,51.68,nclimgrid
21,1971,51.74,nclimgrid
22,1972,51.41,nclimgrid
23,1973,52.38,nclimgrid
24,1974,52.35,nclimgrid
25,1975,51.6,nclimgrid
26,1976,51.49,nclimgrid
27,1977,52.61,nclimgrid
28,1978,51.15,nclimgrid
29,1979,51.0,nclimgrid
30,1980,52.47,nclimgrid
31,1981,53.18,nclimgrid
32,1982,51.44,nclimgrid
33,1983,51.94,nclimgrid
34,1984,52.05,nclimgrid
35,1985,51.4,nclimgrid
36,1986,53.4,nclimgrid
37,1987,53.39,nclimgrid
38,1988,52.68,nclimgrid
39,1989,51.95,nclimgrid
40,1990,53.58,nclimgrid
41,1991,53.21,nclimgrid
42,1992,52.63,nclimgrid
43,1993,51.37,nclimgrid
44,1994,52.97,nclimgrid
45,1995,52.73,nclimgrid
46,1996,51.98,nclimgrid
47,1997,52.28,nclimgrid
48,1998,54.29,nclimgrid
49,1999,53.93,nclimgrid
50,2000,53.3,nclimgrid
51,2001,53.78,nclimgrid
52,2002,53.27,nclimgrid
53,2003,53.37,nclimgrid
54,2004,53.17,nclimgrid
55,2005,53.69,nclimgrid
56,2006,54.35,nclimgrid
57,2007,53.77,nclimgrid
58,2008,52.35,nclimgrid
59,2009,52.44,nclimgrid
60,2010,53.09,nclimgrid
61,2011,53.28,nclimgrid
62,2012,55.36,nclimgrid
63,2013,52.5,nclimgrid
64,2014,52.64,nclimgrid
65,2015,54.5,nclimgrid
66,2016,54.95,nclimgrid
67,2017,54.59,nclimgrid
68,2018,53.62,nclimgrid
69,2019,52.77,nclimgrid
70,2020,,nclimgrid
71,2021,,nclimgrid
72,2022,,nclimgrid
73,2023,,nclimgrid
74,2024,,nclimgrid
75,2025,,nclimgrid
76,2026,,nclimgrid
77,2027,,nclimgrid
78,2028,,nclimgrid
79,2029,,nclimgrid
80,2030,,nclimgrid
81,2031,,nclimgrid
82,2032,,nclimgrid
83,2033,,nclimgrid
84,2034,,nclimgrid
85,2035,,nclimgrid
86,2036,,nclimgrid
87,2037,,nclimgrid
88,2038,,nclimgrid
89,2039,,nclimgrid
90,2040,,nclimgrid
91,2041,,nclimgrid
92,2042,,nclimgrid
93,2043,,nclimgrid
94,2044,,nclimgrid
95,2045,,nclimgrid
96,2046,,nclimgrid
97,2047,,nclimgrid
98,2048,,nclimgrid
99,2049,,nclimgrid
100,2050,,nclimgrid
101,2051,,nclimgrid
102,2052,,nclimgrid
103,2053,,nclimgrid
104,2054,,nclimgrid
105,2055,,nclimgrid
106,2056,,nclimgrid
107,2057,,nclimgrid
108,2058,,nclimgrid
109,2059,,nclimgrid
110,2060,,nclimgrid
111,2061,,nclimgrid
112,2062,,nclimgrid
113,2063,,nclimgrid
114,2064,,nclimgrid
115,2065,,nclimgrid
116,2066,,nclimgrid
117,2067,,nclimgrid
118,2068,,nclimgrid
119,2069,,nclimgrid
120,2070,,nclimgrid
121,2071,,nclimgrid
122,2072,,nclimgrid
123,2073,,nclimgrid
124,2074,,nclimgrid
125,2075,,nclimgrid
126,2076,,nclimgrid
127,2077,,nclimgrid
128,2078,,nclimgrid
129,2079,,nclimgrid
130,2080,,nclimgrid
131,2081,,nclimgrid
132,2082,,nclimgrid
133,2083,,nclimgrid
134,2084,,nclimgrid
135,2085,,nclimgrid
136,2086,,nclimgrid
137,2087,,nclimgrid
138,2088,,nclimgrid
139,2089,,nclimgrid
140,2090,,nclimgrid
141,2091,,nclimgrid
142,2092,,nclimgrid
143,2093,,nclimgrid
144,2094,,nclimgrid
145,2095,,nclimgrid
146,2096,,nclimgrid
147,2097,,nclimgrid
148,2098,,nclimgrid
149,2099,,nclimgrid
150,2100,,nclimgrid
0,1950,52.37,ssp126
1,1951,52.27,ssp126
2,1952,51.84,ssp126
3,1953,52.1,ssp126
4,1954,52.17,ssp126
5,1955,52.11,ssp126
6,1956,52.69,ssp126
7,1957,52.59,ssp126
8,1958,52.57,ssp126
9,1959,52.12,ssp126
10,1960,52.37,ssp126
11,1961,52.48,ssp126
12,1962,51.68,ssp126
13,1963,51.92,ssp126
14,1964,51.59,ssp126
15,1965,51.41,ssp126
16,1966,52.1,ssp126
17,1967,51.84,ssp126
18,1968,51.73,ssp126
19,1969,51.61,ssp126
20,1970,52.11,ssp126
21,1971,52.36,ssp126
22,1972,52.25,ssp126
23,1973,51.84,ssp126
24,1974,51.57,ssp126
25,1975,52.12,ssp126
26,1976,51.9,ssp126
27,1977,52.27,ssp126
28,1978,52.29,ssp126
29,1979,52.52,ssp126
30,1980,52.53,ssp126
31,1981,52.4,ssp126
32,1982,52.39,ssp126
33,1983,51.47,ssp126
34,1984,51.8,ssp126
35,1985,52.45,ssp126
36,1986,52.12,ssp126
37,1987,52.43,ssp126
38,1988,52.61,ssp126
39,1989,52.77,ssp126
40,1990,52.64,ssp126
41,1991,52.81,ssp126
42,1992,51.92,ssp126
43,1993,52.19,ssp126
44,1994,52.53,ssp126
45,1995,52.57,ssp126
46,1996,53.03,ssp126
47,1997,52.92,ssp126
48,1998,53.04,ssp126
49,1999,53.35,ssp126
50,2000,53.27,ssp126
51,2001,53.29,ssp126
52,2002,53.67,ssp126
53,2003,53.35,ssp126
54,2004,53.79,ssp126
55,2005,54.09,ssp126
56,2006,54.04,ssp126
57,2007,53.94,ssp126
58,2008,53.84,ssp126
59,2009,53.82,ssp126
60,2010,54.06,ssp126
61,2011,54.09,ssp126
62,2012,53.78,ssp126
63,2013,54.02,ssp126
64,2014,54.38,ssp126
65,2015,54.82,ssp126
66,2016,54.52,ssp126
67,2017,54.54,ssp126
68,2018,54.42,ssp126
69,2019,54.98,ssp126
70,2020,54.47,ssp126
71,2021,54.63,ssp126
72,2022,55.28,ssp126
73,2023,55.12,ssp126
74,2024,55.29,ssp126
75,2025,55.34,ssp126
76,2026,55.38,ssp126
77,2027,55.36,ssp126
78,2028,55.66,ssp126
79,2029,55.67,ssp126
80,2030,55.62,ssp126
81,2031,55.51,ssp126
82,2032,55.42,ssp126
83,2033,55.55,ssp126
84,2034,55.54,ssp126
85,2035,55.67,ssp126
86,2036,55.67,ssp126
87,2037,55.96,ssp126
88,2038,55.88,ssp126
89,2039,55.86,ssp126
90,2040,56.14,ssp126
91,2041,56.13,ssp126
92,2042,56.15,ssp126
93,2043,55.85,ssp126
94,2044,56.22,ssp126
95,2045,55.85,ssp126
96,2046,56.14,ssp126
97,2047,55.95,ssp126
98,2048,56.4,ssp126
99,2049,56.24,ssp126
100,2050,55.88,ssp126
101,2051,56.37,ssp126
102,2052,56.53,ssp126
103,2053,56.07,ssp126
104,2054,56.18,ssp126
105,2055,56.4,ssp126
106,2056,56.19,ssp126
107,2057,56.4,ssp126
108,2058,55.95,ssp126
109,2059,56.47,ssp126
110,2060,56.17,ssp126
111,2061,56.29,ssp126
112,2062,56.34,ssp126
113,2063,56.3,ssp126
114,2064,56.65,ssp126
115,2065,56.58,ssp126
116,2066,56.17,ssp126
117,2067,56.6,ssp126
118,2068,56.63,ssp126
119,2069,56.67,ssp126
120,2070,56.75,ssp126
121,2071,56.23,ssp126
122,2072,56.4,ssp126
123,2073,56.46,ssp126
124,2074,56.71,ssp126
125,2075,56.06,ssp126
126,2076,56.28,ssp126
127,2077,56.41,ssp126
128,2078,56.32,ssp126
129,2079,56.1,ssp126
130,2080,56.43,ssp126
131,2081,56.22,ssp126
132,2082,56.52,ssp126
133,2083,56.09,ssp126
134,2084,56.17,ssp126
135,2085,56.12,ssp126
136,2086,56.16,ssp126
137,2087,55.92,ssp126
138,2088,56.32,ssp126
139,2089,56.21,ssp126
140,2090,56.0,ssp126
141,2091,55.87,ssp126
142,2092,56.55,ssp126
143,2093,56.12,ssp126
144,2094,56.07,ssp126
145,2095,56.13,ssp126
146,2096,55.88,ssp126
147,2097,55.93,ssp126
148,2098,55.72,ssp126
149,2099,56.08,ssp126
150,2100,55.74,ssp126
0,1950,52.37,ssp245
1,1951,52.28,ssp245
2,1952,51.84,ssp245
3,1953,52.1,ssp245
4,1954,52.17,ssp245
5,1955,52.11,ssp245
6,1956,52.69,ssp245
7,1957,52.59,ssp245
8,1958,52.57,ssp245
9,1959,52.12,ssp245
10,1960,52.37,ssp245
11,1961,52.48,ssp245
12,1962,51.68,ssp245
13,1963,51.92,ssp245
14,1964,51.59,ssp245
15,1965,51.41,ssp245
16,1966,52.11,ssp245
17,1967,51.84,ssp245
18,1968,51.73,ssp245
19,1969,51.61,ssp245
20,1970,52.11,ssp245
21,1971,52.36,ssp245
