"Figure 3. Rate of Temperature Change in the United States, 1901-2023",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2024",,
Web update: June 2024,,
Units: °F per century,,
,,
Climate Division,Temperature Change (1901-2000 denominator),Temperature Change (1925-2000 denominator)
101,0.275465083,
102,0.345807913,
103,-0.085551801,
104,0.390924275,
105,0.323924194,
106,0.131103473,
107,0.081252445,
108,0.643172838,
201,2.333432219,
202,1.810974535,
203,2.581182581,
204,2.345782117,
205,3.002960106,
206,2.909954298,
207,1.868451544,
301,0.625738952,
302,0.878465818,
303,0.791909043,
304,0.513396792,
305,0.324020929,
306,0.514562992,
307,0.330093769,
308,0.014865022,
309,0.631935398,
401,1.986350621,
402,1.749886067,
403,1.98051962,
404,2.698297025,
405,2.044805734,
406,3.435738608,
407,2.865085149,
501,1.527727619,
502,2.771337701,
503,2.363146139,
504,2.233235738,
505,1.649802445,
601,2.856696031,
602,2.977556289,
603,3.259900341,
701,2.741516297,
702,2.854283018,
801,0.657129621,
802,1.469245635,
803,2.239351571,
804,2.372636967,
805,2.573803812,
806,2.931133998,
807,2.947912233,
901,0.336865254,
902,0.461928132,
903,0.663417429,
904,0.709828972,
905,0.938146247,
906,1.107540855,
907,0.841453741,
908,0.88985911,
909,1.189534939,
1001,1.705618828,
1002,1.877813391,
1003,1.919398907,
1004,1.895150542,
1005,1.38639168,
1006,1.364620818,
1007,1.958662771,
1008,1.921129398,
1009,1.452413658,
1010,1.563218799,
1101,1.607572025,
1102,1.782550421,
1103,0.84943442,
1104,1.717060488,
1105,1.775692949,
1106,1.173320994,
1107,1.274130133,
1108,1.166544135,
1109,0.799040599,
1201,1.871020409,
1202,1.861776795,
1203,1.956486223,
1204,1.237504998,
1205,1.012331626,
1206,1.327635612,
1207,1.092729575,
1208,0.888972368,
1209,1.154242604,
1301,1.434275752,
1302,1.247011948,
1303,1.117837811,
1304,1.247447258,
1305,0.888848762,
1306,1.174111001,
1307,0.889262575,
1308,0.640453496,
1309,0.739730989,
1401,1.832895874,
1402,1.306966461,
1403,1.193802049,
1404,1.83965661,
1405,1.56757727,
1406,1.234705043,
1407,1.44476618,
1408,1.193791301,
1409,0.696887912,
1501,0.466496197,
1502,0.865256048,
1503,1.136394904,
1504,0.460090157,
1601,0.594009708,
1602,0.781547596,
1603,0.847612568,
1604,0.617183234,
1605,0.285101013,
1606,0.548839604,
1607,0.175359964,
1608,0.635890805,
1609,0.905562506,
1701,2.847506159,
1702,3.040332254,
1703,3.13885736,
1801,2.63202246,
1802,2.4791535,
1803,2.23628828,
1804,2.468657698,
1805,2.35249986,
1806,2.567048449,
1807,1.800596966,
1808,1.238284256,
1901,2.690456076,
1902,2.88839303,
1903,3.257885018,
2001,2.593231525,
2002,2.521007726,
2003,3.240649977,
2004,2.928285675,
2005,2.322834307,
2006,2.550479808,
2007,2.717536641,
2008,2.058853878,
2009,2.194536164,
2010,2.573422244,
2101,2.676966848,
2102,3.014880069,
2103,2.806157107,
2104,2.246864695,
2105,2.40563452,
2106,2.824004807,
2107,1.599371004,
2108,1.402643244,
2109,1.728324799,
2201,0.32935213,
