"Figure 2. Average Number of Coastal Flood Events per Year, 1950–2023",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2024",,,,
Web update: September 2024,,,,
Units: average number of flood events per year,,,,
,,,,
,1950-1969,1970-1989,1990-2009,2010-2023
"Honolulu, HI",0.45,0.631578947,2.45,7.571428571
"Kahului, HI",0.571428571,0.5625,1.85,6.857142857
"Hilo, HI",0.35,1.5,3.65,14.07692308
Wake Island,1.375,3.294117647,6.526315789,8.928571429
"Bar Harbor, ME",2.052631579,5.277777778,4.625,11.07142857
"Portland, ME",2.166666667,3.105263158,3.4,8.857142857
"Boston, MA",2.75,2.7,4.15,12.85714286
"Newport, RI",1.277777778,1.444444444,1.9,4.857142857
"New London, CT",1.526315789,1.529411765,2.25,4.214285714
"Montauk, NY",1.166666667,0.9375,2.277777778,4.357142857
"Kings Point, NY",3.578947368,3.111111111,5,9.071428571
"The Battery, NY",1.894736842,1.842105263,4.294117647,10.28571429
"Sandy Hook, NJ",1.75,2.052631579,4.15,10.85714286
"Atlantic City, NJ",0.684210526,1.8125,5.210526316,10.71428571
"Philadelphia, PA",1,1.6,2.55,5.357142857
"Lewes, DE",1.4375,1.722222222,4.2,8.714285714
"Baltimore, MD",0.75,1.1,1.9,6.285714286
"Annapolis, MD",0.666666667,0.789473684,1.421052632,7.285714286
"Washington, DC",0.9,1.9,2.388888889,7
"Sewells Point, VA",1.45,1.95,5.05,11
"Wilmington, NC",0.052631579,0.05,0.45,3.071428571
"Charleston, SC",0.210526316,0.631578947,1.05,7.142857143
"Fort Pulaski, GA",0.15,0.75,1.65,7.5
"Fernandina Beach, FL",0.611111111,0.894736842,1.722222222,5.071428571
"Mayport, FL",0.1,0.05,0.3,3.214285714
"St. Petersburg, FL",0.333333333,0.4,1,1.857142857
"Cedar Key, FL",0.7,0.65,1.166666667,4.571428571
"Pensacola, FL",0.222222222,0.5,1.526315789,3.214285714
"Galveston Pier 21, TX",0.4,0.705882353,2.5,10.35714286
"Port Isabel, TX",0.15,0.4,0.85,2.857142857
"San Diego, CA",0.157894737,1.052631579,1.45,5.857142857
"La Jolla, CA",0.111111111,0.941176471,1.85,1.785714286
"Los Angeles, CA",0.3,1.368421053,1.05,2.285714286
"Port San Luis, CA",0.625,1.368421053,0.5,0.5
"San Francisco, CA",0.05,0.666666667,0.7,0.071428571
"Crescent City, CA",4.5,4.631578947,3.736842105,1.714285714
"Astoria, OR",6.6,6.55,7.75,7.714285714
"Neah Bay, WA",13.72222222,9.8,8.65,6.428571429
"Seattle, WA",1.3,1.55,1.75,3.857142857
"Friday Harbor, WA",3.235294118,2.9,2.55,5.285714286
"Sitka, AK",3.65,3.1,2.25,0.5
"Adak Island, AK",5.5,4.1,1.8,0.785714286
