Year,SSP1-26,SSP2-45,SSP3-70,SSP5-85,ghg,unit
2005,379.85,379.85,379.85,379.85,co2,ppm
2010,390.5053,390.5053,390.5053,390.5053,co2,ppm
2020,414.54972,414.72296,417.88876,417.24872,co2,ppm
2030,436.54258,440.92052,451.99727,452.76679,co2,ppm
2040,452.29058,468.53035,491.25531,499.67824,co2,ppm
2050,460.69292,496.06612,535.22073,559.69194,co2,ppm
2060,462.90223,521.32354,583.69231,635.79256,co2,ppm
2070,460.64247,542.5851,636.94202,730.0255,co2,ppm
2080,453.86207,558.13234,695.67422,841.52016,co2,ppm
2090,443.09072,565.68752,760.99226,963.84157,co2,ppm
2100,432.17144,566.85916,834.34119,1088.9702,co2,ppm
2005,1753.16,1753.16,1753.16,1753.16,ch4,ppb
2010,1812.864,1812.864,1812.864,1812.864,ch4,ppb
2020,1825.4571,1886.8859,1958.3515,1927.9437,ch4,ppb
2030,1682.249,1904.9561,2136.8832,2077.0522,ch4,ppb
2040,1519.8764,1874.5026,2314.3845,2305.1533,ch4,ppb
2050,1399.942,1789.1392,2478.7701,2565.7941,ch4,ppb
2060,1323.0123,1685.7632,2634.3164,2748.0083,ch4,ppb
2070,1271.8188,1612.5792,2785.5194,2821.2594,ch4,ppb
2080,1218.7655,1564.646,2936.5253,2807.6648,ch4,ppb
2090,1176.1212,1529.1998,3087.2593,2721.972,ch4,ppb
2100,1147.2889,1506.5559,3238.0329,2598.5103,ch4,ppb
2005,319.855,319.855,319.855,319.855,n2o,ppb
2010,323.68957,323.68957,323.68957,323.68957,n2o,ppb
2020,330.53829,331.15308,331.73189,331.86119,n2o,ppb
2030,335.65605,338.65501,340.94348,341.05774,n2o,ppb
2040,339.02523,346.00617,350.99258,350.48212,n2o,ppb
2050,341.45747,352.7215,361.56127,359.40246,n2o,ppb
2060,343.47673,358.63911,372.57319,367.47058,n2o,ppb
2070,345.3853,363.72682,384.04251,374.95656,n2o,ppb
2080,347.39661,367.55064,395.9181,381.75309,n2o,ppb
2090,349.76675,370.03535,408.1424,387.79905,n2o,ppb
2100,352.18893,371.52198,420.66149,392.83192,n2o,ppb
