,year,growing_seas_length_days,scenario,model
0,1950,184.57920312749425,ssp126,ec-earth3
1,1951,175.67794620508224,ssp126,ec-earth3
2,1952,165.50048702751081,ssp126,ec-earth3
3,1953,178.25361255948334,ssp126,ec-earth3
4,1954,172.72499793361195,ssp126,ec-earth3
5,1955,178.48350714726752,ssp126,ec-earth3
6,1956,178.81074599709262,ssp126,ec-earth3
7,1957,177.96895152145404,ssp126,ec-earth3
8,1958,171.84150698803663,ssp126,ec-earth3
9,1959,182.54394453959412,ssp126,ec-earth3
10,1960,182.448426669929,ssp126,ec-earth3
11,1961,183.25068515166882,ssp126,ec-earth3
12,1962,172.67829607136105,ssp126,ec-earth3
13,1963,172.28802283888507,ssp126,ec-earth3
14,1964,167.5807639527201,ssp126,ec-earth3
15,1965,169.57317369492256,ssp126,ec-earth3
16,1966,183.27474177370925,ssp126,ec-earth3
17,1967,184.16121056170616,ssp126,ec-earth3
18,1968,168.144669678455,ssp126,ec-earth3
19,1969,157.99678919817768,ssp126,ec-earth3
20,1970,177.2248722726539,ssp126,ec-earth3
21,1971,173.88502423687163,ssp126,ec-earth3
22,1972,176.62621652640473,ssp126,ec-earth3
23,1973,178.16657083696427,ssp126,ec-earth3
24,1974,187.19143186652684,ssp126,ec-earth3
25,1975,183.4926461765743,ssp126,ec-earth3
26,1976,181.24022226474204,ssp126,ec-earth3
27,1977,179.75996756684296,ssp126,ec-earth3
28,1978,176.640353255805,ssp126,ec-earth3
29,1979,175.65502743721888,ssp126,ec-earth3
30,1980,172.48658843335878,ssp126,ec-earth3
31,1981,176.47444551317156,ssp126,ec-earth3
32,1982,168.52980814226325,ssp126,ec-earth3
33,1983,164.5022342847119,ssp126,ec-earth3
34,1984,175.96726506294272,ssp126,ec-earth3
35,1985,191.02848556803343,ssp126,ec-earth3
36,1986,169.77116854931126,ssp126,ec-earth3
37,1987,173.84147336158696,ssp126,ec-earth3
38,1988,181.86133543521262,ssp126,ec-earth3
39,1989,179.6106525525028,ssp126,ec-earth3
40,1990,184.91078428725442,ssp126,ec-earth3
41,1991,183.20822120638968,ssp126,ec-earth3
42,1992,178.14362999252444,ssp126,ec-earth3
43,1993,181.6572560211155,ssp126,ec-earth3
44,1994,180.1325288050614,ssp126,ec-earth3
45,1995,198.22143282751102,ssp126,ec-earth3
46,1996,187.48956735338598,ssp126,ec-earth3
47,1997,194.89075435506632,ssp126,ec-earth3
48,1998,189.47700460939333,ssp126,ec-earth3
