year,state,GrowingSea,scenario
1950,NM,NA,nclimgrid
1951,NM,161.97059272053258,nclimgrid
1952,NM,174.79989956780472,nclimgrid
1953,NM,164.12860579810135,nclimgrid
1954,NM,176.58983638609706,nclimgrid
1955,NM,173.55964938957,nclimgrid
1956,NM,176.46470322321932,nclimgrid
1957,NM,177.77319082000534,nclimgrid
1958,NM,183.42134760193986,nclimgrid
1959,NM,174.96829801147132,nclimgrid
1960,NM,168.9566747958099,nclimgrid
1961,NM,162.16113691310937,nclimgrid
1962,NM,178.91121218190224,nclimgrid
1963,NM,194.8513621837633,nclimgrid
1964,NM,176.16952441907313,nclimgrid
1965,NM,172.7812126529346,nclimgrid
1966,NM,174.71767314012192,nclimgrid
1967,NM,160.12442069984573,nclimgrid
1968,NM,159.29579179177097,nclimgrid
1969,NM,174.8396168430117,nclimgrid
1970,NM,151.70970951062,nclimgrid
1971,NM,155.84047533577234,nclimgrid
1972,NM,176.8998288352743,nclimgrid
1973,NM,162.30948634297067,nclimgrid
1974,NM,173.3933696238147,nclimgrid
1975,NM,157.7442337005416,nclimgrid
1976,NM,162.36271506610896,nclimgrid
1977,NM,177.679835783434,nclimgrid
1978,NM,180.02875529824877,nclimgrid
1979,NM,170.7265639193145,nclimgrid
1980,NM,164.97691898495233,nclimgrid
1981,NM,181.8287706094531,nclimgrid
1982,NM,171.20479490121315,nclimgrid
1983,NM,170.23603515847594,nclimgrid
1984,NM,175.18190813526374,nclimgrid
1985,NM,178.49342015439058,nclimgrid
1986,NM,176.81522807846494,nclimgrid
1987,NM,181.9904371496499,nclimgrid
1988,NM,179.59525520966443,nclimgrid
1989,NM,177.15983509528425,nclimgrid
1990,NM,182.45184840845863,nclimgrid
1991,NM,174.2424703935794,nclimgrid
1992,NM,184.4234764249778,nclimgrid
1993,NM,171.6702656000307,nclimgrid
1994,NM,180.5359598502318,nclimgrid
1995,NM,165.08187292479056,nclimgrid
1996,NM,168.6251675475426,nclimgrid
1997,NM,172.93473005453365,nclimgrid
1998,NM,174.34224204036016,nclimgrid
1999,NM,164.7871050062719,nclimgrid
2000,NM,178.40402649319327,nclimgrid
2001,NM,178.19536749608807,nclimgrid
2002,NM,186.06858617122458,nclimgrid
2003,NM,182.8625280764773,nclimgrid
2004,NM,180.46732232498024,nclimgrid
2005,NM,185.51867571131368,nclimgrid
2006,NM,183.1460413251194,nclimgrid
2007,NM,174.81833493949512,nclimgrid
2008,NM,169.68998630883704,nclimgrid
2009,NM,176.3163722854548,nclimgrid
2010,NM,181.38763219350346,nclimgrid
2011,NM,173.5628794393736,nclimgrid
2012,NM,185.3433269032711,nclimgrid
2013,NM,162.95593392050773,nclimgrid
2014,NM,180.63868804863193,nclimgrid
2015,NM,197.08179138131212,nclimgrid
2016,NM,195.16562839357658,nclimgrid
2017,NM,177.3318737243158,nclimgrid
2018,NM,187.81191382931695,nclimgrid
2019,NM,173.7166821108786,nclimgrid
2020,NM,NA,nclimgrid
2021,NM,NA,nclimgrid
2022,NM,NA,nclimgrid
2023,NM,NA,nclimgrid
2024,NM,NA,nclimgrid
2025,NM,NA,nclimgrid
2026,NM,NA,nclimgrid
2027,NM,NA,nclimgrid
2028,NM,NA,nclimgrid
2029,NM,NA,nclimgrid
2030,NM,NA,nclimgrid
2031,NM,NA,nclimgrid
2032,NM,NA,nclimgrid
2033,NM,NA,nclimgrid
2034,NM,NA,nclimgrid
2035,NM,NA,nclimgrid
2036,NM,NA,nclimgrid
2037,NM,NA,nclimgrid
2038,NM,NA,nclimgrid
2039,NM,NA,nclimgrid
2040,NM,NA,nclimgrid
2041,NM,NA,nclimgrid
2042,NM,NA,nclimgrid
2043,NM,NA,nclimgrid
2044,NM,NA,nclimgrid
2045,NM,NA,nclimgrid
2046,NM,NA,nclimgrid
2047,NM,NA,nclimgrid
2048,NM,NA,nclimgrid
2049,NM,NA,nclimgrid
2050,NM,NA,nclimgrid
2051,NM,NA,nclimgrid
2052,NM,NA,nclimgrid
2053,NM,NA,nclimgrid
2054,NM,NA,nclimgrid
2055,NM,NA,nclimgrid
2056,NM,NA,nclimgrid
2057,NM,NA,nclimgrid
2058,NM,NA,nclimgrid
2059,NM,NA,nclimgrid
2060,NM,NA,nclimgrid
2061,NM,NA,nclimgrid
2062,NM,NA,nclimgrid
2063,NM,NA,nclimgrid
2064,NM,NA,nclimgrid
2065,NM,NA,nclimgrid
2066,NM,NA,nclimgrid
2067,NM,NA,nclimgrid
2068,NM,NA,nclimgrid
2069,NM,NA,nclimgrid
2070,NM,NA,nclimgrid
2071,NM,NA,nclimgrid
2072,NM,NA,nclimgrid
