station,year,month,ph,scenario
bats1,1850,1,8.21,historical
bats1,1850,2,8.22,historical
bats1,1850,3,8.22,historical
bats1,1850,4,8.22,historical
bats1,1850,5,8.21,historical
bats1,1850,6,8.18,historical
bats1,1850,7,8.15,historical
bats1,1850,8,8.13,historical
bats1,1850,9,8.13,historical
bats1,1850,10,8.15,historical
bats1,1850,11,8.18,historical
bats1,1850,12,8.2,historical
bats1,1851,1,8.21,historical
bats1,1851,2,8.21,historical
bats1,1851,3,8.22,historical
bats1,1851,4,8.21,historical
bats1,1851,5,8.21,historical
bats1,1851,6,8.18,historical
bats1,1851,7,8.14,historical
bats1,1851,8,8.13,historical
bats1,1851,9,8.13,historical
bats1,1851,10,8.15,historical
bats1,1851,11,8.19,historical
bats1,1851,12,8.21,historical
bats1,1852,1,8.21,historical
bats1,1852,2,8.21,historical
bats1,1852,3,8.21,historical
bats1,1852,4,8.22,historical
bats1,1852,5,8.21,historical
bats1,1852,6,8.18,historical
bats1,1852,7,8.14,historical
bats1,1852,8,8.13,historical
bats1,1852,9,8.13,historical
bats1,1852,10,8.15,historical
bats1,1852,11,8.18,historical
bats1,1852,12,8.2,historical
bats1,1853,1,8.21,historical
bats1,1853,2,8.21,historical
bats1,1853,3,8.22,historical
bats1,1853,4,8.22,historical
bats1,1853,5,8.21,historical
bats1,1853,6,8.18,historical
bats1,1853,7,8.15,historical
bats1,1853,8,8.13,historical
bats1,1853,9,8.14,historical
bats1,1853,10,8.16,historical
bats1,1853,11,8.19,historical
bats1,1853,12,8.21,historical
bats1,1854,1,8.21,historical
bats1,1854,2,8.21,historical
bats1,1854,3,8.21,historical
bats1,1854,4,8.22,historical
bats1,1854,5,8.21,historical
bats1,1854,6,8.18,historical
bats1,1854,7,8.14,historical
bats1,1854,8,8.12,historical
bats1,1854,9,8.13,historical
bats1,1854,10,8.16,historical
bats1,1854,11,8.19,historical
bats1,1854,12,8.21,historical
bats1,1855,1,8.21,historical
bats1,1855,2,8.21,historical
bats1,1855,3,8.21,historical
bats1,1855,4,8.22,historical
bats1,1855,5,8.2,historical
bats1,1855,6,8.18,historical
bats1,1855,7,8.15,historical
bats1,1855,8,8.13,historical
bats1,1855,9,8.13,historical
bats1,1855,10,8.16,historical
bats1,1855,11,8.19,historical
bats1,1855,12,8.2,historical
bats1,1856,1,8.21,historical
bats1,1856,2,8.21,historical
bats1,1856,3,8.21,historical
bats1,1856,4,8.22,historical
bats1,1856,5,8.21,historical
bats1,1856,6,8.18,historical
bats1,1856,7,8.15,historical
bats1,1856,8,8.13,historical
bats1,1856,9,8.13,historical
bats1,1856,10,8.16,historical
bats1,1856,11,8.19,historical
bats1,1856,12,8.21,historical
bats1,1857,1,8.21,historical
bats1,1857,2,8.21,historical
bats1,1857,3,8.21,historical
bats1,1857,4,8.22,historical
bats1,1857,5,8.21,historical
bats1,1857,6,8.19,historical
bats1,1857,7,8.15,historical
bats1,1857,8,8.13,historical
bats1,1857,9,8.13,historical
bats1,1857,10,8.16,historical
bats1,1857,11,8.19,historical
bats1,1857,12,8.21,historical
bats1,1858,1,8.21,historical
bats1,1858,2,8.21,historical
bats1,1858,3,8.21,historical
bats1,1858,4,8.22,historical
bats1,1858,5,8.21,historical
bats1,1858,6,8.18,historical
bats1,1858,7,8.15,historical
bats1,1858,8,8.12,historical
bats1,1858,9,8.13,historical
bats1,1858,10,8.16,historical
bats1,1858,11,8.19,historical
bats1,1858,12,8.2,historical
bats1,1859,1,8.21,historical
bats1,1859,2,8.21,historical
bats1,1859,3,8.21,historical
bats1,1859,4,8.22,historical
bats1,1859,5,8.2,historical
bats1,1859,6,8.18,historical
bats1,1859,7,8.14,historical
bats1,1859,8,8.13,historical
bats1,1859,9,8.14,historical
bats1,1859,10,8.16,historical
bats1,1859,11,8.19,historical
bats1,1859,12,8.21,historical
bats1,1860,1,8.21,historical
bats1,1860,2,8.21,historical
bats1,1860,3,8.21,historical
bats1,1860,4,8.21,historical
bats1,1860,5,8.21,historical
bats1,1860,6,8.17,historical
bats1,1860,7,8.14,historical
bats1,1860,8,8.12,historical
bats1,1860,9,8.13,historical
bats1,1860,10,8.15,historical
bats1,1860,11,8.18,historical
bats1,1860,12,8.2,historical
bats1,1861,1,8.21,historical
bats1,1861,2,8.21,historical
bats1,1861,3,8.21,historical
bats1,1861,4,8.21,historical
bats1,1861,5,8.2,historical
bats1,1861,6,8.18,historical
bats1,1861,7,8.14,historical
bats1,1861,8,8.13,historical
bats1,1861,9,8.13,historical
bats1,1861,10,8.16,historical
bats1,1861,11,8.18,historical
bats1,1861,12,8.2,historical
bats1,1862,1,8.21,historical
bats1,1862,2,8.21,historical
bats1,1862,3,8.21,historical
bats1,1862,4,8.21,historical
bats1,1862,5,8.2,historical
bats1,1862,6,8.18,historical
bats1,1862,7,8.14,historical
bats1,1862,8,8.12,historical
bats1,1862,9,8.13,historical
bats1,1862,10,8.15,historical
bats1,1862,11,8.18,historical
bats1,1862,12,8.2,historical
bats1,1863,1,8.21,historical
bats1,1863,2,8.21,historical
bats1,1863,3,8.21,historical
bats1,1863,4,8.22,historical
bats1,1863,5,8.21,historical
bats1,1863,6,8.18,historical
bats1,1863,7,8.15,historical
bats1,1863,8,8.13,historical
bats1,1863,9,8.13,historical
bats1,1863,10,8.16,historical
bats1,1863,11,8.18,historical
bats1,1863,12,8.2,historical
bats1,1864,1,8.21,historical
bats1,1864,2,8.21,historical
bats1,1864,3,8.21,historical
bats1,1864,4,8.22,historical
bats1,1864,5,8.2,historical
bats1,1864,6,8.18,historical
bats1,1864,7,8.14,historical
bats1,1864,8,8.12,historical
bats1,1864,9,8.13,historical
bats1,1864,10,8.16,historical
bats1,1864,11,8.19,historical
bats1,1864,12,8.21,historical
bats1,1865,1,8.21,historical
bats1,1865,2,8.21,historical
bats1,1865,3,8.21,historical
bats1,1865,4,8.22,historical
bats1,1865,5,8.21,historical
bats1,1865,6,8.17,historical
bats1,1865,7,8.15,historical
bats1,1865,8,8.13,historical
bats1,1865,9,8.13,historical
bats1,1865,10,8.16,historical
bats1,1865,11,8.18,historical
bats1,1865,12,8.2,historical
bats1,1866,1,8.21,historical
bats1,1866,2,8.21,historical
bats1,1866,3,8.21,historical
bats1,1866,4,8.21,historical
bats1,1866,5,8.21,historical
bats1,1866,6,8.18,historical
bats1,1866,7,8.14,historical
bats1,1866,8,8.13,historical
bats1,1866,9,8.13,historical
bats1,1866,10,8.16,historical
bats1,1866,11,8.19,historical
bats1,1866,12,8.21,historical
bats1,1867,1,8.21,historical
bats1,1867,2,8.21,historical
bats1,1867,3,8.21,historical
bats1,1867,4,8.22,historical
bats1,1867,5,8.21,historical
bats1,1867,6,8.18,historical
bats1,1867,7,8.15,historical
bats1,1867,8,8.13,historical
bats1,1867,9,8.13,historical
bats1,1867,10,8.16,historical
