year,precip_in,scenario
1950,30.6,ssp245
1951,31.11,ssp245
1952,29.84,ssp245
1953,28.79,ssp245
1954,30.39,ssp245
1955,29.48,ssp245
1956,29.19,ssp245
1957,29.56,ssp245
1958,30.31,ssp245
1959,29.62,ssp245
1960,30.27,ssp245
1961,30.55,ssp245
1962,31.69,ssp245
1963,29.71,ssp245
1964,29.85,ssp245
1965,29.54,ssp245
1966,31.15,ssp245
1967,28.52,ssp245
1968,29.97,ssp245
1969,29.65,ssp245
1970,29.93,ssp245
1971,28.76,ssp245
1972,30.47,ssp245
1973,30.08,ssp245
1974,30.76,ssp245
1975,29.54,ssp245
1976,30.77,ssp245
1977,29.96,ssp245
1978,29.63,ssp245
1979,30.46,ssp245
1980,30.1,ssp245
1981,29.82,ssp245
1982,30.32,ssp245
1983,30.02,ssp245
1984,30.11,ssp245
1985,29.63,ssp245
1986,29.99,ssp245
1987,30.29,ssp245
1988,31.15,ssp245
1989,29.29,ssp245
1990,30.4,ssp245
1991,30.93,ssp245
1992,29.58,ssp245
1993,30.41,ssp245
1994,30.13,ssp245
1995,30.06,ssp245
1996,30.36,ssp245
1997,30.99,ssp245
1998,30.6,ssp245
1999,30.91,ssp245
2000,29.8,ssp245
2001,30.72,ssp245
2002,30.4,ssp245
2003,31.36,ssp245
2004,30.78,ssp245
2005,30.58,ssp245
2006,30.21,ssp245
2007,30.31,ssp245
2008,29.99,ssp245
2009,31.23,ssp245
2010,29.98,ssp245
2011,31.81,ssp245
2012,31.11,ssp245
2013,31.68,ssp245
2014,30.44,ssp245
2015,30.53,ssp245
2016,31.18,ssp245
2017,30.88,ssp245
2018,31.55,ssp245
2019,31.44,ssp245
2020,31.15,ssp245
2021,29.91,ssp245
2022,30.88,ssp245
2023,31.73,ssp245
2024,30.71,ssp245
2025,30.41,ssp245
2026,30.56,ssp245
2027,30.55,ssp245
2028,32.25,ssp245
2029,31.15,ssp245
2030,30.85,ssp245
2031,30.71,ssp245
2032,32.45,ssp245
2033,31.4,ssp245
2034,32.06,ssp245
2035,32.09,ssp245
2036,29.76,ssp245
2037,32.66,ssp245
2038,32.36,ssp245
2039,32.04,ssp245
2040,30.93,ssp245
2041,31.43,ssp245
2042,32.67,ssp245
2043,31.77,ssp245
2044,32.29,ssp245
2045,31.43,ssp245
2046,31.98,ssp245
2047,31.27,ssp245
2048,32.78,ssp245
2049,31.25,ssp245
2050,30.97,ssp245
2051,31.27,ssp245
2052,33.9,ssp245
2053,32.16,ssp245
2054,32.08,ssp245
2055,31.43,ssp245
2056,32.29,ssp245
2057,32.01,ssp245
2058,31.48,ssp245
2059,32.8,ssp245
2060,33.04,ssp245
2061,31.35,ssp245
2062,32.49,ssp245
2063,31.4,ssp245
2064,32.02,ssp245
2065,32.89,ssp245
2066,32.59,ssp245
2067,31.95,ssp245
2068,32.61,ssp245
2069,32.5,ssp245
2070,31.09,ssp245
2071,31.8,ssp245
2072,32.18,ssp245
2073,34.32,ssp245
2074,32.06,ssp245
2075,31.55,ssp245
2076,32.94,ssp245
2077,31.06,ssp245
2078,31.75,ssp245
2079,32.38,ssp245
2080,32.32,ssp245
2081,33.28,ssp245
2082,33.19,ssp245
2083,32.08,ssp245
2084,32.08,ssp245
2085,34.11,ssp245
2086,32.4,ssp245
2087,31.66,ssp245
2088,33.21,ssp245
2089,32.63,ssp245
2090,32.39,ssp245
2091,32.23,ssp245
2092,32.9,ssp245
2093,32.51,ssp245
2094,31.42,ssp245
2095,32.11,ssp245
2096,32.29,ssp245
2097,32.37,ssp245
2098,33.86,ssp245
2099,32.28,ssp245
2100,32.34,ssp245
1950,30.6,ssp585
1951,31.11,ssp585
1952,29.85,ssp585
1953,28.79,ssp585
1954,30.4,ssp585
1955,29.48,ssp585
1956,29.19,ssp585
1957,29.56,ssp585
1958,30.31,ssp585
1959,29.62,ssp585
1960,30.27,ssp585
1961,30.56,ssp585
1962,31.7,ssp585
1963,29.72,ssp585
1964,29.86,ssp585
1965,29.55,ssp585
1966,31.16,ssp585
1967,28.52,ssp585
1968,29.98,ssp585
1969,29.66,ssp585
1970,29.94,ssp585
1971,28.76,ssp585
1972,30.48,ssp585
1973,30.09,ssp585
1974,30.77,ssp585
1975,29.54,ssp585
1976,30.77,ssp585
1977,29.97,ssp585
1978,29.64,ssp585
1979,30.46,ssp585
1980,30.11,ssp585
1981,29.83,ssp585
1982,30.32,ssp585
1983,30.02,ssp585
1984,30.11,ssp585
1985,29.64,ssp585
1986,29.99,ssp585
1987,30.3,ssp585
1988,31.16,ssp585
1989,29.3,ssp585
1990,30.41,ssp585
1991,30.93,ssp585
1992,29.59,ssp585
1993,30.42,ssp585
1994,30.14,ssp585
1995,30.06,ssp585
1996,30.37,ssp585
1997,30.99,ssp585
1998,30.6,ssp585
1999,30.92,ssp585
2000,29.81,ssp585
2001,30.73,ssp585
2002,30.4,ssp585
2003,31.37,ssp585
2004,30.78,ssp585
2005,30.59,ssp585
2006,30.21,ssp585
2007,30.32,ssp585
2008,29.99,ssp585
2009,31.24,ssp585
2010,29.99,ssp585
2011,31.82,ssp585
2012,31.12,ssp585
2013,31.7,ssp585
2014,30.45,ssp585
2015,30.63,ssp585
2016,31.24,ssp585
2017,30.68,ssp585
2018,31.5,ssp585
2019,31.37,ssp585
2020,31.45,ssp585
2021,31.41,ssp585
2022,31.92,ssp585
2023,31.83,ssp585
2024,31.75,ssp585
2025,31.72,ssp585
2026,30.49,ssp585
2027,31.38,ssp585
2028,31.9,ssp585
2029,31.84,ssp585
2030,31.52,ssp585
2031,31.4,ssp585
2032,31.27,ssp585
2033,30.6,ssp585
2034,32.2,ssp585
2035,31.48,ssp585
2036,31.05,ssp585
2037,32.28,ssp585
2038,32.05,ssp585
2039,31.95,ssp585
2040,32.42,ssp585
2041,31.92,ssp585
2042,32.13,ssp585
2043,31.7,ssp585
2044,31.74,ssp585
2045,31.91,ssp585
2046,31.96,ssp585
2047,32.94,ssp585
2048,31.27,ssp585
2049,33.02,ssp585
2050,32.52,ssp585
2051,30.86,ssp585
2052,31.25,ssp585
2053,32.87,ssp585
2054,31.23,ssp585
2055,31.83,ssp585
2056,32.42,ssp585
2057,32.88,ssp585
2058,32.0,ssp585
2059,32.99,ssp585
2060,33.36,ssp585
2061,33.29,ssp585
2062,32.19,ssp585
2063,31.93,ssp585
2064,31.51,ssp585
2065,32.35,ssp585
2066,33.2,ssp585
2067,32.99,ssp585
2068,31.94,ssp585
2069,32.0,ssp585
2070,34.11,ssp585
2071,32.1,ssp585
2072,33.07,ssp585
2073,33.52,ssp585
2074,32.68,ssp585
2075,34.0,ssp585
2076,32.66,ssp585
2077,32.68,ssp585
2078,32.61,ssp585
2079,33.06,ssp585
2080,34.42,ssp585
2081,33.26,ssp585
2082,33.18,ssp585
2083,32.4,ssp585
2084,33.47,ssp585
2085,33.63,ssp585
2086,33.97,ssp585
2087,34.04,ssp585
2088,33.12,ssp585
2089,33.0,ssp585
2090,33.15,ssp585
2091,32.73,ssp585
2092,31.31,ssp585
2093,31.61,ssp585
2094,32.93,ssp585
2095,33.36,ssp585
2096,32.2,ssp585
2097,34.4,ssp585
2098,33.78,ssp585
2099,32.41,ssp585
2100,33.23,ssp585
1950,30.59,ssp126
1951,31.11,ssp126
1952,29.84,ssp126
1953,28.79,ssp126
1954,30.39,ssp126
1955,29.47,ssp126
1956,29.19,ssp126
1957,29.55,ssp126
1958,30.3,ssp126
1959,29.62,ssp126
1960,30.26,ssp126
1961,30.55,ssp126
1962,31.69,ssp126
1963,29.71,ssp126
1964,29.85,ssp126
1965,29.54,ssp126
1966,31.15,ssp126
1967,28.51,ssp126
1968,29.97,ssp126
1969,29.65,ssp126
1970,29.93,ssp126
1971,28.76,ssp126
1972,30.47,ssp126
1973,30.08,ssp126
1974,30.76,ssp126
1975,29.53,ssp126
1976,30.76,ssp126
1977,29.96,ssp126
1978,29.63,ssp126
1979,30.46,ssp126
1980,30.1,ssp126
1981,29.82,ssp126
1982,30.31,ssp126
1983,30.02,ssp126
1984,30.1,ssp126
1985,29.63,ssp126
1986,29.99,ssp126
1987,30.29,ssp126
1988,31.15,ssp126
1989,29.29,ssp126
1990,30.4,ssp126
1991,30.92,ssp126
1992,29.58,ssp126
1993,30.41,ssp126
1994,30.13,ssp126
1995,30.05,ssp126
1996,30.36,ssp126
1997,30.98,ssp126
1998,30.59,ssp126
1999,30.91,ssp126
2000,29.8,ssp126
2001,30.72,ssp126
2002,30.4,ssp126
2003,31.36,ssp126
2004,30.78,ssp126
2005,30.58,ssp126
2006,30.21,ssp126
2007,30.31,ssp126
2008,29.99,ssp126
2009,31.24,ssp126
2010,29.99,ssp126
2011,31.82,ssp126
2012,31.12,ssp126
2013,31.69,ssp126
2014,30.45,ssp126
2015,30.86,ssp126
2016,31.56,ssp126
2017,31.16,ssp126
2018,31.93,ssp126
2019,31.04,ssp126
2020,31.78,ssp126
2021,31.32,ssp126
2022,30.56,ssp126
2023,31.35,ssp126
2024,30.45,ssp126
2025,30.38,ssp126
2026,30.3,ssp126
2027,31.4,ssp126
2028,31.66,ssp126
2029,30.31,ssp126
2030,31.98,ssp126
2031,32.11,ssp126
2032,32.16,ssp126
2033,31.95,ssp126
2034,32.51,ssp126
2035,32.1,ssp126
2036,32.81,ssp126
2037,32.57,ssp126
2038,31.65,ssp126
2039,32.02,ssp126
2040,31.79,ssp126
2041,31.86,ssp126
2042,32.73,ssp126
2043,32.15,ssp126
2044,31.89,ssp126
2045,31.39,ssp126
2046,31.42,ssp126
2047,32.28,ssp126
2048,31.9,ssp126
2049,31.31,ssp126
2050,32.78,ssp126
2051,31.64,ssp126
2052,31.72,ssp126
2053,31.26,ssp126
2054,30.96,ssp126
2055,31.3,ssp126
2056,31.73,ssp126
2057,31.4,ssp126
2058,32.64,ssp126
2059,32.63,ssp126
2060,31.57,ssp126
2061,31.48,ssp126
2062,32.94,ssp126
2063,31.96,ssp126
2064,31.39,ssp126
2065,31.42,ssp126
2066,31.92,ssp126
2067,32.26,ssp126
2068,31.6,ssp126
2069,32.02,ssp126
2070,32.6,ssp126
2071,31.11,ssp126
2072,31.59,ssp126
2073,31.48,ssp126
2074,32.53,ssp126
2075,31.93,ssp126
2076,33.83,ssp126
2077,31.4,ssp126
2078,30.98,ssp126
2079,31.7,ssp126
2080,32.21,ssp126
2081,32.98,ssp126
2082,32.25,ssp126
2083,32.1,ssp126
2084,33.5,ssp126
2085,31.44,ssp126
2086,33.24,ssp126
2087,31.93,ssp126
2088,31.52,ssp126
2089,32.01,ssp126
2090,32.36,ssp126
2091,32.79,ssp126
2092,30.52,ssp126
2093,31.68,ssp126
2094,32.13,ssp126
2095,31.61,ssp126
2096,31.69,ssp126
2097,32.17,ssp126
2098,32.61,ssp126
2099,32.18,ssp126
2100,32.12,ssp126
1950,30.6,ssp370
1951,31.11,ssp370
1952,29.84,ssp370
1953,28.79,ssp370
1954,30.4,ssp370
1955,29.48,ssp370
1956,29.19,ssp370
1957,29.56,ssp370
1958,30.31,ssp370
1959,29.62,ssp370
1960,30.27,ssp370
1961,30.55,ssp370
1962,31.69,ssp370
1963,29.71,ssp370
1964,29.86,ssp370
1965,29.55,ssp370
1966,31.16,ssp370
1967,28.52,ssp370
1968,29.98,ssp370
1969,29.66,ssp370
1970,29.94,ssp370
1971,28.76,ssp370
1972,30.47,ssp370
1973,30.09,ssp370
1974,30.77,ssp370
1975,29.54,ssp370
1976,30.77,ssp370
1977,29.97,ssp370
1978,29.64,ssp370
1979,30.46,ssp370
1980,30.1,ssp370
1981,29.83,ssp370
1982,30.32,ssp370
1983,30.02,ssp370
1984,30.11,ssp370
1985,29.63,ssp370
1986,29.99,ssp370
1987,30.29,ssp370
1988,31.15,ssp370
1989,29.3,ssp370
1990,30.4,ssp370
1991,30.93,ssp370
1992,29.59,ssp370
1993,30.41,ssp370
1994,30.14,ssp370
1995,30.06,ssp370
1996,30.37,ssp370
1997,30.99,ssp370
1998,30.6,ssp370
1999,30.91,ssp370
2000,29.81,ssp370
2001,30.72,ssp370
2002,30.4,ssp370
2003,31.37,ssp370
2004,30.78,ssp370
2005,30.59,ssp370
2006,30.21,ssp370
2007,30.31,ssp370
2008,29.99,ssp370
2009,31.24,ssp370
2010,29.99,ssp370
2011,31.82,ssp370
2012,31.11,ssp370
2013,31.69,ssp370
2014,30.45,ssp370
2015,30.46,ssp370
2016,30.95,ssp370
2017,32.36,ssp370
2018,33.07,ssp370
2019,31.74,ssp370
2020,30.51,ssp370
2021,30.34,ssp370
2022,30.71,ssp370
2023,31.19,ssp370
