year,total_pr,scenario,model
1950,31.87,ssp126,ACCESS-CM2
1951,31.01,ssp126,ACCESS-CM2
1952,33.86,ssp126,ACCESS-CM2
1953,29.9,ssp126,ACCESS-CM2
1954,30.36,ssp126,ACCESS-CM2
1955,31.92,ssp126,ACCESS-CM2
1956,27.28,ssp126,ACCESS-CM2
1957,30.86,ssp126,ACCESS-CM2
1958,31.59,ssp126,ACCESS-CM2
1959,28.74,ssp126,ACCESS-CM2
1960,30.03,ssp126,ACCESS-CM2
1961,28.37,ssp126,ACCESS-CM2
1962,29.69,ssp126,ACCESS-CM2
1963,30.45,ssp126,ACCESS-CM2
1964,31.57,ssp126,ACCESS-CM2
1965,29.64,ssp126,ACCESS-CM2
1966,31.97,ssp126,ACCESS-CM2
1967,28.53,ssp126,ACCESS-CM2
1968,31.13,ssp126,ACCESS-CM2
1969,25.53,ssp126,ACCESS-CM2
1970,28.78,ssp126,ACCESS-CM2
1971,28.5,ssp126,ACCESS-CM2
1972,33.08,ssp126,ACCESS-CM2
1973,31.15,ssp126,ACCESS-CM2
1974,31.69,ssp126,ACCESS-CM2
1975,34.28,ssp126,ACCESS-CM2
1976,35.55,ssp126,ACCESS-CM2
1977,27.92,ssp126,ACCESS-CM2
1978,28.29,ssp126,ACCESS-CM2
1979,28.69,ssp126,ACCESS-CM2
1980,29.04,ssp126,ACCESS-CM2
1981,27.02,ssp126,ACCESS-CM2
1982,31.15,ssp126,ACCESS-CM2
1983,30.09,ssp126,ACCESS-CM2
1984,29.27,ssp126,ACCESS-CM2
1985,33.58,ssp126,ACCESS-CM2
1986,30.45,ssp126,ACCESS-CM2
1987,31.94,ssp126,ACCESS-CM2
1988,31.45,ssp126,ACCESS-CM2
1989,29.37,ssp126,ACCESS-CM2
1990,30.9,ssp126,ACCESS-CM2
1991,32.12,ssp126,ACCESS-CM2
1992,30.12,ssp126,ACCESS-CM2
1993,31.28,ssp126,ACCESS-CM2
1994,29.55,ssp126,ACCESS-CM2
1995,29.37,ssp126,ACCESS-CM2
1996,29.64,ssp126,ACCESS-CM2
1997,27.79,ssp126,ACCESS-CM2
1998,29.61,ssp126,ACCESS-CM2
1999,31.08,ssp126,ACCESS-CM2
2000,27.82,ssp126,ACCESS-CM2
2001,26.74,ssp126,ACCESS-CM2
2002,30.06,ssp126,ACCESS-CM2
2003,33.94,ssp126,ACCESS-CM2
2004,32.0,ssp126,ACCESS-CM2
2005,33.62,ssp126,ACCESS-CM2
2006,30.69,ssp126,ACCESS-CM2
2007,30.04,ssp126,ACCESS-CM2
2008,28.33,ssp126,ACCESS-CM2
