year,ssp126,ssp245,ssp370,ssp585
1850,64.22,64.22,64.22,64.22
1851,64.22,64.22,64.22,64.22
1852,64.4,64.4,64.4,64.4
1853,64.4,64.4,64.4,64.4
1854,64.4,64.4,64.4,64.4
1855,64.4,64.4,64.4,64.4
1856,64.22,64.22,64.22,64.22
1857,64.22,64.22,64.22,64.22
1858,64.22,64.22,64.22,64.22
1859,64.22,64.22,64.22,64.22
1860,64.22,64.22,64.22,64.22
1861,64.22,64.22,64.22,64.22
1862,64.22,64.22,64.22,64.22
1863,64.22,64.22,64.22,64.22
1864,64.4,64.4,64.4,64.4
1865,64.4,64.4,64.4,64.4
1866,64.4,64.4,64.4,64.4
1867,64.4,64.4,64.4,64.4
1868,64.4,64.4,64.4,64.4
1869,64.4,64.4,64.4,64.4
1870,64.4,64.4,64.4,64.4
1871,64.4,64.4,64.4,64.4
1872,64.4,64.4,64.4,64.4
1873,64.4,64.4,64.4,64.4
1874,64.4,64.4,64.4,64.4
1875,64.4,64.4,64.4,64.4
1876,64.4,64.4,64.4,64.4
1877,64.4,64.4,64.4,64.4
1878,64.4,64.4,64.4,64.4
1879,64.4,64.4,64.4,64.4
1880,64.4,64.4,64.4,64.4
1881,64.4,64.4,64.4,64.4
1882,64.4,64.4,64.4,64.4
1883,64.22,64.22,64.22,64.22
1884,64.04,64.04,64.04,64.04
1885,64.04,64.04,64.04,64.04
1886,64.04,64.04,64.04,64.04
1887,64.04,64.04,64.04,64.04
1888,64.22,64.22,64.22,64.22
1889,64.22,64.22,64.22,64.22
1890,64.4,64.4,64.4,64.4
1891,64.22,64.22,64.22,64.22
1892,64.22,64.22,64.22,64.22
1893,64.22,64.22,64.22,64.22
1894,64.4,64.4,64.4,64.4
1895,64.4,64.4,64.4,64.4
1896,64.4,64.4,64.4,64.4
1897,64.4,64.4,64.4,64.4
1898,64.4,64.4,64.4,64.4
1899,64.4,64.4,64.4,64.4
1900,64.4,64.4,64.4,64.4
1901,64.4,64.4,64.4,64.4
1902,64.4,64.4,64.4,64.4
1903,64.22,64.22,64.22,64.22
1904,64.22,64.22,64.22,64.22
1905,64.22,64.22,64.22,64.22
