,year,avg_djf_temp_f,scenario,model
0,1950,,ssp245,gfdl-esm4
1,1951,36.16453772841175,ssp245,gfdl-esm4
2,1952,30.659404804727597,ssp245,gfdl-esm4
3,1953,30.566269823699837,ssp245,gfdl-esm4
4,1954,34.17505104397059,ssp245,gfdl-esm4
5,1955,33.68992491035751,ssp245,gfdl-esm4
6,1956,33.824892652055205,ssp245,gfdl-esm4
7,1957,31.007517328488245,ssp245,gfdl-esm4
8,1958,29.990589177774194,ssp245,gfdl-esm4
9,1959,28.29840552704042,ssp245,gfdl-esm4
10,1960,27.83159851804929,ssp245,gfdl-esm4
11,1961,29.991069593102647,ssp245,gfdl-esm4
12,1962,29.93047644950524,ssp245,gfdl-esm4
13,1963,32.612536106751584,ssp245,gfdl-esm4
14,1964,30.752213301499065,ssp245,gfdl-esm4
15,1965,31.848160219633662,ssp245,gfdl-esm4
16,1966,30.524184578044597,ssp245,gfdl-esm4
17,1967,28.394943488867234,ssp245,gfdl-esm4
18,1968,33.42928925320303,ssp245,gfdl-esm4
19,1969,31.795145635937814,ssp245,gfdl-esm4
20,1970,30.76389037096868,ssp245,gfdl-esm4
21,1971,32.62619890033691,ssp245,gfdl-esm4
22,1972,31.058139655925647,ssp245,gfdl-esm4
23,1973,32.89013917780923,ssp245,gfdl-esm4
24,1974,29.875028043310916,ssp245,gfdl-esm4
25,1975,30.25102730566281,ssp245,gfdl-esm4
26,1976,30.09960508534255,ssp245,gfdl-esm4
27,1977,27.6449118114519,ssp245,gfdl-esm4
28,1978,29.82004480830366,ssp245,gfdl-esm4
29,1979,32.34161027177303,ssp245,gfdl-esm4
30,1980,33.23010708430476,ssp245,gfdl-esm4
31,1981,30.78286795944846,ssp245,gfdl-esm4
32,1982,30.82073889913258,ssp245,gfdl-esm4
33,1983,31.42815917153752,ssp245,gfdl-esm4
34,1984,31.82082189100195,ssp245,gfdl-esm4
35,1985,28.162741202334196,ssp245,gfdl-esm4
36,1986,31.958993743465975,ssp245,gfdl-esm4
37,1987,29.00162299954212,ssp245,gfdl-esm4
38,1988,28.01869180138671,ssp245,gfdl-esm4
39,1989,33.92204540023176,ssp245,gfdl-esm4
40,1990,33.482690678026934,ssp245,gfdl-esm4
41,1991,33.894849962180494,ssp245,gfdl-esm4
42,1992,32.52718109357213,ssp245,gfdl-esm4
43,1993,32.11073658979585,ssp245,gfdl-esm4
44,1994,29.372279154415914,ssp245,gfdl-esm4
45,1995,29.039643995435114,ssp245,gfdl-esm4
46,1996,32.62102513874575,ssp245,gfdl-esm4
47,1997,30.169374933328683,ssp245,gfdl-esm4
48,1998,30.379295281336784,ssp245,gfdl-esm4
49,1999,33.15910932550873,ssp245,gfdl-esm4
50,2000,26.730505979643567,ssp245,gfdl-esm4
51,2001,29.345060389334403,ssp245,gfdl-esm4
52,2002,32.0369088877961,ssp245,gfdl-esm4
53,2003,26.569021468236183,ssp245,gfdl-esm4
54,2004,29.874987637820414,ssp245,gfdl-esm4
55,2005,31.459422990855213,ssp245,gfdl-esm4
56,2006,29.300147519179703,ssp245,gfdl-esm4
57,2007,28.84638203643666,ssp245,gfdl-esm4
58,2008,33.654688452647406,ssp245,gfdl-esm4
59,2009,34.34204381007222,ssp245,gfdl-esm4
60,2010,29.592169839043148,ssp245,gfdl-esm4
61,2011,34.08493360416546,ssp245,gfdl-esm4
62,2012,30.415745913410863,ssp245,gfdl-esm4
63,2013,31.463100332905103,ssp245,gfdl-esm4
64,2014,30.80700827719491,ssp245,gfdl-esm4
65,2015,29.760411204155968,ssp245,gfdl-esm4
66,2016,34.611982296546635,ssp245,gfdl-esm4
67,2017,30.1693967156774,ssp245,gfdl-esm4
68,2018,31.925360621656996,ssp245,gfdl-esm4
69,2019,31.105405065278372,ssp245,gfdl-esm4
70,2020,32.19953661278646,ssp245,gfdl-esm4
71,2021,37.00785192344235,ssp245,gfdl-esm4
72,2022,34.79093257199636,ssp245,gfdl-esm4
73,2023,29.242610225675914,ssp245,gfdl-esm4
74,2024,30.235681551026897,ssp245,gfdl-esm4
75,2025,34.44792251322319,ssp245,gfdl-esm4
76,2026,32.68114224887942,ssp245,gfdl-esm4
77,2027,31.25956294739562,ssp245,gfdl-esm4
78,2028,33.91710855813772,ssp245,gfdl-esm4
79,2029,33.65139462914849,ssp245,gfdl-esm4
80,2030,32.824378189500585,ssp245,gfdl-esm4
81,2031,33.43091868605038,ssp245,gfdl-esm4
82,2032,33.438507219227176,ssp245,gfdl-esm4
83,2033,36.130729236605056,ssp245,gfdl-esm4
84,2034,32.16928381419643,ssp245,gfdl-esm4
85,2035,32.4835645433806,ssp245,gfdl-esm4
86,2036,33.84956534888271,ssp245,gfdl-esm4
87,2037,34.362416479640295,ssp245,gfdl-esm4
88,2038,32.79168651910338,ssp245,gfdl-esm4
89,2039,33.11385447081922,ssp245,gfdl-esm4
90,2040,36.52737013461171,ssp245,gfdl-esm4
91,2041,29.71003505820829,ssp245,gfdl-esm4
92,2042,34.06686558669668,ssp245,gfdl-esm4
93,2043,31.567071152261803,ssp245,gfdl-esm4
94,2044,30.830557466555433,ssp245,gfdl-esm4
95,2045,35.9159587549118,ssp245,gfdl-esm4
96,2046,35.74030927617435,ssp245,gfdl-esm4
97,2047,33.90661948227036,ssp245,gfdl-esm4
98,2048,34.49043294893935,ssp245,gfdl-esm4
99,2049,36.63701333846936,ssp245,gfdl-esm4
100,2050,31.815049153135256,ssp245,gfdl-esm4
101,2051,33.668740187279646,ssp245,gfdl-esm4
102,2052,38.27279375476881,ssp245,gfdl-esm4
103,2053,31.565422008528923,ssp245,gfdl-esm4
104,2054,36.44797991894422,ssp245,gfdl-esm4
105,2055,33.770148990160024,ssp245,gfdl-esm4
106,2056,32.86914990841435,ssp245,gfdl-esm4
