,year,avg_jja_temp_f,scenario,model
0,1950,71.09116671192685,ssp585,access-cm2
1,1951,69.1283414257873,ssp585,access-cm2
2,1952,70.27014532245026,ssp585,access-cm2
3,1953,69.68101015606405,ssp585,access-cm2
4,1954,71.42867999478487,ssp585,access-cm2
5,1955,69.87307909755243,ssp585,access-cm2
6,1956,72.5081000880227,ssp585,access-cm2
7,1957,71.13240133101642,ssp585,access-cm2
8,1958,70.50505797590486,ssp585,access-cm2
9,1959,70.19602306583819,ssp585,access-cm2
10,1960,70.43879881941591,ssp585,access-cm2
11,1961,70.80196641618552,ssp585,access-cm2
12,1962,71.17341521901943,ssp585,access-cm2
13,1963,69.69077960037731,ssp585,access-cm2
14,1964,70.29184534083649,ssp585,access-cm2
15,1965,69.17867427084884,ssp585,access-cm2
16,1966,68.93402286410058,ssp585,access-cm2
17,1967,70.84265852624347,ssp585,access-cm2
18,1968,69.804701318905,ssp585,access-cm2
19,1969,71.0248184415469,ssp585,access-cm2
20,1970,70.03414627794305,ssp585,access-cm2
21,1971,69.0064420904641,ssp585,access-cm2
22,1972,69.30686948403829,ssp585,access-cm2
23,1973,70.18752512394101,ssp585,access-cm2
24,1974,69.08699953946201,ssp585,access-cm2
25,1975,69.92923045301184,ssp585,access-cm2
26,1976,69.62198097770774,ssp585,access-cm2
27,1977,70.06123635483064,ssp585,access-cm2
28,1978,72.15089340118179,ssp585,access-cm2
29,1979,71.48297128767,ssp585,access-cm2
30,1980,70.57102463692175,ssp585,access-cm2
31,1981,71.21215879925147,ssp585,access-cm2
32,1982,69.95298710866828,ssp585,access-cm2
33,1983,70.29427319416452,ssp585,access-cm2
34,1984,71.96704867103566,ssp585,access-cm2
35,1985,71.14763390574672,ssp585,access-cm2
36,1986,70.65064138985225,ssp585,access-cm2
37,1987,69.82912837343787,ssp585,access-cm2
38,1988,70.66316978885035,ssp585,access-cm2
39,1989,71.51954857089362,ssp585,access-cm2
40,1990,72.01003719872259,ssp585,access-cm2
41,1991,70.24339249062811,ssp585,access-cm2
42,1992,69.9645067853015,ssp585,access-cm2
43,1993,70.5535059520329,ssp585,access-cm2
44,1994,70.12085346557633,ssp585,access-cm2
45,1995,69.91068645549974,ssp585,access-cm2
46,1996,70.73048488434854,ssp585,access-cm2
47,1997,72.49724735661361,ssp585,access-cm2
48,1998,71.37900790633797,ssp585,access-cm2
49,1999,71.37750571775791,ssp585,access-cm2
50,2000,72.83014641489599,ssp585,access-cm2
51,2001,73.41532296539557,ssp585,access-cm2
52,2002,72.36475226338447,ssp585,access-cm2
53,2003,72.58324170685756,ssp585,access-cm2
54,2004,72.12133038090907,ssp585,access-cm2
55,2005,71.6177387162304,ssp585,access-cm2
56,2006,73.23564497620377,ssp585,access-cm2
57,2007,73.0441002345452,ssp585,access-cm2
58,2008,71.38671943517903,ssp585,access-cm2
59,2009,73.16531515301753,ssp585,access-cm2
60,2010,72.77552353961488,ssp585,access-cm2
61,2011,71.53980049857302,ssp585,access-cm2
62,2012,73.90597530469971,ssp585,access-cm2
63,2013,75.54062480023485,ssp585,access-cm2
64,2014,73.20810693863451,ssp585,access-cm2
65,2015,73.18913007804693,ssp585,access-cm2
66,2016,75.33683880011463,ssp585,access-cm2
67,2017,74.45262157045063,ssp585,access-cm2
68,2018,74.0868522924995,ssp585,access-cm2
69,2019,75.06196065279357,ssp585,access-cm2
70,2020,74.06578867312481,ssp585,access-cm2
71,2021,73.7245177636985,ssp585,access-cm2
72,2022,76.39905229503584,ssp585,access-cm2
73,2023,75.13392604607319,ssp585,access-cm2
74,2024,75.99114297672078,ssp585,access-cm2
75,2025,75.4540724786575,ssp585,access-cm2
76,2026,75.94465865866923,ssp585,access-cm2
77,2027,74.36498269336329,ssp585,access-cm2
78,2028,75.8284768955587,ssp585,access-cm2
79,2029,74.07165729543308,ssp585,access-cm2
80,2030,76.53673513223093,ssp585,access-cm2
81,2031,76.31178461728119,ssp585,access-cm2
82,2032,75.4841930644978,ssp585,access-cm2
83,2033,75.95839760864357,ssp585,access-cm2
84,2034,77.42077807733453,ssp585,access-cm2
85,2035,74.30051891323734,ssp585,access-cm2
86,2036,76.6726142006325,ssp585,access-cm2
87,2037,76.65749975317024,ssp585,access-cm2
88,2038,76.19511517562196,ssp585,access-cm2
89,2039,76.59661446306275,ssp585,access-cm2
90,2040,76.53138024249942,ssp585,access-cm2
91,2041,76.11597368096659,ssp585,access-cm2
92,2042,78.55133810715992,ssp585,access-cm2
93,2043,77.13386802045667,ssp585,access-cm2
94,2044,77.64935336264958,ssp585,access-cm2
95,2045,76.12131018863938,ssp585,access-cm2
96,2046,78.964296320667,ssp585,access-cm2
97,2047,77.4707519354229,ssp585,access-cm2
98,2048,80.68801764088957,ssp585,access-cm2
99,2049,76.92964559757625,ssp585,access-cm2
100,2050,77.65682486634796,ssp585,access-cm2
101,2051,78.66054192044231,ssp585,access-cm2
102,2052,77.80009477117937,ssp585,access-cm2
103,2053,79.2513799107341,ssp585,access-cm2
104,2054,79.33767603128074,ssp585,access-cm2
105,2055,79.85397317419647,ssp585,access-cm2
106,2056,78.74763562331424,ssp585,access-cm2
107,2057,80.01465766288545,ssp585,access-cm2
108,2058,79.90908013506979,ssp585,access-cm2
109,2059,79.62807200105699,ssp585,access-cm2
110,2060,80.26708914011253,ssp585,access-cm2
111,2061,79.80846752830693,ssp585,access-cm2
112,2062,80.86966556247367,ssp585,access-cm2
113,2063,79.77393075694215,ssp585,access-cm2
114,2064,80.0496124018126,ssp585,access-cm2
115,2065,81.3915773700691,ssp585,access-cm2
116,2066,81.03315059550548,ssp585,access-cm2
117,2067,81.68271273878959,ssp585,access-cm2
118,2068,82.04368927696395,ssp585,access-cm2
119,2069,82.17847873251,ssp585,access-cm2
120,2070,84.6058083518372,ssp585,access-cm2
121,2071,83.45169473177485,ssp585,access-cm2
122,2072,82.83745326003363,ssp585,access-cm2
123,2073,82.4183823751787,ssp585,access-cm2
124,2074,82.18551819432584,ssp585,access-cm2
125,2075,84.49023706074954,ssp585,access-cm2
126,2076,84.40453192149114,ssp585,access-cm2
127,2077,84.47506057309093,ssp585,access-cm2
128,2078,82.88125063803761,ssp585,access-cm2
129,2079,84.58545684841113,ssp585,access-cm2
130,2080,84.26694479827455,ssp585,access-cm2
131,2081,84.80361479981657,ssp585,access-cm2
132,2082,84.47572508352091,ssp585,access-cm2
133,2083,84.8860864264953,ssp585,access-cm2
134,2084,84.54548278670389,ssp585,access-cm2
135,2085,84.69600289741459,ssp585,access-cm2
136,2086,84.53873705585153,ssp585,access-cm2
137,2087,84.44892002938683,ssp585,access-cm2
138,2088,86.12562070469205,ssp585,access-cm2
139,2089,85.12889592202073,ssp585,access-cm2
140,2090,87.19939797115295,ssp585,access-cm2
141,2091,86.69523920958254,ssp585,access-cm2
142,2092,87.89294101635285,ssp585,access-cm2
143,2093,87.18626740094427,ssp585,access-cm2
144,2094,87.4376565649722,ssp585,access-cm2
145,2095,86.9401641353487,ssp585,access-cm2
146,2096,89.29584627590394,ssp585,access-cm2
147,2097,88.36579258910047,ssp585,access-cm2
148,2098,88.92367433312573,ssp585,access-cm2
149,2099,88.13264077038654,ssp585,access-cm2
150,2100,89.37195024383382,ssp585,access-cm2
0,1950,,hist,nclimgrid
1,1951,69.6687327722503,hist,nclimgrid
2,1952,71.5632948095251,hist,nclimgrid
3,1953,71.17999374425591,hist,nclimgrid
4,1954,71.11628870965909,hist,nclimgrid
5,1955,70.86783914705337,hist,nclimgrid
6,1956,70.75448973310763,hist,nclimgrid
7,1957,70.62719222454785,hist,nclimgrid
8,1958,70.32109801439874,hist,nclimgrid
9,1959,71.41930439971621,hist,nclimgrid
10,1960,70.83115531909037,hist,nclimgrid
11,1961,71.16360420549086,hist,nclimgrid
12,1962,69.72274443740226,hist,nclimgrid
13,1963,70.54560879223439,hist,nclimgrid
14,1964,70.17994382602765,hist,nclimgrid
15,1965,69.27991484226725,hist,nclimgrid
16,1966,70.43370604847135,hist,nclimgrid
17,1967,69.63793302431799,hist,nclimgrid
18,1968,69.7451348217228,hist,nclimgrid
19,1969,70.43755820858706,hist,nclimgrid
20,1970,71.27876886019725,hist,nclimgrid
21,1971,70.43956341836743,hist,nclimgrid
22,1972,69.83301212046564,hist,nclimgrid
23,1973,70.8232245544967,hist,nclimgrid
24,1974,70.15239198983592,hist,nclimgrid
25,1975,70.04973993624702,hist,nclimgrid
26,1976,69.68765998125397,hist,nclimgrid
27,1977,71.22558114938211,hist,nclimgrid
28,1978,70.550314629063,hist,nclimgrid
29,1979,69.82725761719544,hist,nclimgrid
30,1980,71.38667488779907,hist,nclimgrid
