,year,avg_mam_temp_f,scenario,model
0,1950,50.60566661175791,ssp126,bcc-csm2-mr
1,1951,50.288344254026654,ssp126,bcc-csm2-mr
2,1952,51.04668222596865,ssp126,bcc-csm2-mr
3,1953,50.87758426756692,ssp126,bcc-csm2-mr
4,1954,50.34389014931592,ssp126,bcc-csm2-mr
5,1955,48.78965661995566,ssp126,bcc-csm2-mr
6,1956,52.69063004047203,ssp126,bcc-csm2-mr
7,1957,47.89379156013751,ssp126,bcc-csm2-mr
8,1958,51.1740444189416,ssp126,bcc-csm2-mr
9,1959,50.36319444216166,ssp126,bcc-csm2-mr
10,1960,49.38591161215084,ssp126,bcc-csm2-mr
11,1961,51.81407406678561,ssp126,bcc-csm2-mr
12,1962,50.201368881519045,ssp126,bcc-csm2-mr
13,1963,52.732374069421645,ssp126,bcc-csm2-mr
14,1964,49.949975347933645,ssp126,bcc-csm2-mr
15,1965,49.92338321420525,ssp126,bcc-csm2-mr
16,1966,51.53770979623944,ssp126,bcc-csm2-mr
17,1967,49.470098790755905,ssp126,bcc-csm2-mr
18,1968,48.56893018868755,ssp126,bcc-csm2-mr
19,1969,48.89394349870945,ssp126,bcc-csm2-mr
20,1970,51.498891762259056,ssp126,bcc-csm2-mr
21,1971,49.65687619589528,ssp126,bcc-csm2-mr
22,1972,48.296944025382246,ssp126,bcc-csm2-mr
23,1973,50.58336121534461,ssp126,bcc-csm2-mr
24,1974,46.36334573183065,ssp126,bcc-csm2-mr
25,1975,47.740881748095134,ssp126,bcc-csm2-mr
26,1976,47.7952572686283,ssp126,bcc-csm2-mr
27,1977,50.565859862891344,ssp126,bcc-csm2-mr
28,1978,50.73963059233903,ssp126,bcc-csm2-mr
29,1979,50.15073853186762,ssp126,bcc-csm2-mr
30,1980,50.14716993253509,ssp126,bcc-csm2-mr
31,1981,49.29511626015485,ssp126,bcc-csm2-mr
32,1982,46.66613745897025,ssp126,bcc-csm2-mr
33,1983,47.99762554566497,ssp126,bcc-csm2-mr
34,1984,48.82527333600704,ssp126,bcc-csm2-mr
35,1985,50.83511502310534,ssp126,bcc-csm2-mr
36,1986,50.11802092081807,ssp126,bcc-csm2-mr
37,1987,49.11107451755661,ssp126,bcc-csm2-mr
38,1988,52.01053517589832,ssp126,bcc-csm2-mr
39,1989,50.09472107517569,ssp126,bcc-csm2-mr
40,1990,48.54421331938827,ssp126,bcc-csm2-mr
41,1991,50.577375140423655,ssp126,bcc-csm2-mr
42,1992,48.03005526348378,ssp126,bcc-csm2-mr
43,1993,50.672853157364045,ssp126,bcc-csm2-mr
44,1994,49.636305208070425,ssp126,bcc-csm2-mr
45,1995,47.57139989316462,ssp126,bcc-csm2-mr
46,1996,48.90852273008953,ssp126,bcc-csm2-mr
47,1997,48.10327598967787,ssp126,bcc-csm2-mr
48,1998,50.750172721935996,ssp126,bcc-csm2-mr
49,1999,51.969672760128425,ssp126,bcc-csm2-mr
50,2000,51.196064670454476,ssp126,bcc-csm2-mr
51,2001,50.4329760678217,ssp126,bcc-csm2-mr
52,2002,50.26285140834908,ssp126,bcc-csm2-mr
53,2003,49.62040589149551,ssp126,bcc-csm2-mr
54,2004,50.8497531826824,ssp126,bcc-csm2-mr
55,2005,50.593794865831896,ssp126,bcc-csm2-mr
56,2006,49.79582164468949,ssp126,bcc-csm2-mr
57,2007,48.96007181459565,ssp126,bcc-csm2-mr
58,2008,54.78320930855935,ssp126,bcc-csm2-mr
59,2009,51.37831916480566,ssp126,bcc-csm2-mr
60,2010,51.71952587949474,ssp126,bcc-csm2-mr
61,2011,52.210087909467404,ssp126,bcc-csm2-mr
62,2012,52.10651612982544,ssp126,bcc-csm2-mr
63,2013,49.2938621471281,ssp126,bcc-csm2-mr
64,2014,50.82549450967358,ssp126,bcc-csm2-mr
65,2015,51.43941414819126,ssp126,bcc-csm2-mr
66,2016,51.35654646807542,ssp126,bcc-csm2-mr
67,2017,49.304380173064,ssp126,bcc-csm2-mr
68,2018,52.71133338531636,ssp126,bcc-csm2-mr
69,2019,50.972049051417876,ssp126,bcc-csm2-mr
70,2020,49.82039374685298,ssp126,bcc-csm2-mr
71,2021,49.292148561449594,ssp126,bcc-csm2-mr
72,2022,53.40415776658822,ssp126,bcc-csm2-mr
73,2023,53.101565607425904,ssp126,bcc-csm2-mr
74,2024,52.02354352875217,ssp126,bcc-csm2-mr
75,2025,53.96585723183895,ssp126,bcc-csm2-mr
76,2026,52.66274290103033,ssp126,bcc-csm2-mr
77,2027,50.2968371768171,ssp126,bcc-csm2-mr
78,2028,54.98047397714951,ssp126,bcc-csm2-mr
79,2029,52.380035764712204,ssp126,bcc-csm2-mr
80,2030,53.783970731225594,ssp126,bcc-csm2-mr
81,2031,53.13739833178538,ssp126,bcc-csm2-mr
82,2032,52.95453346940086,ssp126,bcc-csm2-mr
83,2033,49.92295887566377,ssp126,bcc-csm2-mr
84,2034,52.14811559643195,ssp126,bcc-csm2-mr
85,2035,53.81048530125042,ssp126,bcc-csm2-mr
86,2036,50.35875955924545,ssp126,bcc-csm2-mr
87,2037,52.230777015669354,ssp126,bcc-csm2-mr
88,2038,54.695398549953744,ssp126,bcc-csm2-mr
89,2039,51.74653817279302,ssp126,bcc-csm2-mr
90,2040,55.064187720625974,ssp126,bcc-csm2-mr
91,2041,52.579824096203865,ssp126,bcc-csm2-mr
92,2042,50.15424594555185,ssp126,bcc-csm2-mr
93,2043,54.738044290770446,ssp126,bcc-csm2-mr
94,2044,54.28139405471601,ssp126,bcc-csm2-mr
95,2045,52.489778954228534,ssp126,bcc-csm2-mr
96,2046,53.25592271147723,ssp126,bcc-csm2-mr
97,2047,51.82791629601665,ssp126,bcc-csm2-mr
98,2048,54.27813721829845,ssp126,bcc-csm2-mr
99,2049,50.56530578439014,ssp126,bcc-csm2-mr
100,2050,52.33223241294438,ssp126,bcc-csm2-mr
101,2051,53.64718138512294,ssp126,bcc-csm2-mr
102,2052,51.22658455316741,ssp126,bcc-csm2-mr
103,2053,50.40093474565616,ssp126,bcc-csm2-mr
104,2054,53.30949890270109,ssp126,bcc-csm2-mr
105,2055,53.11739798531654,ssp126,bcc-csm2-mr
106,2056,50.04618997275721,ssp126,bcc-csm2-mr
107,2057,53.68718951865359,ssp126,bcc-csm2-mr
