,year,avg_son_temp_f,scenario,model
0,1950,51.70141386267372,ssp126,noresm2-mm
1,1951,51.54135081165869,ssp126,noresm2-mm
2,1952,53.98128633477634,ssp126,noresm2-mm
3,1953,51.72260771692976,ssp126,noresm2-mm
4,1954,52.61280971639417,ssp126,noresm2-mm
5,1955,52.07129142246428,ssp126,noresm2-mm
6,1956,52.60669593362151,ssp126,noresm2-mm
7,1957,52.51371898437514,ssp126,noresm2-mm
8,1958,50.71883580910581,ssp126,noresm2-mm
9,1959,51.87541677108307,ssp126,noresm2-mm
10,1960,54.610822819328575,ssp126,noresm2-mm
11,1961,51.92873696782803,ssp126,noresm2-mm
12,1962,50.29202886282494,ssp126,noresm2-mm
13,1963,49.90297003376455,ssp126,noresm2-mm
14,1964,52.26252943682837,ssp126,noresm2-mm
15,1965,52.70806692917135,ssp126,noresm2-mm
16,1966,52.93023781386953,ssp126,noresm2-mm
17,1967,51.535580366643515,ssp126,noresm2-mm
18,1968,51.88291524617188,ssp126,noresm2-mm
19,1969,52.46220232897108,ssp126,noresm2-mm
20,1970,52.61615720468373,ssp126,noresm2-mm
21,1971,51.4414222853303,ssp126,noresm2-mm
22,1972,52.457773144345936,ssp126,noresm2-mm
23,1973,51.384366002831925,ssp126,noresm2-mm
24,1974,51.31630527664399,ssp126,noresm2-mm
25,1975,52.80883920660065,ssp126,noresm2-mm
26,1976,50.47404132472645,ssp126,noresm2-mm
27,1977,52.3439793090551,ssp126,noresm2-mm
28,1978,51.86645745647858,ssp126,noresm2-mm
29,1979,52.06227447243114,ssp126,noresm2-mm
30,1980,53.26333310953476,ssp126,noresm2-mm
31,1981,53.00053734666342,ssp126,noresm2-mm
32,1982,51.692996755496836,ssp126,noresm2-mm
33,1983,49.45795807148945,ssp126,noresm2-mm
34,1984,53.27925294707939,ssp126,noresm2-mm
35,1985,54.12735151086614,ssp126,noresm2-mm
36,1986,50.48211025457448,ssp126,noresm2-mm
37,1987,55.12241421477653,ssp126,noresm2-mm
38,1988,53.69828115789141,ssp126,noresm2-mm
39,1989,53.160133920887965,ssp126,noresm2-mm
40,1990,55.472975935766875,ssp126,noresm2-mm
41,1991,53.681475057789896,ssp126,noresm2-mm
42,1992,53.12054339389956,ssp126,noresm2-mm
43,1993,52.33275590409082,ssp126,noresm2-mm
44,1994,53.99678351509715,ssp126,noresm2-mm
45,1995,53.178145586808654,ssp126,noresm2-mm
46,1996,51.84730000284485,ssp126,noresm2-mm
47,1997,53.38272058503593,ssp126,noresm2-mm
48,1998,52.433164082310185,ssp126,noresm2-mm
49,1999,52.73332738010393,ssp126,noresm2-mm
50,2000,53.97410393687873,ssp126,noresm2-mm
