,year,av_temp,scenario
0,1950,,nclimgrid
1,1951,50.71999306914785,nclimgrid
2,1952,51.85241193965184,nclimgrid
3,1953,54.43196718667511,nclimgrid
4,1954,53.84101181870637,nclimgrid
5,1955,51.7008151250514,nclimgrid
6,1956,52.68593681582259,nclimgrid
7,1957,50.91472813942974,nclimgrid
8,1958,53.21610031811874,nclimgrid
9,1959,50.896960194425496,nclimgrid
10,1960,53.44705155604714,nclimgrid
11,1961,51.37097681527112,nclimgrid
12,1962,53.359966183515674,nclimgrid
13,1963,55.59619336732548,nclimgrid
14,1964,52.038364990211555,nclimgrid
15,1965,52.493722150063896,nclimgrid
16,1966,52.3411020876754,nclimgrid
17,1967,52.11805059715101,nclimgrid
18,1968,52.125424579989605,nclimgrid
19,1969,51.547600762108125,nclimgrid
20,1970,51.48875959144253,nclimgrid
21,1971,52.43839663218839,nclimgrid
22,1972,50.62432126010836,nclimgrid
23,1973,53.158183721303104,nclimgrid
24,1974,51.79089181845159,nclimgrid
25,1975,52.21880589258249,nclimgrid
26,1976,49.86950736299551,nclimgrid
27,1977,52.9190945598162,nclimgrid
28,1978,52.588791914165625,nclimgrid
29,1979,52.638155912339926,nclimgrid
30,1980,52.552099444662915,nclimgrid
31,1981,52.83641208106744,nclimgrid
32,1982,51.552005903763806,nclimgrid
33,1983,53.32278941633033,nclimgrid
34,1984,51.48888141681694,nclimgrid
35,1985,50.58420033511117,nclimgrid
36,1986,51.7105487022809,nclimgrid
37,1987,52.97746039834703,nclimgrid
38,1988,52.75471516325345,nclimgrid
39,1989,52.588655957750376,nclimgrid
40,1990,54.24938505563962,nclimgrid
41,1991,51.810869392406445,nclimgrid
42,1992,51.88694004464256,nclimgrid
43,1993,50.56480018524955,nclimgrid
44,1994,52.95787165193305,nclimgrid
45,1995,52.46237357444087,nclimgrid
46,1996,50.951732482527255,nclimgrid
47,1997,52.58658190730305,nclimgrid
48,1998,55.13943662726245,nclimgrid
49,1999,54.57412748076492,nclimgrid
50,2000,51.68069122215107,nclimgrid
51,2001,54.72071846296465,nclimgrid
52,2002,52.26928080182741,nclimgrid
53,2003,53.362894336372435,nclimgrid
54,2004,53.835090611328646,nclimgrid
55,2005,54.69924565430135,nclimgrid
56,2006,52.10071376942089,nclimgrid
57,2007,54.46862978549852,nclimgrid
58,2008,53.25879434347484,nclimgrid
59,2009,53.06465860024686,nclimgrid
60,2010,53.75754833641871,nclimgrid
61,2011,53.867045506866845,nclimgrid
62,2012,53.54007703792244,nclimgrid
63,2013,52.819708708810595,nclimgrid
64,2014,52.93512828168154,nclimgrid
65,2015,55.636655562033724,nclimgrid
66,2016,56.41906507855548,nclimgrid
67,2017,54.38374820417063,nclimgrid
68,2018,52.43972913130543,nclimgrid
69,2019,52.44423832827752,nclimgrid
70,2020,,nclimgrid
71,2021,,nclimgrid
72,2022,,nclimgrid
73,2023,,nclimgrid
74,2024,,nclimgrid
75,2025,,nclimgrid
76,2026,,nclimgrid
77,2027,,nclimgrid
78,2028,,nclimgrid
79,2029,,nclimgrid
80,2030,,nclimgrid
81,2031,,nclimgrid
82,2032,,nclimgrid
83,2033,,nclimgrid
84,2034,,nclimgrid
85,2035,,nclimgrid
86,2036,,nclimgrid
87,2037,,nclimgrid
88,2038,,nclimgrid
89,2039,,nclimgrid
90,2040,,nclimgrid
91,2041,,nclimgrid
92,2042,,nclimgrid
93,2043,,nclimgrid
94,2044,,nclimgrid
95,2045,,nclimgrid
96,2046,,nclimgrid
97,2047,,nclimgrid
98,2048,,nclimgrid
99,2049,,nclimgrid
100,2050,,nclimgrid
101,2051,,nclimgrid
102,2052,,nclimgrid
103,2053,,nclimgrid
104,2054,,nclimgrid
105,2055,,nclimgrid
106,2056,,nclimgrid
107,2057,,nclimgrid
108,2058,,nclimgrid
109,2059,,nclimgrid
110,2060,,nclimgrid
111,2061,,nclimgrid
112,2062,,nclimgrid
113,2063,,nclimgrid
114,2064,,nclimgrid
115,2065,,nclimgrid
116,2066,,nclimgrid
117,2067,,nclimgrid
118,2068,,nclimgrid
119,2069,,nclimgrid
120,2070,,nclimgrid
121,2071,,nclimgrid
122,2072,,nclimgrid
123,2073,,nclimgrid
124,2074,,nclimgrid
125,2075,,nclimgrid
126,2076,,nclimgrid
127,2077,,nclimgrid
128,2078,,nclimgrid
129,2079,,nclimgrid
130,2080,,nclimgrid
131,2081,,nclimgrid
132,2082,,nclimgrid
133,2083,,nclimgrid
134,2084,,nclimgrid
135,2085,,nclimgrid
136,2086,,nclimgrid
137,2087,,nclimgrid
138,2088,,nclimgrid
139,2089,,nclimgrid
140,2090,,nclimgrid
141,2091,,nclimgrid
142,2092,,nclimgrid
143,2093,,nclimgrid
144,2094,,nclimgrid
145,2095,,nclimgrid
146,2096,,nclimgrid
147,2097,,nclimgrid
148,2098,,nclimgrid
149,2099,,nclimgrid
150,2100,,nclimgrid
0,1950,52.32198561146143,ssp126
1,1951,52.60358016166317,ssp126
2,1952,51.97335712560053,ssp126
3,1953,52.43918511446233,ssp126
4,1954,51.90880468548046,ssp126
5,1955,52.24630045670046,ssp126
6,1956,52.82566814972186,ssp126
7,1957,52.83307062115617,ssp126
8,1958,52.82952396531768,ssp126
9,1959,52.67553634674478,ssp126
10,1960,52.956896895359776,ssp126
11,1961,52.11087451086401,ssp126
12,1962,52.29512929965677,ssp126
13,1963,51.583183212672964,ssp126
14,1964,51.072346226324804,ssp126
15,1965,51.74078653251425,ssp126
16,1966,52.63147792105539,ssp126
17,1967,52.002891530822446,ssp126
18,1968,51.89808100141051,ssp126
19,1969,51.77691322841634,ssp126
20,1970,52.38354386201343,ssp126
21,1971,52.149366971206966,ssp126
22,1972,51.77773817352744,ssp126
23,1973,51.729316210652726,ssp126
24,1974,52.1349604549269,ssp126
25,1975,52.78144885962775,ssp126
26,1976,52.00339227758733,ssp126
27,1977,52.40467350425178,ssp126
28,1978,52.49388947471949,ssp126
29,1979,52.485464051217235,ssp126
30,1980,52.54047534722838,ssp126
31,1981,51.580389823656986,ssp126
32,1982,52.438219403179176,ssp126
33,1983,51.57218977435633,ssp126
34,1984,52.27525005117424,ssp126
35,1985,52.99332153387557,ssp126
36,1986,52.31805864930235,ssp126
37,1987,52.71898307768339,ssp126
38,1988,52.50237812815766,ssp126
39,1989,52.90199600628904,ssp126
40,1990,52.87587100780318,ssp126
41,1991,53.203100600979006,ssp126
42,1992,51.51722554152218,ssp126
43,1993,52.048255455070176,ssp126
44,1994,52.8026078181564,ssp126
45,1995,52.95861735315997,ssp126
46,1996,53.35665787710732,ssp126
47,1997,52.944343918066956,ssp126
48,1998,53.1648868505586,ssp126
49,1999,53.37460212385792,ssp126
50,2000,53.521223594350246,ssp126
51,2001,53.702017490711214,ssp126
52,2002,53.731066605526564,ssp126
53,2003,53.386608606167556,ssp126
54,2004,54.62726646280967,ssp126
55,2005,54.57660018202857,ssp126
56,2006,54.52685657738489,ssp126
57,2007,54.30610833204965,ssp126
58,2008,53.80904488021401,ssp126
59,2009,53.837596977725546,ssp126
60,2010,54.39273229986148,ssp126
61,2011,54.11646239049816,ssp126
62,2012,53.705950782875256,ssp126
63,2013,54.79122493098104,ssp126
64,2014,54.83360669921822,ssp126
65,2015,54.440773109340576,ssp126
66,2016,54.86064368336742,ssp126
67,2017,54.853197310670225,ssp126
68,2018,54.331487385996994,ssp126
69,2019,55.21788318486912,ssp126
70,2020,54.689490321922015,ssp126
71,2021,55.385485975885345,ssp126
72,2022,55.46224238536017,ssp126
73,2023,55.262405780136355,ssp126
74,2024,55.3512021192457,ssp126
75,2025,55.78772927586259,ssp126
76,2026,55.61522252720638,ssp126
77,2027,55.837484038048785,ssp126
78,2028,55.37371040117869,ssp126
79,2029,56.4007904536992,ssp126
80,2030,55.585212118695,ssp126
81,2031,55.534646588933064,ssp126
82,2032,55.57442380906114,ssp126
83,2033,55.68071054294898,ssp126
84,2034,55.54823723749779,ssp126
85,2035,55.95007357065768,ssp126
86,2036,55.58783731265721,ssp126
87,2037,56.572235388384755,ssp126
88,2038,56.40044392344099,ssp126
89,2039,56.05361323866548,ssp126
90,2040,55.66500743694512,ssp126
91,2041,56.37141598036612,ssp126
92,2042,56.68879787875382,ssp126
93,2043,55.58981627775913,ssp126
94,2044,56.70400690975961,ssp126
95,2045,55.847986043387934,ssp126
96,2046,56.66386601943662,ssp126
97,2047,56.143976601658046,ssp126
98,2048,56.98862909688723,ssp126
99,2049,56.79855773243881,ssp126
100,2050,55.91372520924876,ssp126
