,year,av_temp,scenario
0,1950,,nclimgrid
1,1951,48.29299993841647,nclimgrid
2,1952,48.74482037940374,nclimgrid
3,1953,49.17553209803268,nclimgrid
4,1954,49.198608341995545,nclimgrid
5,1955,49.930756190462816,nclimgrid
6,1956,49.23239588938762,nclimgrid
7,1957,49.312172511578936,nclimgrid
8,1958,49.043468101593206,nclimgrid
9,1959,50.01678410796575,nclimgrid
10,1960,47.95351160438883,nclimgrid
11,1961,49.09982449900885,nclimgrid
12,1962,49.36487883862735,nclimgrid
13,1963,50.8736827703933,nclimgrid
14,1964,49.17031005535719,nclimgrid
15,1965,47.934859023318246,nclimgrid
16,1966,49.775808014927044,nclimgrid
17,1967,49.212449266309555,nclimgrid
18,1968,49.61961204803518,nclimgrid
19,1969,48.82100899039536,nclimgrid
20,1970,48.31308185016861,nclimgrid
21,1971,48.14739115463871,nclimgrid
22,1972,50.438533965648695,nclimgrid
23,1973,49.69461961892508,nclimgrid
24,1974,50.63816965587236,nclimgrid
25,1975,47.247231103284086,nclimgrid
26,1976,49.829524252924664,nclimgrid
27,1977,51.87923752227764,nclimgrid
28,1978,49.59767998163641,nclimgrid
29,1979,49.11924006723957,nclimgrid
30,1980,49.25026966061856,nclimgrid
31,1981,51.17087812854256,nclimgrid
32,1982,49.117866438350795,nclimgrid
33,1983,48.01017759137978,nclimgrid
34,1984,48.61137622902705,nclimgrid
35,1985,52.08916276459576,nclimgrid
36,1986,52.20668440463523,nclimgrid
37,1987,52.05732848426801,nclimgrid
38,1988,50.74303219132415,nclimgrid
39,1989,50.5887454849629,nclimgrid
40,1990,50.8085461413149,nclimgrid
41,1991,51.34778392019881,nclimgrid
42,1992,51.73744999524457,nclimgrid
43,1993,49.74277982337672,nclimgrid
44,1994,51.47658652877149,nclimgrid
45,1995,49.13697692242255,nclimgrid
46,1996,48.74177621286303,nclimgrid
47,1997,49.32223727304374,nclimgrid
48,1998,50.496492513749864,nclimgrid
49,1999,50.244984092738356,nclimgrid
50,2000,52.67984364700616,nclimgrid
51,2001,51.22368674565442,nclimgrid
52,2002,49.17819579235685,nclimgrid
53,2003,50.73082769103463,nclimgrid
54,2004,52.741447571843835,nclimgrid
55,2005,50.22012331657025,nclimgrid
56,2006,52.08089603313062,nclimgrid
57,2007,52.35760438924832,nclimgrid
58,2008,49.148729205023955,nclimgrid
59,2009,50.43555809364931,nclimgrid
60,2010,51.09986389628944,nclimgrid
61,2011,49.83930181942296,nclimgrid
62,2012,54.94023066275729,nclimgrid
63,2013,49.15065618629921,nclimgrid
64,2014,49.84445899368829,nclimgrid
65,2015,51.96539428264193,nclimgrid
66,2016,52.51773493397842,nclimgrid
67,2017,52.1563310970734,nclimgrid
68,2018,51.10459192937004,nclimgrid
69,2019,49.44945030129525,nclimgrid
70,2020,,nclimgrid
71,2021,,nclimgrid
72,2022,,nclimgrid
73,2023,,nclimgrid
74,2024,,nclimgrid
75,2025,,nclimgrid
76,2026,,nclimgrid
77,2027,,nclimgrid
78,2028,,nclimgrid
79,2029,,nclimgrid
80,2030,,nclimgrid
81,2031,,nclimgrid
82,2032,,nclimgrid
83,2033,,nclimgrid
84,2034,,nclimgrid
85,2035,,nclimgrid
86,2036,,nclimgrid
87,2037,,nclimgrid
88,2038,,nclimgrid
89,2039,,nclimgrid
90,2040,,nclimgrid
91,2041,,nclimgrid
92,2042,,nclimgrid
93,2043,,nclimgrid
94,2044,,nclimgrid
95,2045,,nclimgrid
96,2046,,nclimgrid
97,2047,,nclimgrid
98,2048,,nclimgrid
99,2049,,nclimgrid
100,2050,,nclimgrid
101,2051,,nclimgrid
102,2052,,nclimgrid
103,2053,,nclimgrid
104,2054,,nclimgrid
105,2055,,nclimgrid
106,2056,,nclimgrid
107,2057,,nclimgrid
108,2058,,nclimgrid
109,2059,,nclimgrid
110,2060,,nclimgrid
111,2061,,nclimgrid
112,2062,,nclimgrid
113,2063,,nclimgrid
114,2064,,nclimgrid
115,2065,,nclimgrid
116,2066,,nclimgrid
117,2067,,nclimgrid
118,2068,,nclimgrid
119,2069,,nclimgrid
120,2070,,nclimgrid
121,2071,,nclimgrid
122,2072,,nclimgrid
123,2073,,nclimgrid
124,2074,,nclimgrid
125,2075,,nclimgrid
126,2076,,nclimgrid
127,2077,,nclimgrid
128,2078,,nclimgrid
129,2079,,nclimgrid
130,2080,,nclimgrid
131,2081,,nclimgrid
132,2082,,nclimgrid
133,2083,,nclimgrid
134,2084,,nclimgrid
135,2085,,nclimgrid
136,2086,,nclimgrid
137,2087,,nclimgrid
138,2088,,nclimgrid
139,2089,,nclimgrid
140,2090,,nclimgrid
141,2091,,nclimgrid
142,2092,,nclimgrid
143,2093,,nclimgrid
144,2094,,nclimgrid
145,2095,,nclimgrid
146,2096,,nclimgrid
147,2097,,nclimgrid
148,2098,,nclimgrid
149,2099,,nclimgrid
150,2100,,nclimgrid
0,1950,50.42976098392259,ssp126
1,1951,49.8245328657598,ssp126
2,1952,49.4924400343222,ssp126
3,1953,49.461181655477496,ssp126
4,1954,49.892481282919455,ssp126
5,1955,50.01582710747682,ssp126
6,1956,50.5332013811506,ssp126
7,1957,50.22485545518194,ssp126
8,1958,49.638940072098464,ssp126
9,1959,49.7616820651066,ssp126
10,1960,49.479733824065015,ssp126
11,1961,50.18090967846777,ssp126
12,1962,48.89538229129626,ssp126
13,1963,49.55364015429301,ssp126
14,1964,49.31178949099893,ssp126
15,1965,48.54061776690508,ssp126
16,1966,49.43717934675588,ssp126
17,1967,49.534735174077085,ssp126
18,1968,49.28085732730862,ssp126
19,1969,48.65932873590836,ssp126
20,1970,49.57078660760467,ssp126
21,1971,49.76495646086193,ssp126
22,1972,50.06702975424088,ssp126
23,1973,49.72746891633219,ssp126
24,1974,49.18919244081626,ssp126
25,1975,49.561210126921274,ssp126
26,1976,49.54175600052273,ssp126
27,1977,49.79557921541803,ssp126
28,1978,50.00719211312634,ssp126
29,1979,50.24289851709314,ssp126
30,1980,50.42192284511219,ssp126
31,1981,49.84758758252537,ssp126
32,1982,50.40238924952922,ssp126
33,1983,48.50334708454124,ssp126
34,1984,49.67415323902264,ssp126
35,1985,49.68960258109721,ssp126
36,1986,48.96782973888555,ssp126
37,1987,49.81309250829013,ssp126
38,1988,49.990928215353506,ssp126
39,1989,50.558966107496786,ssp126
40,1990,49.71714871512624,ssp126
