,year,av_temp,scenario
0,1950,,nclimgrid
1,1951,69.66873178300445,nclimgrid
2,1952,71.5632937899561,nclimgrid
3,1953,71.17999272710347,nclimgrid
4,1954,71.1162876436326,nclimgrid
5,1955,70.8678381315594,nclimgrid
6,1956,70.75448880781163,nclimgrid
7,1957,70.62719126607804,nclimgrid
8,1958,70.32109720060669,nclimgrid
9,1959,71.41930343982061,nclimgrid
10,1960,70.83115437198968,nclimgrid
11,1961,71.16360336851851,nclimgrid
12,1962,69.72274343573422,nclimgrid
13,1963,70.54560779337952,nclimgrid
14,1964,70.1799428536681,nclimgrid
15,1965,69.27991393496193,nclimgrid
16,1966,70.43370513563869,nclimgrid
17,1967,69.63793224338859,nclimgrid
18,1968,69.74513389526214,nclimgrid
19,1969,70.43755728516176,nclimgrid
20,1970,71.27876797220078,nclimgrid
21,1971,70.43956249927706,nclimgrid
22,1972,69.83301125792322,nclimgrid
23,1973,70.82322363974868,nclimgrid
24,1974,70.15239111504016,nclimgrid
25,1975,70.04973900274564,nclimgrid
26,1976,69.68765902425226,nclimgrid
27,1977,71.22558023559915,nclimgrid
28,1978,70.55031371917764,nclimgrid
29,1979,69.82725674956431,nclimgrid
30,1980,71.38667388081197,nclimgrid
31,1981,71.01951578362794,nclimgrid
32,1982,69.62390752257254,nclimgrid
33,1983,71.28908273410704,nclimgrid
34,1984,70.84279333688248,nclimgrid
35,1985,70.12764240316154,nclimgrid
36,1986,70.97527659279316,nclimgrid
37,1987,70.93017931484546,nclimgrid
38,1988,72.41701017799228,nclimgrid
39,1989,70.42051566986814,nclimgrid
40,1990,71.04514694784136,nclimgrid
41,1991,71.21195869690055,nclimgrid
42,1992,68.5680134539879,nclimgrid
43,1993,69.29173189474504,nclimgrid
44,1994,71.33330366802208,nclimgrid
45,1995,70.95803053176363,nclimgrid
46,1996,71.09941914939164,nclimgrid
47,1997,70.24183009906983,nclimgrid
48,1998,71.61488141535956,nclimgrid
49,1999,70.94527565210585,nclimgrid
50,2000,71.3845813813156,nclimgrid
51,2001,71.82979374759051,nclimgrid
52,2002,72.33731300549073,nclimgrid
53,2003,71.97127731675104,nclimgrid
54,2004,69.46433326039772,nclimgrid
55,2005,71.71371329599901,nclimgrid
56,2006,72.70060061591629,nclimgrid
57,2007,72.3003570247437,nclimgrid
58,2008,71.05336431877319,nclimgrid
59,2009,69.9977162467762,nclimgrid
60,2010,72.08113386294427,nclimgrid
61,2011,72.58996571539433,nclimgrid
62,2012,72.87703136772005,nclimgrid
63,2013,71.68078238878178,nclimgrid
64,2014,70.81219433593895,nclimgrid
65,2015,71.87630985452985,nclimgrid
66,2016,72.57744394164678,nclimgrid
67,2017,71.8610439022915,nclimgrid
68,2018,72.57241728865075,nclimgrid
69,2019,71.41872264806722,nclimgrid
70,2020,,nclimgrid
71,2021,,nclimgrid
72,2022,,nclimgrid
73,2023,,nclimgrid
74,2024,,nclimgrid
75,2025,,nclimgrid
76,2026,,nclimgrid
77,2027,,nclimgrid
78,2028,,nclimgrid
79,2029,,nclimgrid
80,2030,,nclimgrid
81,2031,,nclimgrid
82,2032,,nclimgrid
83,2033,,nclimgrid
84,2034,,nclimgrid
85,2035,,nclimgrid
86,2036,,nclimgrid
87,2037,,nclimgrid
88,2038,,nclimgrid
89,2039,,nclimgrid
90,2040,,nclimgrid
91,2041,,nclimgrid
92,2042,,nclimgrid
93,2043,,nclimgrid
94,2044,,nclimgrid
95,2045,,nclimgrid
96,2046,,nclimgrid
97,2047,,nclimgrid
98,2048,,nclimgrid
99,2049,,nclimgrid
100,2050,,nclimgrid
101,2051,,nclimgrid
102,2052,,nclimgrid
103,2053,,nclimgrid
104,2054,,nclimgrid
105,2055,,nclimgrid
106,2056,,nclimgrid
107,2057,,nclimgrid
108,2058,,nclimgrid
109,2059,,nclimgrid
110,2060,,nclimgrid
111,2061,,nclimgrid
112,2062,,nclimgrid
113,2063,,nclimgrid
114,2064,,nclimgrid
115,2065,,nclimgrid
116,2066,,nclimgrid
117,2067,,nclimgrid
118,2068,,nclimgrid
119,2069,,nclimgrid
120,2070,,nclimgrid
121,2071,,nclimgrid
122,2072,,nclimgrid
123,2073,,nclimgrid
124,2074,,nclimgrid
125,2075,,nclimgrid
126,2076,,nclimgrid
127,2077,,nclimgrid
128,2078,,nclimgrid
129,2079,,nclimgrid
130,2080,,nclimgrid
131,2081,,nclimgrid
132,2082,,nclimgrid
133,2083,,nclimgrid
134,2084,,nclimgrid
135,2085,,nclimgrid
136,2086,,nclimgrid
137,2087,,nclimgrid
138,2088,,nclimgrid
139,2089,,nclimgrid
140,2090,,nclimgrid
141,2091,,nclimgrid
142,2092,,nclimgrid
143,2093,,nclimgrid
144,2094,,nclimgrid
145,2095,,nclimgrid
146,2096,,nclimgrid
147,2097,,nclimgrid
148,2098,,nclimgrid
149,2099,,nclimgrid
150,2100,,nclimgrid
0,1950,70.62886973217589,ssp126
1,1951,70.47943641243637,ssp126
2,1952,70.34830187223547,ssp126
3,1953,70.706141090979,ssp126
4,1954,70.4234895265254,ssp126
5,1955,70.47168047322577,ssp126
6,1956,70.96449205226341,ssp126
7,1957,70.76978991884474,ssp126
8,1958,70.57364446557217,ssp126
9,1959,70.02911021639315,ssp126
10,1960,70.52517742601059,ssp126
11,1961,70.71721731968772,ssp126
12,1962,70.20006256738091,ssp126
13,1963,70.616936563431,ssp126
14,1964,69.8944784973661,ssp126
15,1965,69.78782628485173,ssp126
16,1966,70.13121233971165,ssp126
17,1967,70.46124590215784,ssp126
18,1968,69.8294516881123,ssp126
19,1969,70.3398558866448,ssp126
20,1970,69.95246415424009,ssp126
21,1971,70.32161821553143,ssp126
22,1972,70.09723017608549,ssp126
23,1973,70.24927559142247,ssp126
24,1974,69.92858833830424,ssp126
25,1975,70.25578855520806,ssp126
26,1976,70.04265064042086,ssp126
27,1977,70.71053832823495,ssp126
28,1978,70.84106695195145,ssp126
29,1979,70.74862120368576,ssp126
30,1980,70.51886000246698,ssp126
31,1981,71.11070725402972,ssp126
32,1982,70.17280688834579,ssp126
33,1983,69.4627951114402,ssp126
34,1984,70.15829184078412,ssp126
35,1985,70.89609838480914,ssp126
36,1986,70.65454185471258,ssp126
37,1987,70.60111286101788,ssp126
38,1988,71.01920565525748,ssp126
39,1989,71.29411883632565,ssp126
40,1990,71.44683984474719,ssp126
41,1991,70.93916708429988,ssp126
42,1992,69.83720328593853,ssp126
43,1993,70.22537894019534,ssp126
44,1994,70.89434510890847,ssp126
45,1995,71.3603169693557,ssp126
46,1996,71.60744170835882,ssp126
47,1997,71.56746969429406,ssp126
48,1998,71.26653575067643,ssp126
49,1999,71.70281666996794,ssp126
50,2000,71.98189745704893,ssp126
51,2001,71.8562923385669,ssp126
52,2002,72.33457616887955,ssp126
53,2003,72.06097443266266,ssp126
54,2004,72.4830882789836,ssp126
55,2005,72.51314488218277,ssp126
56,2006,72.47614799079543,ssp126
57,2007,72.31899347175444,ssp126
58,2008,72.47188588733164,ssp126
59,2009,72.45100001294203,ssp126
60,2010,72.79082901859199,ssp126
61,2011,72.51857620624337,ssp126
62,2012,72.59967883101733,ssp126
63,2013,72.97509389925148,ssp126
64,2014,73.01230561701057,ssp126
65,2015,73.47386523661012,ssp126
66,2016,72.611091996145,ssp126
67,2017,73.07500547662787,ssp126
