,year,av_temp,scenario
0,1950,,nclimgrid
1,1951,,nclimgrid
2,1952,30.84572325667105,nclimgrid
3,1953,33.81487622903033,nclimgrid
4,1954,33.626942108336436,nclimgrid
5,1955,29.888211390831007,nclimgrid
6,1956,29.781200976349663,nclimgrid
7,1957,31.677044690080695,nclimgrid
8,1958,32.3401028982546,nclimgrid
9,1959,29.66040296770218,nclimgrid
10,1960,30.668206202834774,nclimgrid
11,1961,31.006737429487323,nclimgrid
12,1962,29.076846823926758,nclimgrid
13,1963,29.062950757090245,nclimgrid
14,1964,29.03744783823902,nclimgrid
15,1965,30.29845848106608,nclimgrid
16,1966,29.621939747088234,nclimgrid
17,1967,31.40559875164896,nclimgrid
18,1968,29.72665671938073,nclimgrid
19,1969,28.84832513271208,nclimgrid
20,1970,30.377588213215084,nclimgrid
21,1971,30.30085973878785,nclimgrid
22,1972,30.35261770049752,nclimgrid
23,1973,29.41562737531827,nclimgrid
24,1974,31.451549975060008,nclimgrid
25,1975,31.35726513985191,nclimgrid
26,1976,32.853671680649455,nclimgrid
27,1977,28.350939347385825,nclimgrid
28,1978,27.46439623768999,nclimgrid
29,1979,24.69610322500825,nclimgrid
30,1980,31.800687064305905,nclimgrid
31,1981,33.29783995288102,nclimgrid
32,1982,28.98496521611241,nclimgrid
33,1983,33.95444150268722,nclimgrid
34,1984,28.857156731044856,nclimgrid
35,1985,28.7923085364568,nclimgrid
36,1986,31.342180731893844,nclimgrid
37,1987,33.06394499255728,nclimgrid
38,1988,30.35619003743427,nclimgrid
39,1989,30.6227990778557,nclimgrid
40,1990,32.04263925967349,nclimgrid
41,1991,31.536279374128554,nclimgrid
42,1992,34.86530240090383,nclimgrid
43,1993,29.290247407560205,nclimgrid
44,1994,30.108283134333714,nclimgrid
45,1995,33.97206365419341,nclimgrid
46,1996,31.210523311380015,nclimgrid
47,1997,31.467375348677393,nclimgrid
48,1998,34.50870423417043,nclimgrid
49,1999,34.55812076240762,nclimgrid
50,2000,34.81739551855901,nclimgrid
51,2001,29.5594210294738,nclimgrid
52,2002,34.2659877569235,nclimgrid
53,2003,32.166348626043835,nclimgrid
54,2004,31.47750680842494,nclimgrid
55,2005,33.85131808903945,nclimgrid
56,2006,34.06726382411221,nclimgrid
57,2007,32.00598015424903,nclimgrid
58,2008,30.916679741915043,nclimgrid
