"Figure 2. Change in Seasonal Temperatures by State, 1896–2023",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2024",,,,
Web update: June 2024,,,,
Units: total change (degrees F),,,,
,,,,
State,Winter,Spring,Summer,Fall
AL,1.16784157,0.002761628,-0.462790698,-0.22434593
AR,1.152616279,0.543168605,0.192405523,0.003742733
AZ,2.543604651,2.744585756,2.585792151,2.416751453
CA,2.672202035,2.701780523,3.028088663,3.075545058
CO,3.230922965,2.656649709,2.663117733,2.200145349
CT,5.171438953,2.986228198,3.1546875,2.92877907
DE,4.340770349,2.967296512,3.023110465,2.725363372
FL,2.63659157,1.959811047,1.863117733,2.157267442
GA,2.373473837,0.484411337,0.074018895,0.579396802
IA,2.444440407,1.571184593,0.31849564,0.839280523
ID,2.473364826,1.728670058,2.245893895,1.493350291
IL,2.448837209,2.200981105,0.507703488,1.107739826
IN,2.55181686,2.019258721,0.177834302,1.010428779
KS,2.783757267,1.953270349,0.926017442,0.875617733
KY,1.861736919,1.028270349,-0.246475291,0.144040698
LA,0.911409884,0.481722384,0.615952035,0.505922965
MA,4.894912791,2.752507267,3.222383721,2.99662064
MD,3.794549419,2.385138081,2.409084302,2.19556686
ME,5.593386628,2.66875,2.860392442,3.069513081
MI,4.63724564,3.224890988,2.154760174,2.27369186
MN,4.826489826,2.66693314,1.911373547,2.374164244
MO,2.237318314,1.444622093,0.125726744,0.182921512
MS,0.982303779,0.222856105,-0.1828125,-0.085392442
MT,4.057594477,2.54153343,2.179869186,1.836119186
NC,2.41184593,1.009920058,0.803815407,0.884738372
ND,5.663117733,2.250799419,2.061046512,2.15377907
NE,3.236882267,2.048401163,1.118168605,1.27122093
NH,5.094549419,2.696402616,2.645675872,2.780668605
NJ,5.375363372,3.3453125,3.456286337,3.266424419
NM,2.541642442,2.324636628,2.303633721,2.014389535
NV,2.704978198,2.199236919,2.819476744,2.255886628
NY,4.141351744,2.176126453,1.514534884,2.025799419
OH,2.770385174,2.01900436,0.66875,1.338226744
OK,1.785065407,0.912572674,0.259156977,0.014207849
OR,3.300109012,2.144585756,3.27681686,2.463263081
PA,3.522274709,1.69934593,1.218640988,1.572565407
RI,5.291969477,3.436264535,4.155014535,3.345021802
SC,2.335610465,0.860828488,0.586228198,0.741824128
SD,4.25090843,1.852180233,1.700290698,1.607485465
TN,1.561337209,0.527652616,0.045021802,0.122601744
TX,2.203234012,1.805632267,0.935828488,1.191896802
UT,3.292768895,2.549236919,3.342114826,2.660574128
VA,2.780777616,1.435537791,1.072311047,1.134011628
VT,5.11497093,2.687899709,2.169077035,2.67943314
WA,2.818241279,1.25912064,2.465188953,1.500763081
WI,4.247856105,2.157485465,1.120930233,1.629505814
WV,2.077434593,1.047892442,0.338008721,0.794731105
WY,3.594549419,2.718459302,2.443822674,2.173510174
