year,state,av_temp,scenario
1950,NM,NA,nclimgrid
1951,NM,53.69,nclimgrid
1952,NM,52.56,nclimgrid
1953,NM,54.43,nclimgrid
1954,NM,56.24,nclimgrid
1955,NM,54.72,nclimgrid
1956,NM,53.83,nclimgrid
1957,NM,51.12,nclimgrid
1958,NM,53.48,nclimgrid
1959,NM,52.94,nclimgrid
1960,NM,54.24,nclimgrid
1961,NM,51.57,nclimgrid
1962,NM,55.15,nclimgrid
1963,NM,56.04,nclimgrid
1964,NM,53.84,nclimgrid
1965,NM,54.53,nclimgrid
1966,NM,54.38,nclimgrid
1967,NM,54.19,nclimgrid
1968,NM,53.01,nclimgrid
1969,NM,52.6,nclimgrid
1970,NM,51.83,nclimgrid
1971,NM,52.49,nclimgrid
1972,NM,51.85,nclimgrid
1973,NM,54.3,nclimgrid
1974,NM,52.39,nclimgrid
1975,NM,52.38,nclimgrid
1976,NM,50.31,nclimgrid
1977,NM,55.69,nclimgrid
1978,NM,54.27,nclimgrid
1979,NM,53.26,nclimgrid
1980,NM,52.7,nclimgrid
1981,NM,54.71,nclimgrid
1982,NM,52.87,nclimgrid
1983,NM,55.54,nclimgrid
1984,NM,52.02,nclimgrid
1985,NM,53.27,nclimgrid
1986,NM,52.06,nclimgrid
1987,NM,53.72,nclimgrid
1988,NM,54.38,nclimgrid
1989,NM,54.04,nclimgrid
1990,NM,54.71,nclimgrid
1991,NM,52.62,nclimgrid
1992,NM,53.2,nclimgrid
1993,NM,52.09,nclimgrid
1994,NM,53.82,nclimgrid
1995,NM,55.66,nclimgrid
1996,NM,53.27,nclimgrid
1997,NM,54.46,nclimgrid
1998,NM,56.63,nclimgrid
1999,NM,55.73,nclimgrid
2000,NM,53.04,nclimgrid
2001,NM,56.38,nclimgrid
2002,NM,53.56,nclimgrid
2003,NM,56.51,nclimgrid
2004,NM,53.14,nclimgrid
2005,NM,55.9,nclimgrid
2006,NM,53.28,nclimgrid
2007,NM,56.5,nclimgrid
2008,NM,54.39,nclimgrid
2009,NM,53.87,nclimgrid
2010,NM,55.64,nclimgrid
2011,NM,55.02,nclimgrid
2012,NM,56.3,nclimgrid
2013,NM,53.76,nclimgrid
2014,NM,55.45,nclimgrid
2015,NM,56.63,nclimgrid
2016,NM,57.41,nclimgrid
2017,NM,57.54,nclimgrid
2018,NM,54.04,nclimgrid
2019,NM,54.86,nclimgrid
2020,NM,NA,nclimgrid
2021,NM,NA,nclimgrid
2022,NM,NA,nclimgrid
2023,NM,NA,nclimgrid
2024,NM,NA,nclimgrid
2025,NM,NA,nclimgrid
2026,NM,NA,nclimgrid
2027,NM,NA,nclimgrid
2028,NM,NA,nclimgrid
2029,NM,NA,nclimgrid
2030,NM,NA,nclimgrid
2031,NM,NA,nclimgrid
2032,NM,NA,nclimgrid
2033,NM,NA,nclimgrid
2034,NM,NA,nclimgrid
2035,NM,NA,nclimgrid
2036,NM,NA,nclimgrid
2037,NM,NA,nclimgrid
2038,NM,NA,nclimgrid
2039,NM,NA,nclimgrid
2040,NM,NA,nclimgrid
2041,NM,NA,nclimgrid
2042,NM,NA,nclimgrid
2043,NM,NA,nclimgrid
2044,NM,NA,nclimgrid
2045,NM,NA,nclimgrid
2046,NM,NA,nclimgrid
2047,NM,NA,nclimgrid
2048,NM,NA,nclimgrid
2049,NM,NA,nclimgrid
2050,NM,NA,nclimgrid
2051,NM,NA,nclimgrid
2052,NM,NA,nclimgrid
2053,NM,NA,nclimgrid
2054,NM,NA,nclimgrid
2055,NM,NA,nclimgrid
2056,NM,NA,nclimgrid
2057,NM,NA,nclimgrid
2058,NM,NA,nclimgrid
2059,NM,NA,nclimgrid
2060,NM,NA,nclimgrid
2061,NM,NA,nclimgrid
2062,NM,NA,nclimgrid
2063,NM,NA,nclimgrid
2064,NM,NA,nclimgrid
2065,NM,NA,nclimgrid
2066,NM,NA,nclimgrid
2067,NM,NA,nclimgrid
2068,NM,NA,nclimgrid
2069,NM,NA,nclimgrid
2070,NM,NA,nclimgrid
2071,NM,NA,nclimgrid
2072,NM,NA,nclimgrid
2073,NM,NA,nclimgrid
2074,NM,NA,nclimgrid
2075,NM,NA,nclimgrid
2076,NM,NA,nclimgrid
2077,NM,NA,nclimgrid
2078,NM,NA,nclimgrid
2079,NM,NA,nclimgrid
2080,NM,NA,nclimgrid
2081,NM,NA,nclimgrid
2082,NM,NA,nclimgrid
2083,NM,NA,nclimgrid
2084,NM,NA,nclimgrid
2085,NM,NA,nclimgrid
2086,NM,NA,nclimgrid
2087,NM,NA,nclimgrid
2088,NM,NA,nclimgrid
2089,NM,NA,nclimgrid
2090,NM,NA,nclimgrid
2091,NM,NA,nclimgrid
2092,NM,NA,nclimgrid
2093,NM,NA,nclimgrid
2094,NM,NA,nclimgrid
2095,NM,NA,nclimgrid
2096,NM,NA,nclimgrid
2097,NM,NA,nclimgrid
2098,NM,NA,nclimgrid
2099,NM,NA,nclimgrid
2100,NM,NA,nclimgrid
