year,state,av_temp,scenario
1950,NM,NA,nclimgrid
1951,NM,72.06,nclimgrid
1952,NM,72.44,nclimgrid
1953,NM,72.6,nclimgrid
1954,NM,71.93,nclimgrid
1955,NM,69.96,nclimgrid
1956,NM,71.8,nclimgrid
1957,NM,71.42,nclimgrid
1958,NM,72.69,nclimgrid
1959,NM,71.62,nclimgrid
1960,NM,71.45,nclimgrid
1961,NM,70.92,nclimgrid
1962,NM,70.49,nclimgrid
1963,NM,71.43,nclimgrid
1964,NM,71.54,nclimgrid
1965,NM,69.75,nclimgrid
1966,NM,71.23,nclimgrid
1967,NM,69.96,nclimgrid
1968,NM,69.7,nclimgrid
1969,NM,71.85,nclimgrid
1970,NM,70.89,nclimgrid
1971,NM,70.48,nclimgrid
1972,NM,70.16,nclimgrid
1973,NM,69.67,nclimgrid
1974,NM,70.57,nclimgrid
1975,NM,69.52,nclimgrid
1976,NM,69.78,nclimgrid
1977,NM,72.27,nclimgrid
1978,NM,71.8,nclimgrid
1979,NM,69.52,nclimgrid
1980,NM,73.42,nclimgrid
1981,NM,71.69,nclimgrid
1982,NM,70.95,nclimgrid
1983,NM,70.68,nclimgrid
1984,NM,70.24,nclimgrid
1985,NM,71.14,nclimgrid
1986,NM,70.31,nclimgrid
1987,NM,69.92,nclimgrid
1988,NM,70.43,nclimgrid
1989,NM,70.89,nclimgrid
1990,NM,71.36,nclimgrid
1991,NM,69.59,nclimgrid
1992,NM,69.44,nclimgrid
1993,NM,71.13,nclimgrid
1994,NM,73.95,nclimgrid
1995,NM,71.26,nclimgrid
1996,NM,72.27,nclimgrid
1997,NM,71.01,nclimgrid
1998,NM,71.92,nclimgrid
1999,NM,70.59,nclimgrid
2000,NM,72.84,nclimgrid
2001,NM,72.74,nclimgrid
2002,NM,73.59,nclimgrid
2003,NM,73.19,nclimgrid
2004,NM,70.51,nclimgrid
2005,NM,71.87,nclimgrid
2006,NM,72.62,nclimgrid
2007,NM,72.28,nclimgrid
2008,NM,71.64,nclimgrid
2009,NM,72.02,nclimgrid
2010,NM,72.74,nclimgrid
2011,NM,75.26,nclimgrid
2012,NM,74.13,nclimgrid
2013,NM,73.13,nclimgrid
2014,NM,72.37,nclimgrid
2015,NM,72.72,nclimgrid
2016,NM,73.31,nclimgrid
2017,NM,72.66,nclimgrid
2018,NM,74.26,nclimgrid
2019,NM,73.38,nclimgrid
2020,NM,NA,nclimgrid
2021,NM,NA,nclimgrid
2022,NM,NA,nclimgrid
2023,NM,NA,nclimgrid
2024,NM,NA,nclimgrid
2025,NM,NA,nclimgrid
2026,NM,NA,nclimgrid
2027,NM,NA,nclimgrid
2028,NM,NA,nclimgrid
2029,NM,NA,nclimgrid
2030,NM,NA,nclimgrid
2031,NM,NA,nclimgrid
2032,NM,NA,nclimgrid
2033,NM,NA,nclimgrid
2034,NM,NA,nclimgrid
2035,NM,NA,nclimgrid
2036,NM,NA,nclimgrid
2037,NM,NA,nclimgrid
2038,NM,NA,nclimgrid
2039,NM,NA,nclimgrid
2040,NM,NA,nclimgrid
2041,NM,NA,nclimgrid
2042,NM,NA,nclimgrid
2043,NM,NA,nclimgrid
2044,NM,NA,nclimgrid
2045,NM,NA,nclimgrid
2046,NM,NA,nclimgrid
2047,NM,NA,nclimgrid
2048,NM,NA,nclimgrid
2049,NM,NA,nclimgrid
2050,NM,NA,nclimgrid
2051,NM,NA,nclimgrid
2052,NM,NA,nclimgrid
2053,NM,NA,nclimgrid
2054,NM,NA,nclimgrid
2055,NM,NA,nclimgrid
2056,NM,NA,nclimgrid
2057,NM,NA,nclimgrid
2058,NM,NA,nclimgrid
2059,NM,NA,nclimgrid
2060,NM,NA,nclimgrid
2061,NM,NA,nclimgrid
2062,NM,NA,nclimgrid
2063,NM,NA,nclimgrid
2064,NM,NA,nclimgrid
2065,NM,NA,nclimgrid
2066,NM,NA,nclimgrid
2067,NM,NA,nclimgrid
2068,NM,NA,nclimgrid
2069,NM,NA,nclimgrid
2070,NM,NA,nclimgrid
2071,NM,NA,nclimgrid
2072,NM,NA,nclimgrid
2073,NM,NA,nclimgrid
2074,NM,NA,nclimgrid
2075,NM,NA,nclimgrid
2076,NM,NA,nclimgrid
2077,NM,NA,nclimgrid
2078,NM,NA,nclimgrid
2079,NM,NA,nclimgrid
2080,NM,NA,nclimgrid
2081,NM,NA,nclimgrid
2082,NM,NA,nclimgrid
2083,NM,NA,nclimgrid
2084,NM,NA,nclimgrid
2085,NM,NA,nclimgrid
2086,NM,NA,nclimgrid
2087,NM,NA,nclimgrid
2088,NM,NA,nclimgrid
2089,NM,NA,nclimgrid
2090,NM,NA,nclimgrid
2091,NM,NA,nclimgrid
2092,NM,NA,nclimgrid
2093,NM,NA,nclimgrid
2094,NM,NA,nclimgrid
2095,NM,NA,nclimgrid
2096,NM,NA,nclimgrid
2097,NM,NA,nclimgrid
2098,NM,NA,nclimgrid
2099,NM,NA,nclimgrid
2100,NM,NA,nclimgrid
1950,SD,NA,nclimgrid
1951,SD,65.72,nclimgrid
1952,SD,70.63,nclimgrid
1953,SD,69.94,nclimgrid
1954,SD,70.35,nclimgrid
1955,SD,71.66,nclimgrid
1956,SD,70.59,nclimgrid
1957,SD,69.78,nclimgrid
1958,SD,67.49,nclimgrid
1959,SD,72.59,nclimgrid
1960,SD,69.9,nclimgrid
1961,SD,71.42,nclimgrid
1962,SD,67.73,nclimgrid
1963,SD,71.51,nclimgrid
1964,SD,69.82,nclimgrid
1965,SD,68.81,nclimgrid
1966,SD,70.27,nclimgrid
1967,SD,67.57,nclimgrid
1968,SD,68.46,nclimgrid
1969,SD,68.75,nclimgrid
1970,SD,71.74,nclimgrid
1971,SD,70.2,nclimgrid
1972,SD,68.43,nclimgrid
1973,SD,71.3,nclimgrid
1974,SD,70.24,nclimgrid
