year,state,av_temp,scenario
1950,NM,NA,nclimgrid
1951,NM,NA,nclimgrid
1952,NM,36.17,nclimgrid
1953,NM,35.77,nclimgrid
1954,NM,36.32,nclimgrid
1955,NM,33.31,nclimgrid
1956,NM,36.48,nclimgrid
1957,NM,38.69,nclimgrid
1958,NM,36.37,nclimgrid
1959,NM,36.28,nclimgrid
1960,NM,32.81,nclimgrid
1961,NM,33.12,nclimgrid
1962,NM,34.74,nclimgrid
1963,NM,34.62,nclimgrid
1964,NM,30.77,nclimgrid
1965,NM,35.43,nclimgrid
1966,NM,32.68,nclimgrid
1967,NM,35.17,nclimgrid
1968,NM,34.26,nclimgrid
1969,NM,36.17,nclimgrid
1970,NM,36.46,nclimgrid
1971,NM,36.05,nclimgrid
1972,NM,35.91,nclimgrid
1973,NM,33.09,nclimgrid
1974,NM,34.77,nclimgrid
1975,NM,33.28,nclimgrid
1976,NM,36.72,nclimgrid
1977,NM,33.54,nclimgrid
1978,NM,36.45,nclimgrid
1979,NM,32.12,nclimgrid
1980,NM,37.04,nclimgrid
1981,NM,39.03,nclimgrid
1982,NM,36.66,nclimgrid
1983,NM,34.91,nclimgrid
1984,NM,34.21,nclimgrid
1985,NM,34.39,nclimgrid
1986,NM,38.08,nclimgrid
1987,NM,34.54,nclimgrid
1988,NM,34,nclimgrid
1989,NM,35.08,nclimgrid
1990,NM,34.31,nclimgrid
1991,NM,34.96,nclimgrid
1992,NM,34.95,nclimgrid
1993,NM,35.77,nclimgrid
1994,NM,35.87,nclimgrid
1995,NM,39.21,nclimgrid
1996,NM,38.89,nclimgrid
1997,NM,35.57,nclimgrid
1998,NM,35.18,nclimgrid
1999,NM,39.49,nclimgrid
2000,NM,38.73,nclimgrid
2001,NM,35.33,nclimgrid
2002,NM,35.88,nclimgrid
2003,NM,37.73,nclimgrid
2004,NM,36.15,nclimgrid
2005,NM,38.51,nclimgrid
2006,NM,38.27,nclimgrid
2007,NM,34.69,nclimgrid
2008,NM,35.47,nclimgrid
2009,NM,38.69,nclimgrid
2010,NM,33.37,nclimgrid
2011,NM,36.46,nclimgrid
2012,NM,35.95,nclimgrid
2013,NM,34.61,nclimgrid
2014,NM,37.46,nclimgrid
2015,NM,38.12,nclimgrid
2016,NM,37.16,nclimgrid
2017,NM,39.61,nclimgrid
2018,NM,38.95,nclimgrid
2019,NM,36.27,nclimgrid
2020,NM,36.99,nclimgrid
2021,NM,NA,nclimgrid
2022,NM,NA,nclimgrid
2023,NM,NA,nclimgrid
2024,NM,NA,nclimgrid
2025,NM,NA,nclimgrid
2026,NM,NA,nclimgrid
2027,NM,NA,nclimgrid
2028,NM,NA,nclimgrid
2029,NM,NA,nclimgrid
2030,NM,NA,nclimgrid
2031,NM,NA,nclimgrid
2032,NM,NA,nclimgrid
2033,NM,NA,nclimgrid
2034,NM,NA,nclimgrid
2035,NM,NA,nclimgrid
2036,NM,NA,nclimgrid
2037,NM,NA,nclimgrid
2038,NM,NA,nclimgrid
2039,NM,NA,nclimgrid
2040,NM,NA,nclimgrid
2041,NM,NA,nclimgrid
2042,NM,NA,nclimgrid
2043,NM,NA,nclimgrid
2044,NM,NA,nclimgrid
2045,NM,NA,nclimgrid
2046,NM,NA,nclimgrid
2047,NM,NA,nclimgrid
2048,NM,NA,nclimgrid
2049,NM,NA,nclimgrid
2050,NM,NA,nclimgrid
2051,NM,NA,nclimgrid
2052,NM,NA,nclimgrid
2053,NM,NA,nclimgrid
2054,NM,NA,nclimgrid
2055,NM,NA,nclimgrid
2056,NM,NA,nclimgrid
2057,NM,NA,nclimgrid
2058,NM,NA,nclimgrid
2059,NM,NA,nclimgrid
2060,NM,NA,nclimgrid
2061,NM,NA,nclimgrid
2062,NM,NA,nclimgrid
2063,NM,NA,nclimgrid
2064,NM,NA,nclimgrid
2065,NM,NA,nclimgrid
2066,NM,NA,nclimgrid
2067,NM,NA,nclimgrid
2068,NM,NA,nclimgrid
2069,NM,NA,nclimgrid
2070,NM,NA,nclimgrid
2071,NM,NA,nclimgrid
2072,NM,NA,nclimgrid
2073,NM,NA,nclimgrid
2074,NM,NA,nclimgrid
2075,NM,NA,nclimgrid
2076,NM,NA,nclimgrid
2077,NM,NA,nclimgrid
2078,NM,NA,nclimgrid
2079,NM,NA,nclimgrid
2080,NM,NA,nclimgrid
2081,NM,NA,nclimgrid
2082,NM,NA,nclimgrid
2083,NM,NA,nclimgrid
2084,NM,NA,nclimgrid
2085,NM,NA,nclimgrid
2086,NM,NA,nclimgrid
2087,NM,NA,nclimgrid
2088,NM,NA,nclimgrid
2089,NM,NA,nclimgrid
2090,NM,NA,nclimgrid
2091,NM,NA,nclimgrid
2092,NM,NA,nclimgrid
2093,NM,NA,nclimgrid
2094,NM,NA,nclimgrid
2095,NM,NA,nclimgrid
2096,NM,NA,nclimgrid
2097,NM,NA,nclimgrid
2098,NM,NA,nclimgrid
2099,NM,NA,nclimgrid
2100,NM,NA,nclimgrid
1950,SD,NA,nclimgrid
1951,SD,NA,nclimgrid
1952,SD,15.04,nclimgrid
1953,SD,22.15,nclimgrid
1954,SD,23.41,nclimgrid
1955,SD,19.49,nclimgrid
1956,SD,13.18,nclimgrid
1957,SD,18.27,nclimgrid
1958,SD,23.61,nclimgrid
1959,SD,15.08,nclimgrid
1960,SD,19.8,nclimgrid
1961,SD,20.64,nclimgrid
1962,SD,15.65,nclimgrid
1963,SD,17.98,nclimgrid
1964,SD,20.58,nclimgrid
1965,SD,14.74,nclimgrid
1966,SD,16.16,nclimgrid
1967,SD,20.1,nclimgrid
1968,SD,18.2,nclimgrid
1969,SD,13.29,nclimgrid
1970,SD,17.99,nclimgrid
1971,SD,14.37,nclimgrid
1972,SD,13.92,nclimgrid
1973,SD,18.71,nclimgrid
1974,SD,19.78,nclimgrid
1975,SD,19.31,nclimgrid
1976,SD,22.93,nclimgrid
1977,SD,17.72,nclimgrid
1978,SD,9.27,nclimgrid
1979,SD,8.05,nclimgrid
1980,SD,21.61,nclimgrid
1981,SD,24.51,nclimgrid
1982,SD,13.94,nclimgrid
1983,SD,26.5,nclimgrid
1984,SD,17.08,nclimgrid
1985,SD,15.52,nclimgrid
1986,SD,17.75,nclimgrid
1987,SD,28.03,nclimgrid
1988,SD,18.99,nclimgrid
1989,SD,19.56,nclimgrid
1990,SD,22.15,nclimgrid
1991,SD,19.7,nclimgrid
1992,SD,28.45,nclimgrid
1993,SD,14.66,nclimgrid
1994,SD,15.28,nclimgrid
1995,SD,22.78,nclimgrid
1996,SD,18.5,nclimgrid
1997,SD,14.73,nclimgrid
1998,SD,26.45,nclimgrid
1999,SD,25.13,nclimgrid
2000,SD,26.5,nclimgrid
2001,SD,15.28,nclimgrid
2002,SD,26.01,nclimgrid
2003,SD,22.09,nclimgrid
2004,SD,21.69,nclimgrid
2005,SD,24.23,nclimgrid
2006,SD,25.28,nclimgrid
2007,SD,20.96,nclimgrid
2008,SD,17.99,nclimgrid
2009,SD,17.92,nclimgrid
2010,SD,14.31,nclimgrid
2011,SD,15.63,nclimgrid
2012,SD,26.01,nclimgrid
2013,SD,21.45,nclimgrid
2014,SD,15.29,nclimgrid
2015,SD,22.24,nclimgrid
2016,SD,24.85,nclimgrid
2017,SD,20.16,nclimgrid
2018,SD,17.33,nclimgrid
2019,SD,16.85,nclimgrid
2020,SD,23.32,nclimgrid
2021,SD,NA,nclimgrid
2022,SD,NA,nclimgrid
2023,SD,NA,nclimgrid
2024,SD,NA,nclimgrid
2025,SD,NA,nclimgrid
2026,SD,NA,nclimgrid
2027,SD,NA,nclimgrid
2028,SD,NA,nclimgrid
2029,SD,NA,nclimgrid
2030,SD,NA,nclimgrid
2031,SD,NA,nclimgrid
2032,SD,NA,nclimgrid
2033,SD,NA,nclimgrid
2034,SD,NA,nclimgrid
2035,SD,NA,nclimgrid
2036,SD,NA,nclimgrid
2037,SD,NA,nclimgrid
2038,SD,NA,nclimgrid
2039,SD,NA,nclimgrid
2040,SD,NA,nclimgrid
2041,SD,NA,nclimgrid
2042,SD,NA,nclimgrid
2043,SD,NA,nclimgrid
2044,SD,NA,nclimgrid
2045,SD,NA,nclimgrid
2046,SD,NA,nclimgrid
2047,SD,NA,nclimgrid
2048,SD,NA,nclimgrid
2049,SD,NA,nclimgrid
2050,SD,NA,nclimgrid
2051,SD,NA,nclimgrid
2052,SD,NA,nclimgrid
2053,SD,NA,nclimgrid
2054,SD,NA,nclimgrid
2055,SD,NA,nclimgrid
2056,SD,NA,nclimgrid
2057,SD,NA,nclimgrid
2058,SD,NA,nclimgrid
2059,SD,NA,nclimgrid
2060,SD,NA,nclimgrid
2061,SD,NA,nclimgrid
2062,SD,NA,nclimgrid
2063,SD,NA,nclimgrid
2064,SD,NA,nclimgrid
2065,SD,NA,nclimgrid
2066,SD,NA,nclimgrid
2067,SD,NA,nclimgrid
2068,SD,NA,nclimgrid
2069,SD,NA,nclimgrid
2070,SD,NA,nclimgrid
2071,SD,NA,nclimgrid
2072,SD,NA,nclimgrid
2073,SD,NA,nclimgrid
2074,SD,NA,nclimgrid
2075,SD,NA,nclimgrid
2076,SD,NA,nclimgrid
2077,SD,NA,nclimgrid
2078,SD,NA,nclimgrid
2079,SD,NA,nclimgrid
2080,SD,NA,nclimgrid
2081,SD,NA,nclimgrid
2082,SD,NA,nclimgrid
2083,SD,NA,nclimgrid
2084,SD,NA,nclimgrid
2085,SD,NA,nclimgrid
2086,SD,NA,nclimgrid
2087,SD,NA,nclimgrid
2088,SD,NA,nclimgrid
2089,SD,NA,nclimgrid
2090,SD,NA,nclimgrid
2091,SD,NA,nclimgrid
2092,SD,NA,nclimgrid
2093,SD,NA,nclimgrid
2094,SD,NA,nclimgrid
2095,SD,NA,nclimgrid
2096,SD,NA,nclimgrid
2097,SD,NA,nclimgrid
2098,SD,NA,nclimgrid
2099,SD,NA,nclimgrid
2100,SD,NA,nclimgrid
1950,CA,NA,nclimgrid
1951,CA,NA,nclimgrid
1952,CA,41.03,nclimgrid
1953,CA,44.83,nclimgrid
1954,CA,45,nclimgrid
1955,CA,40.47,nclimgrid
1956,CA,43.45,nclimgrid
1957,CA,43.37,nclimgrid
1958,CA,45.48,nclimgrid
1959,CA,45.97,nclimgrid
1960,CA,42.8,nclimgrid
1961,CA,44.78,nclimgrid
1962,CA,42.23,nclimgrid
1963,CA,45.79,nclimgrid
1964,CA,42.67,nclimgrid
1965,CA,44.74,nclimgrid
1966,CA,41.14,nclimgrid
1967,CA,44.55,nclimgrid
1968,CA,43.54,nclimgrid
1969,CA,41.39,nclimgrid
1970,CA,45.94,nclimgrid
1971,CA,42.93,nclimgrid
1972,CA,41.6,nclimgrid
1973,CA,41.51,nclimgrid
1974,CA,43.54,nclimgrid
1975,CA,42.73,nclimgrid
1976,CA,44.92,nclimgrid
1977,CA,44.51,nclimgrid
1978,CA,46.45,nclimgrid
1979,CA,40.81,nclimgrid
1980,CA,46.71,nclimgrid
1981,CA,47.13,nclimgrid
1982,CA,44.6,nclimgrid
1983,CA,44.43,nclimgrid
1984,CA,45.5,nclimgrid
1985,CA,42.47,nclimgrid
1986,CA,46.92,nclimgrid
1987,CA,43.81,nclimgrid
1988,CA,43.86,nclimgrid
1989,CA,42.01,nclimgrid
1990,CA,43.55,nclimgrid
1991,CA,44.25,nclimgrid
1992,CA,45.2,nclimgrid
1993,CA,41.8,nclimgrid
1994,CA,44.15,nclimgrid
1995,CA,45.82,nclimgrid
1996,CA,47.01,nclimgrid
1997,CA,45.55,nclimgrid
1998,CA,43.69,nclimgrid
1999,CA,43.93,nclimgrid
2000,CA,46.06,nclimgrid
2001,CA,44.01,nclimgrid
2002,CA,44.31,nclimgrid
2003,CA,46.58,nclimgrid
2004,CA,43.9,nclimgrid
2005,CA,45.22,nclimgrid
2006,CA,46.07,nclimgrid
2007,CA,43.95,nclimgrid
2008,CA,42.52,nclimgrid
2009,CA,44.69,nclimgrid
2010,CA,44.49,nclimgrid
2011,CA,44.85,nclimgrid
2012,CA,45.29,nclimgrid
2013,CA,43.41,nclimgrid
2014,CA,47.93,nclimgrid
2015,CA,49.41,nclimgrid
2016,CA,45.95,nclimgrid
2017,CA,44.18,nclimgrid
2018,CA,47.71,nclimgrid
2019,CA,43.9,nclimgrid
2020,CA,44.39,nclimgrid
2021,CA,NA,nclimgrid
2022,CA,NA,nclimgrid
