year,scenario,model,snc_mile2
1981,historical,rutgers,2749336
1982,historical,rutgers,2914286
1983,historical,rutgers,2807484
1984,historical,rutgers,2717853
1985,historical,rutgers,3051478
1986,historical,rutgers,2876871
1987,historical,rutgers,2635893
1988,historical,rutgers,2719654
1989,historical,rutgers,2760229
1990,historical,rutgers,2658017
1991,historical,rutgers,2748191
1992,historical,rutgers,2792443
1993,historical,rutgers,2803279
1994,historical,rutgers,2726437
1995,historical,rutgers,2784483
1996,historical,rutgers,2950610
1997,historical,rutgers,2978779
1998,historical,rutgers,2663483
1999,historical,rutgers,2733395
2000,historical,rutgers,2880549
2001,historical,rutgers,2845296
2002,historical,rutgers,2936690
2003,historical,rutgers,2893802
2004,historical,rutgers,2927974
2005,historical,rutgers,2753888
2006,historical,rutgers,2723407
2007,historical,rutgers,2831997
2008,historical,rutgers,2884580
2009,historical,rutgers,2875802
2010,historical,rutgers,2831167
2011,historical,rutgers,2879186
2012,historical,rutgers,2688919
2013,historical,rutgers,2986589
2014,historical,rutgers,2926293
2015,historical,rutgers,2735856
2016,historical,rutgers,2798585
2017,historical,rutgers,2908104
2018,historical,rutgers,3044200
2019,historical,rutgers,2883895
2020,historical,rutgers,2871268
2021,historical,rutgers,2786758
2022,historical,rutgers,2856304
2023,historical,rutgers,2731626
1850,historical,bcc_csm2_mr,2722570.5283354
1851,historical,bcc_csm2_mr,2856305.7264254
1852,historical,bcc_csm2_mr,2782345.27839364
1853,historical,bcc_csm2_mr,2878454.83389134
1854,historical,bcc_csm2_mr,2955487.10238007
1855,historical,bcc_csm2_mr,2795268.93125926
1856,historical,bcc_csm2_mr,2717372.57578611
1857,historical,bcc_csm2_mr,2721211.37011989
1858,historical,bcc_csm2_mr,2713819.26533524
1859,historical,bcc_csm2_mr,2799566.75611977
1860,historical,bcc_csm2_mr,2907830.58709727
1861,historical,bcc_csm2_mr,2925961.97682594
1862,historical,bcc_csm2_mr,2890999.88819603
1863,historical,bcc_csm2_mr,2846894.77710521
1864,historical,bcc_csm2_mr,2694464.81047912
1865,historical,bcc_csm2_mr,2609348.03325853
1866,historical,bcc_csm2_mr,2726943.04011346
1867,historical,bcc_csm2_mr,2625173.71187768
1868,historical,bcc_csm2_mr,2748131.45005302
1869,historical,bcc_csm2_mr,2742198.96664008
1870,historical,bcc_csm2_mr,2911328.90611202
1871,historical,bcc_csm2_mr,2918777.02550418
1872,historical,bcc_csm2_mr,2819811.11541504
1873,historical,bcc_csm2_mr,2783504.25244598
1874,historical,bcc_csm2_mr,2847329.06723896
1875,historical,bcc_csm2_mr,2885561.2661323
1876,historical,bcc_csm2_mr,2617786.37045235
1877,historical,bcc_csm2_mr,2818918.62009481
1878,historical,bcc_csm2_mr,2764778.09350523
1879,historical,bcc_csm2_mr,2552732.50132143
1880,historical,bcc_csm2_mr,2930387.43806018
1881,historical,bcc_csm2_mr,2794421.05194619
1882,historical,bcc_csm2_mr,2657382.59916821
1883,historical,bcc_csm2_mr,2662872.43337516
1884,historical,bcc_csm2_mr,2875731.2310737
1885,historical,bcc_csm2_mr,2778616.16693177
1886,historical,bcc_csm2_mr,2875954.03779615
1887,historical,bcc_csm2_mr,2878790.1260109
1888,historical,bcc_csm2_mr,2672160.29741243
1889,historical,bcc_csm2_mr,2564617.51028562
1890,historical,bcc_csm2_mr,2659039.6641619
1891,historical,bcc_csm2_mr,2763078.62439098
1892,historical,bcc_csm2_mr,2800567.132322
1893,historical,bcc_csm2_mr,2748988.44626492
1894,historical,bcc_csm2_mr,2696557.25446364
1895,historical,bcc_csm2_mr,2826925.00492117
1896,historical,bcc_csm2_mr,2771089.23568693
1897,historical,bcc_csm2_mr,2585426.78660948
1898,historical,bcc_csm2_mr,2767483.72623218
1899,historical,bcc_csm2_mr,2817337.70157986
1900,historical,bcc_csm2_mr,2783160.56119171
1901,historical,bcc_csm2_mr,2838163.39495524
1902,historical,bcc_csm2_mr,2833801.08836631
1903,historical,bcc_csm2_mr,2702445.75863437
1904,historical,bcc_csm2_mr,2766794.6816346
1905,historical,bcc_csm2_mr,2640772.27877679
1906,historical,bcc_csm2_mr,2756397.41575289
1907,historical,bcc_csm2_mr,2902904.23318284
1908,historical,bcc_csm2_mr,2738622.95428525
1909,historical,bcc_csm2_mr,2864798.2420463
1910,historical,bcc_csm2_mr,2881564.44660179
1911,historical,bcc_csm2_mr,2845597.84272912
1912,historical,bcc_csm2_mr,2829905.59910031
1913,historical,bcc_csm2_mr,3059149.0091039
1914,historical,bcc_csm2_mr,2756904.8354219
1915,historical,bcc_csm2_mr,2909895.73780253
1916,historical,bcc_csm2_mr,2805175.4830606
1917,historical,bcc_csm2_mr,2857956.3336273
1918,historical,bcc_csm2_mr,2701625.76928015
1919,historical,bcc_csm2_mr,2712375.8896095
1920,historical,bcc_csm2_mr,2883164.30542014
1921,historical,bcc_csm2_mr,2613561.19290383
1922,historical,bcc_csm2_mr,2723026.01307967
1923,historical,bcc_csm2_mr,2758255.72208851
1924,historical,bcc_csm2_mr,2806019.80814802
1925,historical,bcc_csm2_mr,2634234.24075798
1926,historical,bcc_csm2_mr,2730295.23990132
1927,historical,bcc_csm2_mr,2628788.10454101
1928,historical,bcc_csm2_mr,2598871.48346912
1929,historical,bcc_csm2_mr,2727236.72285235
1930,historical,bcc_csm2_mr,2705618.85363353
1931,historical,bcc_csm2_mr,2886929.93089206
1932,historical,bcc_csm2_mr,2565397.34620885
1933,historical,bcc_csm2_mr,2683008.04297028
1934,historical,bcc_csm2_mr,2770523.82876835
1935,historical,bcc_csm2_mr,2703315.67675118
1936,historical,bcc_csm2_mr,2952679.46678934
1937,historical,bcc_csm2_mr,2961473.20062062
1938,historical,bcc_csm2_mr,2873280.90531975
1939,historical,bcc_csm2_mr,2768429.65680272
1940,historical,bcc_csm2_mr,2889714.5087343
1941,historical,bcc_csm2_mr,2663100.19592754
1942,historical,bcc_csm2_mr,2829484.13085931
1943,historical,bcc_csm2_mr,2655556.86634932
1944,historical,bcc_csm2_mr,2627885.47822816
1945,historical,bcc_csm2_mr,2978146.16067664
1946,historical,bcc_csm2_mr,2718444.37392012
1947,historical,bcc_csm2_mr,2718427.70838041
1948,historical,bcc_csm2_mr,2740983.61338148
1949,historical,bcc_csm2_mr,2658435.93637288
1950,historical,bcc_csm2_mr,2613342.13320318
1951,historical,bcc_csm2_mr,2596458.75225514
1952,historical,bcc_csm2_mr,2612389.72988371
1953,historical,bcc_csm2_mr,2787392.16455723
1954,historical,bcc_csm2_mr,2766232.08351384
1955,historical,bcc_csm2_mr,2805659.1899307
1956,historical,bcc_csm2_mr,2789238.73836093
1957,historical,bcc_csm2_mr,2928212.67043409
1958,historical,bcc_csm2_mr,2785718.1120926
1959,historical,bcc_csm2_mr,2559748.22450647
1960,historical,bcc_csm2_mr,2778441.78863451
1961,historical,bcc_csm2_mr,2756161.12180281
1962,historical,bcc_csm2_mr,2717497.89321529
1963,historical,bcc_csm2_mr,2750182.62937195
1964,historical,bcc_csm2_mr,2758418.77315617
1965,historical,bcc_csm2_mr,2860637.70854401
1966,historical,bcc_csm2_mr,2681300.99498234
1967,historical,bcc_csm2_mr,2960291.0307977
1968,historical,bcc_csm2_mr,2787108.0121282
1969,historical,bcc_csm2_mr,2788382.54289473
1970,historical,bcc_csm2_mr,2594501.48627649
1971,historical,bcc_csm2_mr,2533959.45903209
1972,historical,bcc_csm2_mr,2833990.08798663
1973,historical,bcc_csm2_mr,2764937.11383713
1974,historical,bcc_csm2_mr,2804053.05649886
1975,historical,bcc_csm2_mr,2672898.97800118
1976,historical,bcc_csm2_mr,2821698.99623807
1977,historical,bcc_csm2_mr,2602744.69391141
1978,historical,bcc_csm2_mr,2785640.49187504
1979,historical,bcc_csm2_mr,2798273.22176297
1980,historical,bcc_csm2_mr,2742901.592264
1981,historical,bcc_csm2_mr,2797303.41388544
1982,historical,bcc_csm2_mr,2665195.61042278
1983,historical,bcc_csm2_mr,2799631.78391918
1984,historical,bcc_csm2_mr,2674837.36039882
1985,historical,bcc_csm2_mr,2893380.76850304
1986,historical,bcc_csm2_mr,2832200.31583033
1987,historical,bcc_csm2_mr,2516578.73237439
1988,historical,bcc_csm2_mr,2563320.35375213
1989,historical,bcc_csm2_mr,2795471.48499517
1990,historical,bcc_csm2_mr,2885050.60755939
1991,historical,bcc_csm2_mr,2743361.10162978
1992,historical,bcc_csm2_mr,2949378.77110177
1993,historical,bcc_csm2_mr,3005104.71888721
1994,historical,bcc_csm2_mr,2803991.2485608
1995,historical,bcc_csm2_mr,2981492.91513816
1996,historical,bcc_csm2_mr,2862981.07391003
1997,historical,bcc_csm2_mr,2772895.09347177
1998,historical,bcc_csm2_mr,2717671.07260956
1999,historical,bcc_csm2_mr,2668083.39168401
2000,historical,bcc_csm2_mr,2741286.00040102
2001,historical,bcc_csm2_mr,2609818.03016162
2002,historical,bcc_csm2_mr,2609060.07339833
2003,historical,bcc_csm2_mr,2628177.1929012
2004,historical,bcc_csm2_mr,2473602.95513822
2005,historical,bcc_csm2_mr,2634927.25012358
2006,historical,bcc_csm2_mr,2621463.13576022
2007,historical,bcc_csm2_mr,2560853.19774114
2008,historical,bcc_csm2_mr,2465339.05054116
2009,historical,bcc_csm2_mr,2624612.46723793
2010,historical,bcc_csm2_mr,2633256.91814115
2011,historical,bcc_csm2_mr,2521066.19292727
2012,historical,bcc_csm2_mr,2511981.13845439
2013,historical,bcc_csm2_mr,2441302.34303886
2014,historical,bcc_csm2_mr,2303136.29699644
2015,ssp126,bcc_csm2_mr,2644923.74326226
2016,ssp126,bcc_csm2_mr,2526384.70095754
2017,ssp126,bcc_csm2_mr,2618353.00079218
2018,ssp126,bcc_csm2_mr,2536232.94297416
2019,ssp126,bcc_csm2_mr,2363955.80900493
2020,ssp126,bcc_csm2_mr,2537714.61552897
2021,ssp126,bcc_csm2_mr,2584631.65957365
2022,ssp126,bcc_csm2_mr,2247874.54387415
2023,ssp126,bcc_csm2_mr,2561601.80622167
2024,ssp126,bcc_csm2_mr,2549741.72530126
2025,ssp126,bcc_csm2_mr,2426112.50379489
2026,ssp126,bcc_csm2_mr,2471218.09463229
2027,ssp126,bcc_csm2_mr,2440837.73110697
2028,ssp126,bcc_csm2_mr,2440612.63222716
2029,ssp126,bcc_csm2_mr,2665242.34269227
2030,ssp126,bcc_csm2_mr,2550317.73091982
2031,ssp126,bcc_csm2_mr,2439303.97205055
2032,ssp126,bcc_csm2_mr,2503473.26129173
2033,ssp126,bcc_csm2_mr,2334736.57042672
2034,ssp126,bcc_csm2_mr,2127731.96710031
2035,ssp126,bcc_csm2_mr,2365763.42169621
2036,ssp126,bcc_csm2_mr,2346895.24574376
2037,ssp126,bcc_csm2_mr,2498357.87403709
2038,ssp126,bcc_csm2_mr,2474662.56413571
2039,ssp126,bcc_csm2_mr,2323804.76342501
2040,ssp126,bcc_csm2_mr,2447738.84547849
2041,ssp126,bcc_csm2_mr,2436044.01388251
2042,ssp126,bcc_csm2_mr,2263568.57836828
2043,ssp126,bcc_csm2_mr,2305796.70113606
2044,ssp126,bcc_csm2_mr,2319107.208657
2045,ssp126,bcc_csm2_mr,2527341.16575546
2046,ssp126,bcc_csm2_mr,2287254.0390583
2047,ssp126,bcc_csm2_mr,2089160.60767701
2048,ssp126,bcc_csm2_mr,2299145.95286745
2049,ssp126,bcc_csm2_mr,2577339.13093083
2050,ssp126,bcc_csm2_mr,2438296.89710015
2051,ssp126,bcc_csm2_mr,2347070.12455733
2052,ssp126,bcc_csm2_mr,2090279.87625534
2053,ssp126,bcc_csm2_mr,2251280.84385755
2054,ssp126,bcc_csm2_mr,2221511.74746374
2055,ssp126,bcc_csm2_mr,2176593.96174569
2056,ssp126,bcc_csm2_mr,2220559.75867831
2057,ssp126,bcc_csm2_mr,2315228.87625734
2058,ssp126,bcc_csm2_mr,2261850.83174026
2059,ssp126,bcc_csm2_mr,2300584.83979269
2060,ssp126,bcc_csm2_mr,2284762.51178228
2061,ssp126,bcc_csm2_mr,2331797.38726764
2062,ssp126,bcc_csm2_mr,2326360.33275192
2063,ssp126,bcc_csm2_mr,2190704.74326245
2064,ssp126,bcc_csm2_mr,2490643.08964167
2065,ssp126,bcc_csm2_mr,2443979.86392194
2066,ssp126,bcc_csm2_mr,2332890.03884312
2067,ssp126,bcc_csm2_mr,2286227.40977516
2068,ssp126,bcc_csm2_mr,2206292.04874964
2069,ssp126,bcc_csm2_mr,2477397.43713505
2070,ssp126,bcc_csm2_mr,2421924.83799657
2071,ssp126,bcc_csm2_mr,2260921.94841065
2072,ssp126,bcc_csm2_mr,2557770.8228989
2073,ssp126,bcc_csm2_mr,2334843.51643109
2074,ssp126,bcc_csm2_mr,2129373.36429271
2075,ssp126,bcc_csm2_mr,2376264.8241097
2076,ssp126,bcc_csm2_mr,2196922.69912068
2077,ssp126,bcc_csm2_mr,2145801.51859554
2078,ssp126,bcc_csm2_mr,2098005.47050982
2079,ssp126,bcc_csm2_mr,2298754.79313915
2080,ssp126,bcc_csm2_mr,2497445.44503821
2081,ssp126,bcc_csm2_mr,2364156.75895832
2082,ssp126,bcc_csm2_mr,2332416.56116
2083,ssp126,bcc_csm2_mr,2290337.56863659
2084,ssp126,bcc_csm2_mr,2448643.76858715
2085,ssp126,bcc_csm2_mr,2177631.9318758
2086,ssp126,bcc_csm2_mr,2287287.20579127
2087,ssp126,bcc_csm2_mr,2307619.78218179
2088,ssp126,bcc_csm2_mr,2158957.18893971
2089,ssp126,bcc_csm2_mr,2392495.8863
2090,ssp126,bcc_csm2_mr,2506504.26606066
2091,ssp126,bcc_csm2_mr,2532608.38325046
2092,ssp126,bcc_csm2_mr,2264146.57383925
2093,ssp126,bcc_csm2_mr,2371735.92346542
2094,ssp126,bcc_csm2_mr,2383394.28521897
2095,ssp126,bcc_csm2_mr,2495941.82440167
2096,ssp126,bcc_csm2_mr,2391231.86725309
2097,ssp126,bcc_csm2_mr,2341137.39363774
2098,ssp126,bcc_csm2_mr,2386840.18369819
2099,ssp126,bcc_csm2_mr,2318732.34725134
2100,ssp126,bcc_csm2_mr,2447204.24471042
2015,ssp245,bcc_csm2_mr,2338643.45951461
2016,ssp245,bcc_csm2_mr,2494415.90385766
2017,ssp245,bcc_csm2_mr,2491244.83933154
2018,ssp245,bcc_csm2_mr,2612756.5412056
2019,ssp245,bcc_csm2_mr,2464553.79932139
2020,ssp245,bcc_csm2_mr,2478564.36903326
2021,ssp245,bcc_csm2_mr,2538094.45807987
2022,ssp245,bcc_csm2_mr,2540073.2525421
