year,scenario,snc_mile2
1981,rutgers,2749336
1982,rutgers,2914286
1983,rutgers,2807484
1984,rutgers,2717853
1985,rutgers,3051478
1986,rutgers,2876871
1987,rutgers,2635893
1988,rutgers,2719654
1989,rutgers,2760229
1990,rutgers,2658017
1991,rutgers,2748191
1992,rutgers,2792443
1993,rutgers,2803279
1994,rutgers,2726437
1995,rutgers,2784483
1996,rutgers,2950610
1997,rutgers,2978779
1998,rutgers,2663483
1999,rutgers,2733395
2000,rutgers,2880549
2001,rutgers,2845296
2002,rutgers,2936690
2003,rutgers,2893802
2004,rutgers,2927974
2005,rutgers,2753888
2006,rutgers,2723407
2007,rutgers,2831997
2008,rutgers,2884580
2009,rutgers,2875802
2010,rutgers,2831167
2011,rutgers,2879186
2012,rutgers,2688919
2013,rutgers,2986589
2014,rutgers,2926293
2015,rutgers,2735856
2016,rutgers,2798585
2017,rutgers,2908104
2018,rutgers,3044200
2019,rutgers,2883895
2020,rutgers,2871268
2021,rutgers,2786758
2022,rutgers,2856304
2023,rutgers,2731626
1850,historical,2574416
1851,historical,2577168
1852,historical,2537897
1853,historical,2582523
1854,historical,2574216
1855,historical,2537511
1856,historical,2558036
1857,historical,2579182
1858,historical,2591948
1859,historical,2569953
1860,historical,2603944
1861,historical,2560915
1862,historical,2611431
1863,historical,2590097
1864,historical,2570353
1865,historical,2555416
1866,historical,2552424
1867,historical,2539355
1868,historical,2529571
1869,historical,2602457
1870,historical,2611269
1871,historical,2597881
1872,historical,2578655
1873,historical,2599913
1874,historical,2543232
1875,historical,2576306
1876,historical,2539610
1877,historical,2538450
1878,historical,2509895
1879,historical,2593499
1880,historical,2584022
1881,historical,2534241
1882,historical,2576037
1883,historical,2535244
1884,historical,2616632
1885,historical,2654116
1886,historical,2630494
1887,historical,2632130
1888,historical,2570681
1889,historical,2538509
1890,historical,2541048
1891,historical,2590146
1892,historical,2599060
1893,historical,2578609
1894,historical,2540551
1895,historical,2573214
1896,historical,2595436
1897,historical,2586516
1898,historical,2571448
1899,historical,2570589
1900,historical,2561878
1901,historical,2568692
1902,historical,2538685
1903,historical,2597505
1904,historical,2586139
1905,historical,2580886
1906,historical,2590343
1907,historical,2639967
1908,historical,2592194
1909,historical,2565766
1910,historical,2574646
1911,historical,2584000
1912,historical,2656673
1913,historical,2645996
1914,historical,2624975
1915,historical,2637294
1916,historical,2599425
1917,historical,2586024
1918,historical,2536722
1919,historical,2556935
1920,historical,2532838
1921,historical,2565252
1922,historical,2508027
1923,historical,2571146
1924,historical,2586912
1925,historical,2540292
1926,historical,2587260
1927,historical,2499310
1928,historical,2573122
1929,historical,2533841
1930,historical,2535477
1931,historical,2573179
1932,historical,2562180
1933,historical,2594997
1934,historical,2581041
1935,historical,2539658
1936,historical,2576422
1937,historical,2586585
1938,historical,2552454
1939,historical,2579435
1940,historical,2546251
1941,historical,2515023
1942,historical,2575930
1943,historical,2545155
1944,historical,2522248
1945,historical,2567126
1946,historical,2575401
1947,historical,2580156
1948,historical,2508856
1949,historical,2528128
1950,historical,2518696
1951,historical,2534863
1952,historical,2571100
1953,historical,2585272
1954,historical,2598153
1955,historical,2558492
1956,historical,2525745
1957,historical,2558723
1958,historical,2590363
1959,historical,2578118
1960,historical,2582820
1961,historical,2528758
1962,historical,2612526
1963,historical,2616143
1964,historical,2611805
1965,historical,2634153
1966,historical,2558866
1967,historical,2603130
1968,historical,2610878
1969,historical,2637041
1970,historical,2557677
1971,historical,2537642
1972,historical,2568425
1973,historical,2580880
1974,historical,2549460
1975,historical,2557337
1976,historical,2592517
1977,historical,2546796
1978,historical,2559124
1979,historical,2576738
1980,historical,2576515
1981,historical,2564207
1982,historical,2523176
1983,historical,2603969
1984,historical,2587114
1985,historical,2579168
1986,historical,2598856
1987,historical,2514529
1988,historical,2552649
1989,historical,2570637
1990,historical,2540072
1991,historical,2517111
1992,historical,2568724
1993,historical,2548275
1994,historical,2532417
1995,historical,2560890
1996,historical,2534200
1997,historical,2493187
1998,historical,2481471
1999,historical,2476571
2000,historical,2443240
2001,historical,2459220
2002,historical,2458141
2003,historical,2443436
2004,historical,2391244
2005,historical,2413049
2006,historical,2432791
2007,historical,2423948
2008,historical,2397555
2009,historical,2442049
2010,historical,2427448
2011,historical,2387028
2012,historical,2410488
2013,historical,2377551
2014,historical,2343603
2015,ssp126,2338091
2016,ssp126,2376171
2017,ssp126,2376083
2018,ssp126,2359287
2019,ssp126,2269397
2020,ssp126,2322478
2021,ssp126,2356661
2022,ssp126,2309328
2023,ssp126,2326038
2024,ssp126,2296677
2025,ssp126,2279942
2026,ssp126,2276954
2027,ssp126,2361372
2028,ssp126,2281644
2029,ssp126,2303913
2030,ssp126,2290050
2031,ssp126,2254017
2032,ssp126,2264509
2033,ssp126,2289335
2034,ssp126,2310638
2035,ssp126,2296026
2036,ssp126,2238047
2037,ssp126,2224079
2038,ssp126,2251790
2039,ssp126,2246852
2040,ssp126,2246590
2041,ssp126,2261021
2042,ssp126,2225128
2043,ssp126,2224536
2044,ssp126,2231211
2045,ssp126,2232715
2046,ssp126,2192263
2047,ssp126,2184793
2048,ssp126,2218287
2049,ssp126,2258467
2050,ssp126,2266100
2051,ssp126,2167023
2052,ssp126,2199306
2053,ssp126,2245566
2054,ssp126,2207231
2055,ssp126,2186393
2056,ssp126,2203665
2057,ssp126,2216879
2058,ssp126,2196641
2059,ssp126,2224624
2060,ssp126,2180851
2061,ssp126,2193300
2062,ssp126,2195601
2063,ssp126,2176373
2064,ssp126,2195080
2065,ssp126,2192076
2066,ssp126,2188623
2067,ssp126,2129427
2068,ssp126,2162075
2069,ssp126,2228499
2070,ssp126,2171823
2071,ssp126,2209645
2072,ssp126,2227228
2073,ssp126,2157139
2074,ssp126,2114678
2075,ssp126,2248897
2076,ssp126,2194784
2077,ssp126,2201840
2078,ssp126,2161148
2079,ssp126,2206131
2080,ssp126,2199762
2081,ssp126,2191366
2082,ssp126,2227035
2083,ssp126,2240508
2084,ssp126,2220802
2085,ssp126,2202266
2086,ssp126,2209412
2087,ssp126,2212931
2088,ssp126,2194066
2089,ssp126,2220012
2090,ssp126,2266391
2091,ssp126,2243561
2092,ssp126,2188899
2093,ssp126,2188155
2094,ssp126,2210593
2095,ssp126,2222523
2096,ssp126,2248758
2097,ssp126,2233021
