year,season,scenario,model,snc_mile2
1981,1,historical,rutgers,4490859.01395901
1982,1,historical,rutgers,5389298.69319869
1983,1,historical,rutgers,4898997.98676227
1984,1,historical,rutgers,5370379.26937927
1985,1,historical,rutgers,5393415.59251559
1986,1,historical,rutgers,5323477.9031779
1987,1,historical,rutgers,5005902.07900208
1988,1,historical,rutgers,5166804.03920404
1989,1,historical,rutgers,5004271.09762824
1990,1,historical,rutgers,5104328.42292842
1991,1,historical,rutgers,5113944.10454411
1992,1,historical,rutgers,4862524.35402435
1993,1,historical,rutgers,5498629.78912979
1994,1,historical,rutgers,5066333.75620519
1995,1,historical,rutgers,5116138.43183843
1996,1,historical,rutgers,5168729.43272943
1997,1,historical,rutgers,5270766.46866647
1998,1,historical,rutgers,5149532.52153252
1999,1,historical,rutgers,5057921.74042174
2000,1,historical,rutgers,4891963.04467733
2001,1,historical,rutgers,5466403.20760321
2002,1,historical,rutgers,5094486.21918622
2003,1,historical,rutgers,5096210.06831007
2004,1,historical,rutgers,5399111.40481141
2005,1,historical,rutgers,5031965.69222284
2006,1,historical,rutgers,5008541.84734185
2007,1,historical,rutgers,5249343.3026433
2008,1,historical,rutgers,5461810.8999109
2009,1,historical,rutgers,5347449.53964954
2010,1,historical,rutgers,5660165.01336501
2011,1,historical,rutgers,5528934.08714837
2012,1,historical,rutgers,4934395.66379566
2013,1,historical,rutgers,5409577.60617761
2014,1,historical,rutgers,5457876.06177606
2015,1,historical,rutgers,5158244.49064449
2016,1,historical,rutgers,5230217.7012177
2017,1,historical,rutgers,5277476.36514065
2018,1,historical,rutgers,5251641.19394119
2019,1,historical,rutgers,5360218.88921889
2020,1,historical,rutgers,5156191.86219186
2021,1,historical,rutgers,5277520.46332046
2022,1,historical,rutgers,5147511.50027579
2023,1,historical,rutgers,5326110.98901099
1981,2,historical,rutgers,3434102.25720226
1982,2,historical,rutgers,3827744.55004455
1983,2,historical,rutgers,3403081.46718147
1984,2,historical,rutgers,3275776.83397683
1985,2,historical,rutgers,3698241.43154143
1986,2,historical,rutgers,3377504.54410454
1987,2,historical,rutgers,3268881.22958123
1988,2,historical,rutgers,3292543.8966439
1989,2,historical,rutgers,3249615.26581527
1990,2,historical,rutgers,3209827.53192753
1991,2,historical,rutgers,3188434.86783487
1992,2,historical,rutgers,3341613.8996139
1993,2,historical,rutgers,3358718.44371844
1994,2,historical,rutgers,3165875.37867538
1995,2,historical,rutgers,3348820.84942085
1996,2,historical,rutgers,3677063.26106326
1997,2,historical,rutgers,3937259.31095931
1998,2,historical,rutgers,3395071.30977131
1999,2,historical,rutgers,3536957.11315711
2000,2,historical,rutgers,3301386.66468666
2001,2,historical,rutgers,3449535.996436
2002,2,historical,rutgers,3699191.53549154
2003,2,historical,rutgers,3537161.83546184
2004,2,historical,rutgers,3539967.21116721
2005,2,historical,rutgers,3173432.07603208
2006,2,historical,rutgers,3244630.05643006
2007,2,historical,rutgers,3256212.47401247
2008,2,historical,rutgers,3648533.67983368
2009,2,historical,rutgers,3641154.11345411
2010,2,historical,rutgers,3066025.98752599
2011,2,historical,rutgers,3515252.15325215
2012,2,historical,rutgers,3072931.45233145
2013,2,historical,rutgers,3733035.13513514
2014,2,historical,rutgers,3545102.88090288
2015,2,historical,rutgers,3233436.14493615
2016,2,historical,rutgers,3203138.58033858
2017,2,historical,rutgers,3451229.87822988
2018,2,historical,rutgers,3691949.09414909
2019,2,historical,rutgers,3351718.05761806
2020,2,historical,rutgers,3599369.08226908
2021,2,historical,rutgers,3288024.47282447
2022,2,historical,rutgers,3400885.26878527
2023,2,historical,rutgers,3339259.07335907
1981,3,historical,rutgers,847720.879120879
1982,3,historical,rutgers,410552.598752599
1983,3,historical,rutgers,361203.326403326
1984,3,historical,rutgers,296008.345708346
1985,3,historical,rutgers,674740.362340362
1986,3,historical,rutgers,671924.561924562
1987,3,historical,rutgers,634722.156222156
1988,3,historical,rutgers,426975.438075438
1989,3,historical,rutgers,297483.754083754
1990,3,historical,rutgers,291093.317493318
