year,season,scenario,snc_mile2
1981,1,rutgers,4490859.01395901
1981,2,rutgers,3434102.25720226
1981,3,rutgers,847720.879120879
1981,4,rutgers,1988929.72972973
1982,1,rutgers,5389298.69319869
1982,2,rutgers,3827744.55004455
1982,3,rutgers,410552.598752599
1982,4,rutgers,1931891.17909118
1983,1,rutgers,4898997.98676227
1983,2,rutgers,3403081.46718147
1983,3,rutgers,361203.326403326
1983,4,rutgers,2315371.57707158
1984,1,rutgers,5370379.26937927
1984,2,rutgers,3275776.83397683
1984,3,rutgers,296008.345708346
1984,4,rutgers,2091275.40837541
1985,1,rutgers,5393415.59251559
1985,2,rutgers,3698241.43154143
1985,3,rutgers,674740.362340362
1985,4,rutgers,2290622.72052272
1986,1,rutgers,5323477.9031779
1986,2,rutgers,3377504.54410454
1986,3,rutgers,671924.561924562
1986,4,rutgers,2366758.8951589
1987,1,rutgers,5005902.07900208
1987,2,rutgers,3268881.22958123
1987,3,rutgers,634722.156222156
1987,4,rutgers,1634184.76388476
1988,1,rutgers,5166804.03920404
1988,2,rutgers,3292543.8966439
1988,3,rutgers,426975.438075438
1988,4,rutgers,1844709.38520939
1989,1,rutgers,5004271.09762824
1989,2,rutgers,3249615.26581527
1989,3,rutgers,297483.754083754
1989,4,rutgers,2292197.74279774
1990,1,rutgers,5104328.42292842
1990,2,rutgers,3209827.53192753
1990,3,rutgers,291093.317493318
1990,4,rutgers,2034544.66884467
1991,1,rutgers,5113944.10454411
1991,2,rutgers,3188434.86783487
1991,3,rutgers,431097.148797149
1991,4,rutgers,2400871.36917137
1992,1,rutgers,4862524.35402435
1992,2,rutgers,3341613.8996139
1992,3,rutgers,503556.014256014
1992,4,rutgers,2235101.57410157
1993,1,rutgers,5498629.78912979
1993,2,rutgers,3358718.44371844
1993,3,rutgers,279441.342441342
1993,4,rutgers,2144085.98158598
1994,1,rutgers,5066333.75620519
1994,2,rutgers,3165875.37867538
1994,3,rutgers,297828.304128304
1994,4,rutgers,2242850.04455004
1995,1,rutgers,5116138.43183843
1995,2,rutgers,3348820.84942085
1995,3,rutgers,379899.792099792
1995,4,rutgers,2321994.32729433
1996,1,rutgers,5168729.43272943
1996,2,rutgers,3677063.26106326
1996,3,rutgers,377289.812889813
1996,4,rutgers,2558683.04128304
1997,1,rutgers,5270766.46866647
1997,2,rutgers,3937259.31095931
1997,3,rutgers,504363.676863677
1997,4,rutgers,2202683.42738343
1998,1,rutgers,5149532.52153252
1998,2,rutgers,3395071.30977131
1998,3,rutgers,331623.017523018
1998,4,rutgers,1847834.21443421
1999,1,rutgers,5057921.74042174
1999,2,rutgers,3536957.11315711
1999,3,rutgers,473182.892782893
1999,4,rutgers,1841870.98307098
2000,1,rutgers,4891963.04467733
2000,2,rutgers,3301386.66468666
2000,3,rutgers,469123.700623701
2000,4,rutgers,2511340.8969409
2001,1,rutgers,5466403.20760321
2001,2,rutgers,3449535.996436
2001,3,rutgers,505307.989307989
2001,4,rutgers,2139964.38966439
2002,1,rutgers,5094486.21918622
2002,2,rutgers,3699191.53549154
2002,3,rutgers,583123.166023166
2002,4,rutgers,2441584.67478467
2003,1,rutgers,5096210.06831007
2003,2,rutgers,3537161.83546184
2003,3,rutgers,525857.528957529
2003,4,rutgers,2283636.05583606
2004,1,rutgers,5399111.40481141
2004,2,rutgers,3539967.21116721
2004,3,rutgers,571953.549153549
2004,4,rutgers,2167006.56370656
2005,1,rutgers,5031965.69222284
2005,2,rutgers,3173432.07603208
2005,3,rutgers,439753.964953965
2005,4,rutgers,2260545.32224532
2006,1,rutgers,5008541.84734185
2006,2,rutgers,3244630.05643006
2006,3,rutgers,417357.38045738
2006,4,rutgers,2302840.74844075
2007,1,rutgers,5249343.3026433
2007,2,rutgers,3256212.47401247
2007,3,rutgers,430576.150876151
2007,4,rutgers,2187393.40659341
2008,1,rutgers,5461810.8999109
2008,2,rutgers,3648533.67983368
2008,3,rutgers,329020.047520048
2008,4,rutgers,2137903.32640333
2009,1,rutgers,5347449.53964954
2009,2,rutgers,3641154.11345411
2009,3,rutgers,370613.751113751
2009,4,rutgers,2089067.27056727
2010,1,rutgers,5660165.01336501
2010,2,rutgers,3066025.98752599
2010,3,rutgers,320796.02019602
2010,4,rutgers,2109906.47460647
2011,1,rutgers,5528934.08714837
2011,2,rutgers,3515252.15325215
2011,3,rutgers,266714.612414612
2011,4,rutgers,2410660.29106029
2012,1,rutgers,4934395.66379566
2012,2,rutgers,3072931.45233145
2012,3,rutgers,213173.715473715
2012,4,rutgers,2352821.41372141
2013,1,rutgers,5409577.60617761
2013,2,rutgers,3733035.13513514
2013,3,rutgers,346335.729135729
2013,4,rutgers,2402541.84734185
2014,1,rutgers,5457876.06177606
2014,2,rutgers,3545102.88090288
2014,3,rutgers,335632.283932284
2014,4,rutgers,2574105.1975052
2015,1,rutgers,5158244.49064449
2015,2,rutgers,3233436.14493615
2015,3,rutgers,283933.056133056
2015,4,rutgers,2230883.60558361
2016,1,rutgers,5230217.7012177
2016,2,rutgers,3203138.58033858
2016,3,rutgers,341959.667359667
2016,4,rutgers,2112346.98544699
2017,1,rutgers,5277476.36514065
2017,2,rutgers,3451229.87822988
2017,3,rutgers,404023.076923077
2017,4,rutgers,2583478.64567865
2018,1,rutgers,5251641.19394119
2018,2,rutgers,3691949.09414909
2018,3,rutgers,411977.160677161
2018,4,rutgers,2828611.88001188
2019,1,rutgers,5360218.88921889
2019,2,rutgers,3351718.05761806
2019,3,rutgers,266626.403326403
2019,4,rutgers,2533685.35788536
2020,1,rutgers,5156191.86219186
2020,2,rutgers,3599369.08226908
2020,3,rutgers,351578.22987823
2020,4,rutgers,2467340.3029403
2021,1,rutgers,5277520.46332046
2021,2,rutgers,3288024.47282447
2021,3,rutgers,393557.261657262
2021,4,rutgers,1942816.86961687
2022,1,rutgers,5147511.50027579
2022,2,rutgers,3400885.26878527
2022,3,rutgers,280283.961983962
2022,4,rutgers,2509693.25809326
2023,1,rutgers,5326110.98901099
2023,2,rutgers,3339259.07335907
2023,3,rutgers,288151.262251262
2023,4,rutgers,2272961.03356103
1850,1,historical,4969613
1850,2,historical,3189678
1850,3,historical,429618
1850,4,historical,1806336
1851,1,historical,4940284
1851,2,historical,3241943
1851,3,historical,408256
1851,4,historical,1767388
1852,1,historical,4783075
1852,2,historical,3215632
1852,3,historical,416196
1852,4,historical,1759781
1853,1,historical,4803821
1853,2,historical,3227232
1853,3,historical,414961
1853,4,historical,1862389
1854,1,historical,4819567
1854,2,historical,3146333
1854,3,historical,465177
1854,4,historical,1836566
1855,1,historical,4797430
1855,2,historical,3183576
1855,3,historical,419274
1855,4,historical,1779664
1856,1,historical,4747851
1856,2,historical,3251276
1856,3,historical,406954
1856,4,historical,1838781
1857,1,historical,4840188
1857,2,historical,3142771
1857,3,historical,442248
1857,4,historical,1847172
1858,1,historical,4852104
1858,2,historical,3195948
1858,3,historical,420052
1858,4,historical,1898190
1859,1,historical,4772370
1859,2,historical,3276491
1859,3,historical,442026
1859,4,historical,1820204
1860,1,historical,4799893
1860,2,historical,3293124
1860,3,historical,433834
1860,4,historical,1871366
1861,1,historical,4794989
1861,2,historical,3199098
1861,3,historical,436197
1861,4,historical,1842396
1862,1,historical,4829456
1862,2,historical,3254248
1862,3,historical,426965
1862,4,historical,1902716
1863,1,historical,4864110
1863,2,historical,3225119
1863,3,historical,439070
1863,4,historical,1845956
1864,1,historical,4855204
1864,2,historical,3219976
1864,3,historical,437588
1864,4,historical,1787796
1865,1,historical,4798015
1865,2,historical,3219860
1865,3,historical,436030
1865,4,historical,1776987
1866,1,historical,4759908
1866,2,historical,3180541
1866,3,historical,409948
1866,4,historical,1838997
1867,1,historical,4722725
1867,2,historical,3116348
1867,3,historical,449336
1867,4,historical,1833186
1868,1,historical,4841945
1868,2,historical,3110315
1868,3,historical,400038
1868,4,historical,1780944
1869,1,historical,4927979
1869,2,historical,3226096
1869,3,historical,419040
1869,4,historical,1856649
1870,1,historical,4811944
1870,2,historical,3304107
1870,3,historical,446641
1870,4,historical,1865959
1871,1,historical,4906238
1871,2,historical,3260192
1871,3,historical,442259
1871,4,historical,1796674
1872,1,historical,4800064
1872,2,historical,3215709
1872,3,historical,435560
1872,4,historical,1855509
1873,1,historical,4890854
1873,2,historical,3266016
1873,3,historical,425390
1873,4,historical,1828864
1874,1,historical,4788160
1874,2,historical,3173600
1874,3,historical,427760
1874,4,historical,1771571
1875,1,historical,4838216
1875,2,historical,3230736
1875,3,historical,441706
1875,4,historical,1836528
1876,1,historical,4712522
1876,2,historical,3167629
1876,3,historical,414850
1876,4,historical,1834218
